[DARBY | EN | OT | Ezra | Chapter 10 | Verse 1] And while Ezra prayed, and made confession, weeping and falling down before the house of God, there were gathered to him out of Israel a very great congregation of men and women and children; for the people wept very much.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 2] And Shechaniah the son of Jehiel, of the sons of Elam, answered and said to Ezra, We have acted unfaithfully toward our God, and have taken foreign wives of the peoples of the land; yet now there is hope for Israel concerning this thing.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 3] And now let us make a covenant with our God to put away all the wives, and such as are born of them, according to the counsel of [my] lord, and of those that tremble at the commandments of our God; and let it be done according to the law.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 4] Arise, for this matter is incumbent on thee, and we will be with thee: be of good courage, and do [it].
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 5] Then Ezra arose, and made the chiefs of the priests, of the Levites, and of all Israel, to swear that they would do according to this word. And they swore.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 6] And Ezra arose from before the house of God, and went into the chamber of Jehohanan the son of Eliashib; and when he came thither, he ate no bread and drank no water; for he mourned because of the unfaithfulness of them that had been carried away.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 7] And they made proclamation in Judah and Jerusalem to all the children of the captivity, that they should gather themselves together unto Jerusalem;
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 8] and that whosoever would not come within three days, according to the counsel of the princes and the elders, all his substance should be confiscated, and himself separated from the congregation of those that had been carried away.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 9] Then were all the men of Judah and Benjamin gathered together at Jerusalem within three days. It was the ninth month, on the twentieth of the month; and all the people sat in the open space of the house of God, trembling because of the matter, and because of the pouring rain.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 10] And Ezra the priest stood up and said to them, Ye have acted unfaithfully, and have taken foreign wives, to increase the trespass of Israel.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 11] And now make confession to Jehovah the God of your fathers, and do his pleasure, and separate yourselves from the peoples of the land, and from the foreign wives.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 12] And the whole congregation answered and said with a loud voice, Yes, it is for us to do according to thy words.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 13] But the people are many, and it is a time of pouring rain, and it is not possible to stand without: neither is this a work for one day or two; for we are many that have transgressed in this thing.
