[DARBY | EN | OT | Ezra | Chapter 2 | Verse 1] And these are the children of the province, that went up out of the captivity of those that had been carried away, whom Nebuchadnezzar the king of Babylon had carried away to Babylon, and who came again to Jerusalem and to Judah, every one to his city,
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 2] who came with Zerubbabel, Jeshua, Nehemiah, Saraiah, Reelaiah, Mordecai, Bilshan, Mispar, Bigvai, Rehum, Baanah. The number of the men of the people of Israel:
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 3] The children of Parosh, two thousand one hundred and seventy-two.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 4] The children of Shephatiah, three hundred and seventy-two.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 5] The children of Arah, seven hundred and seventy-five.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 6] The children of Pahath-Moab, of the children of Jeshua [and] Joab, two thousand eight hundred and twelve.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 7] The children of Elam, a thousand two hundred and fifty-four.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 8] The children of Zattu, nine hundred and forty-five.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 9] The children of Zaccai, seven hundred and sixty.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 10] The children of Bani, six hundred and forty-two.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 11] The children of Bebai, six hundred and twenty-three.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 12] The children of Azgad, a thousand two hundred and twenty-two.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 13] The children of Adonikam, six hundred and sixty-six.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 14] The children of Bigvai, two thousand and fifty-six.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 15] The children of Adin, four hundred and fifty-four.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 16] The children of Ater of [the family of] Hezekiah, ninety-eight.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 17] The children of Bezai, three hundred and twenty-three.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 18] The children of Jorah, a hundred and twelve.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 19] The children of Hashum, two hundred and twenty-three.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 20] The children of Gibbar, ninety-five.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 21] The children of Bethlehem, a hundred and twenty-three.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 22] The men of Netophah, fifty-six.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 23] The men of Anathoth, a hundred and twenty-eight.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 24] The children of Azmaveth, forty-two.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 25] The children of Kirjath-arim, Chephirah, and Beeroth, seven hundred and forty-three.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 26] The children of Ramah and Geba, six hundred and twenty-one.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 27] The men of Michmas, a hundred and twenty-two.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 28] The men of Bethel and Ai, two hundred and twenty-three.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 29] The children of Nebo, fifty-two.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 30] The children of Magbish, a hundred and fifty-six.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 31] The children of the other Elam, a thousand two hundred and fifty-four.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 32] The children of Harim, three hundred and twenty.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 33] The children of Lod, Hadid, and Ono, seven hundred and twenty-five.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 34] The children of Jericho, three hundred and forty-five.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 35] The children of Senaah, three thousand six hundred and thirty.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 36] The priests: the children of Jedaiah, of the house of Jeshua, nine hundred and seventy-three.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 37] The children of Immer, a thousand and fifty-two.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 38] The children of Pashhur, a thousand two hundred and forty-seven.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 39] The children of Harim, a thousand and seventeen.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 40] The Levites: the children of Jeshua and of Kadmiel, of the children of Hodaviah, seventy-four.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 41] The singers: the children of Asaph, a hundred and twenty-eight.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 42] The children of the doorkeepers: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the children of Shobai, in all a hundred and thirty-nine.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 43] The Nethinim: the children of Ziha, the children of Hasupha, the children of Tabbaoth,
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 44] the children of Keros, the children of Siaha, the children of Padon,
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 45] the children of Lebanah, the children of Hagabah, the children of Akkub,
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 46] the children of Hagab, the children of Shamlai, the children of Hanan,
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 47] the children of Giddel, the children of Gahar, the children of Reaiah,
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 48] the children of Rezin, the children of Nekoda, the children of Gazzam,
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 49] the children of Uzza, the children of Phaseah, the children of Besai,
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 50] the children of Asnah, the children of Meunim, the children of Nephusim,
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 51] the children of Bakbuk, the children of Hakupha, the children of Harhur,
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 52] the children of Bazluth, the children of Mehida, the children of Harsha,
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 53] the children of Barkos, the children of Sisera, the children of Thamah,
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 54] the children of Neziah, the children of Hatipha.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 55] The children of Solomon's servants: the children of Sotai, the children of Sophereth, the children of Peruda,
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 56] the children of Jaalah, the children of Darkon, the children of Giddel,
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 57] the children of Shephatiah, the children of Hattil, the children of Pochereth-Hazzebaim, the children of Ami.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 58] All the Nethinim and the children of Solomon's servants, three hundred and ninety-two.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 59] And these are they that went up from Tel-melah, Tel-harsha, Cherub-Addan, Immer; but they could not shew their fathers' house, nor their seed, whether they were of Israel.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 60] The children of Delaiah, the children of Tobijah, the children of Nekoda, six hundred and fifty-two.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 61] And of the children of the priests: the children of Habaiah, the children of Koz, the children of Barzillai; who took a wife of the daughters of Barzillai the Gileadite, and was called after their name.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 62] These sought their genealogical register, but they were not found; therefore were they, as polluted, removed from the priesthood.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 63] And the Tirshatha said to them that they should not eat of the most holy things, till there stood up a priest with Urim and with Thummim.
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 64] The whole congregation together was forty-two thousand three hundred and sixty,
[DARBY | EN | OT | Ezra | Chapter 2 | Verse 65] besides their servants and their maids, of whom there were seven thousand three hundred and thirty-seven; and they had two hundred singing men and singing women.
