[IRV | TE | OT | Proverbs | Chapter 4 | Verse 1] కుమారులారా, తండ్రి చెప్పే మంచి మాటలు విని వివేకం తెచ్చుకోండి.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 2] నేను మీకు మంచి మాటలు చెబుతాను. నా మాటలు పెడచెవిన పెట్టకండి.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 3] నేను నా తండ్రి కుమారుణ్ణి. నా తల్లికి నేను అందమైన ఏకైక కుమారుణ్ణి.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 4] ఆయన నాకు బోధ చేస్తూ ఇలా చెప్పాడు “నేను చెప్పే మాటలు శ్రద్ధగా విని వాటిని నీ హృదయంలో నిలిచిపోనివ్వు. వాటిని విని వాటి ప్రకారం నడుచుకుంటే నువ్వు జీవిస్తావు.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 5] జ్ఞానం, వివేకం సంపాదించుకో. నా మాటలను విస్మరించ వద్దు, వాటినుండి తొలగిపోవద్దు.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 6] జ్ఞానాన్ని విడిచిపెట్టకుండా ఉంటే అది నిన్ను కాపాడుతుంది. దాన్ని ప్రేమిస్తూ ఉంటే అది నిన్ను రక్షిస్తుంది.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 7] జ్ఞానం సంపాదించుకోవడమే బుద్ధి వివేకాలకు మూలం. జ్ఞానం కోసం నీకు ఉన్నదంతా ఖర్చు పెట్టు.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 8] నువ్వు జ్ఞానాన్ని గౌరవిస్తే అది నిన్ను గొప్ప చేస్తుంది. దాన్ని హత్తుకుని ఉంటే అది నీకు పేరు ప్రతిష్టలు తెస్తుంది.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 9] అది నీ తలపై అందమైన పాగా ఉంచుతుంది. ప్రకాశవంతంగా వెలిగే అందమైన కిరీటం నీకు దయచేస్తుంది.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 10] కుమారా, నీవు నా మాటలు విని, వాటి ప్రకారం నడుచుకుంటే నీకు అధిక ఆయుష్షు కలుగుతుంది.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 11] జ్ఞానం కలిగి ఉండే మార్గం నీకు బోధించాను. యథార్థమైన బాటలో నిన్ను నడిపించాను.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 12] నువ్వు నడుస్తూ ఉన్నప్పుడు నీ అడుగులు చిక్కుపడవు. నీవు పరుగెత్తే సమయంలో నీ పాదాలు తొట్రుపడవు.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 13] అది నీ ఊపిరి కనుక దాన్ని సంపాదించుకో. దాన్ని విడిచిపెట్టకుండా భద్రంగా పదిలం చేసుకో.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 14] భక్తిహీనుల గుంపులో చేరవద్దు. దుర్మార్గుల ఆలోచనలతో ఏకీభవించవద్దు.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 15] అందులోకి వెళ్ళకుండా తప్పించుకు తిరుగు. దాని నుండి తొలగిపోయి ముందుకు సాగిపో.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 16] ఇతరులకు కీడు చేస్తేనేగాని అలాంటి వాళ్లకి నిద్ర పట్టదు. ఎదుటి వారిని కించపరచకుండా వారు నిద్రపోరు.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 17] వాళ్ళు దౌర్జన్యం చేసి తమ ఆహారం సంపాదించుకుంటారు. బలవంతంగా ద్రాక్షారసం లాక్కుని తాగుతారు.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 18] ఉదయాన్నే మొదలైన సూర్యుని వెలుగు మరింతగా పెరుగుతున్నట్టు నీతిమంతుల మార్గం అంతకంతకూ ప్రకాశిస్తుంది.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 19] దుష్టుల మార్గం చీకటిమయం. వాళ్ళు ఎక్కడెక్కడ పడిపోతారో వాళ్ళకే తెలియదు.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 20] కుమారా, నేను చెప్పే మాటలు విను. నా నీతి బోధలు మనసులో ఉంచుకో.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 21] నీ మార్గం అంతటిలో నుండి వాటిని అనుసరించు. నీ హృదయంలో వాటిని భద్రంగా దాచుకో.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 22] అవి దొరికిన వారికి జీవం కలుగుతుంది. వాళ్ళ శరీరమంతటికీ ఆరోగ్యం కలిగిస్తాయి.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 23] అన్నిటికంటే ముఖ్యంగా వాటిని నీ హృదయంలో భద్రంగా కాపాడుకో. అప్పుడు నీ హృదయంలో నుండి జీవధారలు ప్రవహిస్తాయి.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 24] నీ నోటి నుండి కుటిలమైన మాటలు, మోసకరమైన మాటలు రానియ్యకు.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 25] నీ కంటిచూపు సూటిగా ఉండనియ్యి. నీ ఆలోచనల్లో ముందు చూపు కలిగి ఉండు.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 26] నువ్వు నడిచే మార్గం సరళం చెయ్యి. అప్పుడు నీ దారులన్నీ స్థిరపడతాయి.
[IRV | TE | OT | Proverbs | Chapter 4 | Verse 27] కుడివైపుకు గానీ, ఎడమవైపుకు గానీ తొలగిపోవద్దు. దుర్మార్గం వైపు నడవకుండా నీ అడుగులు తప్పించుకో.”
