[IRV | TE | OT | Proverbs | Chapter 25 | Verse 1] ఇవికూడా సొలొమోను సామెతలే. యూదారాజు హిజ్కియా సేవకులు వీటిని ఎత్తి రాసారు.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 2] విషయాన్ని గోప్యంగా ఉంచడం దేవునికి ఘనత. సంగతిని పరిశోధించడం రాజులకు ఘనత.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 3] ఆకాశాల ఎత్తు, భూమి లోతు, రాజుల అభిప్రాయం అగమ్యగోచరం.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 4] వెండిలోని కల్మషం తీసేస్తే లోహకారుడు తన పనితనంతో వస్తువు తయారు చేస్తాడు.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 5] రాజు సముఖం నుండి దుష్టులను తొలగించ గలిగితే అతని సింహాసనం నీతిమూలంగా స్థిరం అవుతుంది.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 6] రాజు ఎదుట నీ గొప్ప చెప్పుకోకు. గొప్పవారికి కేటాయించిన చోట ఉండవద్దు.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 7] నీవు గమనించి చూసిన ప్రధాని ఎదుట ఎవరైనా నిన్ను తగ్గించడం కంటే “ఈ పైచోటికి రా” అని అతడు నీతో చెప్పడం మంచిది కదా.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 8] అనాలోచితంగా న్యాయ స్థానానికి పోవద్దు. చివరికి నీ పొరుగువాడు నిన్ను అవమాన పరచి “ఇక నువ్వేమి చేస్తావు?” అని నీతో అంటాడు కదా.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 9] నీ పొరుగువాడితో నీవు వాదులాడ వచ్చు గానీ ఎదుటి వ్యక్తి గుట్టు నలుగురిలో రట్టు చెయ్యవద్దు.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 10] అలా చేస్తే వినేవాడు నిన్ను అవమానపరుస్తాడేమో. ఆ విధంగా నీకు కలిగిన అపకీర్తి ఎన్నటికి మాసిపోదు.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 11] సమయోచితంగా పలికిన మాట వెండి పళ్ళెంలో పొదిగిన బంగారు పండ్ల వంటిది.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 12] బంగారు చెవిపోగులు ఎలాటివో స్వర్ణాభరణాలు ఎలాటివో వినే వాడి చెవికి జ్ఞానం గల ఉపదేశకుడు అలాటి వాడు.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 13] నమ్మకమైన దూత తనను పంపిన వారిపాలిట కోతకాలపు మంచు చల్లదనం వంటి చల్లదనం గలవాడు. వాడు తన యజమానుల హృదయానికి ఆహ్లాదం కలిగిస్తాడు.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 14] ఏమీ ఇవ్వకుండానే ఇచ్చానని సొంత డబ్బా వాయించుకునే వాడు వర్షం లేని మబ్బుతో గాలితో సమానం.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 15] సహనంతో న్యాయాధిపతిని ఒప్పించవచ్చు. సాత్వికమైన నాలుక ఎముకలను నలగగొట్టగలదు.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 16] నీకు తేనె దొరికితే మితంగా తిను. మితిమీరి తింటే ఒకవేళ కక్కి వేస్తావేమో.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 17] మాటిమాటికి నీ పొరుగువాడి ఇంటికి వెళ్లకు. అతడు విసికిపోయి నిన్ను ద్వేషిస్తాడేమో.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 18] తన పొరుగువాడిపై అబద్ధ సాక్ష్యం పలికేవాడు యుద్ధంలో వాడే గదలాంటి వాడు, కత్తిలాంటి వాడు. వాడియైన బాణం వంటివాడు.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 19] కష్టకాలంలో విశ్వాస ఘాతకుణ్ణి ఆశ్రయించడం విరిగిన పన్నుతో, కీలు వసిలిన కాలుతో సమానం.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 20] దుఃఖితుడి ఎదుట పాటలు వినిపించేవాడు చలి రోజున పైబట్ట తీసివేసే వాడితోను సూరేకారం మీద చిరక పోసే వాడితోను సమానం.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 21] నీ పగవాడు ఆకలిగా ఉంటే వాడికి అన్నం పెట్టు. దాహంతో ఉంటే వాడికి మంచినీళ్ళు ఇవ్వు.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 22] అలా చేస్తే వాడి తలపై నిప్పులు కుప్పగా పోసిన వాడివౌతావు. యెహోవా అందుకు నీకు ప్రతిఫలమిస్తాడు.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 23] ఉత్తర వాయువు వాన తెస్తుంది. అలానే గుట్టు బయట పెట్టేవాడి ముఖం గంభీరంగా ఉంటుంది.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 24] గయ్యాళితో పెద్ద భవంతిలో ఉండడం కంటే మిద్దెమీద ఒక మూలన ఉండడమే హాయి.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 25] దప్పిగొన్నవాడికి చల్లని నీరు ఎలాగో దూరదేశం నుండి వచ్చిన శుభసమాచారం అలా.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 26] కలకలు అయిపోయిన ఊట, చెడిపోయిన నీటిబుగ్గ, ఉత్తముడు దుష్టుడికి లోబడి ఉండడం ఒకటే.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 27] తేనె మితిమీరి తినడం మంచిది కాదు. గొప్ప కోసం అదే పనిగా పాకులాడడం అలాటిదే.
[IRV | TE | OT | Proverbs | Chapter 25 | Verse 28] ప్రాకారం లేక పాడైన పురం ఎంతో తన మనస్సు అదుపు చేసుకోలేని వాడు అంతే.
