[IRV | TE | OT | Proverbs | Chapter 15 | Verse 1] సున్నితమైన మాట కోపాన్ని తగ్గిస్తుంది. నొప్పించే మాట కోపం రేపుతుంది.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 2] జ్ఞానుల నోరు మనోహరమైన జ్ఞానాంశాలు పలుకుతుంది. మూర్ఖుల నోరు తెలివి తక్కువతనాన్ని కుమ్మరిస్తుంది.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 3] యెహోవా కళ్ళు లోకమంతా చూస్తూ ఉంటాయి. చెడ్డవాళ్ళని, మంచివాళ్ళని అవి చూస్తూ ఉంటాయి.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 4] మృదువైన మాటలు పలికే నాలుక జీవవృక్షం వంటిది. కుటిలమైన మాటలు ఆత్మను క్రుంగదీస్తాయి.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 5] మూర్ఖుడు తన తండ్రి చేసే క్రమశిక్షణను ధిక్కరిస్తాడు. బుద్ధిమంతుడు దిద్దుబాటును స్వీకరిస్తాడు.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 6] నీతిమంతుల ఇల్లు గొప్ప ధనాగారం వంటిది. మూర్ఖునికి కలిగే సంపద బాధలపాలు చేస్తుంది.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 7] జ్ఞానుల మాటలు తెలివిని వ్యాప్తి చేస్తాయి. మూర్ఖుల మనస్సు స్థిరంగా ఉండదు.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 8] భక్తిహీనులు అర్పించే బలులంటే యెహోవాకు అసహ్యం. నీతిమంతుల ప్రార్థన ఆయనకు ఎంతో ఇష్టం.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 9] దుర్మార్గుల మార్గాలు యెహోవాకు హేయమైనవి. నీతిని అనుసరించి నడుచుకునే వారిని ఆయన ప్రేమిస్తాడు.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 10] సన్మార్గం విడిచిపెట్టిన వాడు తీవ్ర కష్టాలపాలౌతాడు. దిద్దుబాటును వ్యతిరేకించే వారు మరణిస్తారు.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 11] మృత్యులోకం, నాశనకరమైన అగాధం యెహోవాకు తేటగా కనబడుతున్నాయి. మనుషుల హృదయాలు ఆయనకు మరింత తేటగా కనబడతాయి గదా?
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 12] అపహాసకుడు తనకు బుద్ధి చెప్పే వాళ్ళను ప్రేమించడు. వాడు జ్ఞానుల మంచి మాటల కోసం వారి దగ్గరికి వెళ్లడు.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 13] ఆనందంగా ఉండే హృదయం వదనాన్ని వికసించేలా చేస్తుంది. మనోవేదన ఆత్మను కృంగదీస్తుంది.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 14] తెలివి గలవారి మనస్సు జ్ఞానం కోసం వెదుకుతుంది. మూర్ఖులు మూఢత్వంతోనే తమ జీవనం సాగిస్తారు.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 15] దీనస్థితిలో ఉన్నవారి కాలమంతా దుర్భరం. మానసిక ఆనందం గల వారికి నిత్యం విందే.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 16] విస్తారమైన సంపద కలిగి నెమ్మది లేకుండా ఉండడం కంటే యెహోవా పట్ల భయభక్తులు కలిగి ఉన్నదానితో జీవించడం ఉత్తమం.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 17] ద్వేషం నిండిన ఇంట్లో కొవ్విన ఎద్దు మాంసం తినడం కంటే ప్రేమ ఉన్న చోట ఆకుకూరల భోజనం తినడం మేలు.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 18] ముక్కోపి కలహాలు రేపుతాడు. ఓర్పు గలవాడు వివాదాలు శాంతింపజేస్తాడు.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 19] సోమరిపోతుల బాట ముళ్లకంచె వంటిది. నీతిమంతులు రాజమార్గంలో పయనిస్తారు.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 20] జ్ఞానం ఉన్న కుమారుడు తండ్రికి సంతోషం కలిగిస్తాడు. మూర్ఖుడు తన తల్లిని తిరస్కరిస్తాడు.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 21] బుద్ధిలేని వాడు తన మూర్ఖత్వాన్ని బట్టి ఆనందం పొందుతాడు. వివేకవంతుడు ఋజుమార్గంలో నడుస్తాడు.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 22] సలహా చెప్పే వారు లేని చోట కార్యం వ్యర్థమైపోతుంది. ఎక్కువమంది సలహాలతో కొనసాగించే కార్యం స్థిరంగా ఉంటుంది.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 23] సరియైన సమాధానం ఇచ్చినప్పుడు సంతోషం కలుగుతుంది. సమయోచితమైన మాట ఎంత మనోహరం!
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 24] వివేకం గల వాడు కింద ఉన్న మృత్యులోకంలో పడకుండా ఉండాలని పైకి వెళ్ళే జీవమార్గం వైపు చూస్తాడు.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 25] గర్విష్టుల ఇల్లు యెహోవా కూల్చి వేస్తాడు. విధవరాలి సరిహద్దును ఆయన స్థిరపరుస్తాడు.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 26] దుష్టుల తలంపులు యెహోవాకు అసహ్యం. దయగల మాటలు ఆయన దృష్టికి పవిత్రమైనవి.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 27] లోభి పిసినారితనంతో తన కుటుంబాన్ని కష్టపెడతాడు. లంచాన్ని అసహ్యించుకొనే వాడు బ్రతుకుతాడు.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 28] నీతిమంతుని మనస్సు జ్ఞానంతో కూడిన జవాబు ఇవ్వడానికి ప్రయత్నిస్తుంది. మూర్ఖుల నోటి వెంట చెడ్డ మాటలే వస్తాయి.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 29] భక్తిహీనులకు యెహోవా దూరంగా ఉంటాడు. నీతిమంతుల ప్రార్థన ఆయన వింటాడు.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 30] కన్నుల్లో కాంతి చూసి హృదయం సంతోషిస్తుంది. క్షేమకరమైన వార్తలు ఎముకలకు బలం కలిగిస్తాయి.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 31] జీవప్రదమైన బోధ అంగీకరించేవాడు జ్ఞానుల మధ్య నివసిస్తాడు.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 32] క్రమశిక్షణ అంగీకరించని వాడు తనను తాను ద్వేషించు కుంటున్నాడు. దిద్దుబాటును స్వీకరించేవాడు వివేకం గలవాడు.
[IRV | TE | OT | Proverbs | Chapter 15 | Verse 33] యెహోవా పట్ల భయభక్తులు కలిగి ఉండడం జ్ఞానం వృద్ది చేసుకునే సాధనం. వినయం కలిగి ఉంటే గౌరవ ప్రతిష్టలు కలుగుతాయి.
