[IRV | TE | OT | Proverbs | Chapter 18 | Verse 1] తనకు తానుగా ఉండే వాడు స్వార్థపరుడు. వాడు సరైన ఆలోచనకు వ్యతిరేకం.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 2] మూర్ఖుడికి విషయం అర్థం చేసుకోవాలని ఉండదు. తానేమి అనుకుంటున్నాడో అది చెప్పడమే అతనికి ఇష్టం.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 3] దుర్మార్గుడు రాగానే ధిక్కారం వస్తుంది. అతడితో బాటే కళంకం, నింద వస్తాయి.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 4] మనిషి పలికే మాటలు లోతుగా ప్రవహించే ప్రవాహం వంటివి. జ్ఞానపు ఊటలో నుండి పారే సెలయేరు వంటివి.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 5] దుష్టుడి పట్ల పక్షపాతం చూపుడం, నిర్దోషులకు అన్యాయం చేయడం భావ్యం కాదు.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 6] బుద్ధి లేని వాడి పెదాలు కలహానికి కాచుకుని ఉంటాయి. వాడి మాటలు దెబ్బల కోసం వెంపర్లాతాయి.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 7] మూర్ఖుడి నోరు వాడికే నాశన హేతువు. అతని మాటలే అతనికి ఉరి.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 8] కొండేలు చెప్పే వాడి మాటలు చవులూరించే భక్ష్యాలు. అవి హాయిగా కడుపులోకి దిగిపోతాయి.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 9] పనిలో సోమరిగా ఉండేవాడు నష్టం కలిగించే వాడికి అన్న.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 10] యెహోవా నామం బలమైన దుర్గం. నీతిపరుడు అందులో తలదాచుకుని సురక్షితంగా ఉంటాడు.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 11] ధనవంతుడి ఆస్తి అతనికి దిట్టమైన కోట. అది పటిష్టమైన ప్రాకారం అని అతని భ్రమ.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 12] విపత్తుకు ముందు మనిషి హృదయం అహంకార పూరితంగా ఉంటుంది. వినయం వల్ల గౌరవం కలుగుతుంది.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 13] సావధానంగా వినకుండానే జవాబిచ్చేవాడు తన తెలివి తక్కువతనాన్ని బయట పెట్టుకుంటాడు. సిగ్గు కొని తెచ్చుకుంటాడు.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 14] వ్యాధి కలిగినా మనిషి ఆత్మ వైపుకుని నిలబడుతుంది. ఆత్మే నలిగిపోతే భరించడమెలా?
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 15] తెలివి గలవారి హృదయం జ్ఞానాన్ని అన్వేషిస్తుంది. వివేకి అస్తమానం దాని పైనే గురి పెట్టుకుంటాడు.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 16] ఒక మనిషి ఇచ్చే కానుక తలుపులు తెరుస్తుంది. దాని సాయంతో అతడు గొప్పవారిని కలుసుకుంటాడు.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 17] వ్యాజ్యంలో మొదట మాట్లాడిన వాడి మాటలు సరైనవిగా కనిపిస్తాయి. అయితే అతని ప్రత్యర్థి వచ్చాక గానీ విషయం తేట పడదు.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 18] చీట్లు వేస్తే వివాదం సమసిపోతుంది. బలమైన వారిని అది ఊరుకోబెడుతుంది.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 19] పటిష్టమైన నగరాన్ని వశపరచుకోవడం కంటే అలిగిన సోదరుణ్ణి సముదాయించడం కష్టం. పోట్లాటలు కోట తలుపుల అడ్డగడియలంత గట్టివి.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 20] ఒకడి కడుపు నిండడం అతని నోటి మాటలను బట్టే ఉంటుంది. తన పెదవుల పంట కోత మూలంగా అతడు తృప్తిచెందుతాడు.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 21] జీవన్మరణాలు నాలుక వశం. దాన్ని ఇష్టపడే వారు దాని ఫలం అనుభవిస్తారు.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 22] భార్య దొరికిన వాడికి మేలు దొరికింది. అతడు యెహోవా అనుగ్రహం పొందాడు.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 23] నిరుపేద ఎంతో ప్రాధేయ పడతాడు. ధనవంతుడు దురుసుగా జవాబిస్తాడు.
[IRV | TE | OT | Proverbs | Chapter 18 | Verse 24] ఎక్కువ మంది స్నేహితులున్న వాడికి నష్టం. అయితే సోదరుని కన్నా సన్నిహితంగా ఉండే మిత్రులు కూడా ఉంటారు.
