[IRV | TE | OT | Proverbs | Chapter 21 | Verse 1] రాజు హృదయం యెహోవా చేతిలో కాలవల్లాగా ఉంది. ఆయన తన ఇష్ట ప్రకారం దాన్ని మళ్ళిస్తాడు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 2] ఒకడు ఎన్నుకున్న మార్గం అది ఎలాటిదైనా సరే, తన దృష్టికది న్యాయం గానే కనిపిస్తుంది. హృదయాలను పరిశీలించేది యెహోవాయే.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 3] బలులు అర్పించడం కంటే నీతిన్యాయాలను అనుసరించి నడచు కోవడం యెహోవాకు ప్రీతికరం.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 4] అహంకారం గర్విష్టి హృదయం భక్తిహీనులు వర్ధిల్లడం పాపం.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 5] శ్రద్ధగలవారి ఆలోచనలు లాభాన్ని తెస్తాయి. తొందరపాటుగా పనిచేసే వాడికి నష్టమే.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 6] అబద్ధాలాడి ధనం సంపాదించుకోవడం మరణ సమయంలో కొన ఊపిరితో సమానం.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 7] భక్తిహీనులకు న్యాయం గిట్టదు. వారు చేసే దౌర్జన్యమే వారిని కొట్టుకు పోయేలా చేస్తుంది.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 8] దోషంతో నిండిన వాడి మార్గం వంకర మార్గం. పవిత్రులు రుజుమార్గంలో నడుచుకుంటారు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 9] గయ్యాళితో భవంతిలో ఉండడం కంటే మిద్దెపై ఒక మూలన నివసించడం మేలు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 10] భక్తిలేని వాడి మనస్సు అస్తమానం కీడు చేయాలని చూస్తుంటుంది. అతని పొరుగు వాడికి అతని కన్నుల్లో దయ ఎంతమాత్రం కనిపించదు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 11] అపహాసకుడికి శిక్ష రావడం చూసి ఆజ్ఞాని బుద్ధి తెచ్చుకుంటాడు. ఉపదేశం మూలంగా జ్ఞానం గలవాడి తెలివి పెరుగుతుంది.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 12] న్యాయం చేసే వాడు భక్తిహీనుల ఇల్లు ఏమైపోతున్నదో కనిపెట్టి చూస్తుంటాడు. దుర్మార్గులను ఆయన పడగొట్టి నాశనం చేస్తాడు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 13] దరిద్రుల మొర వినకుండా చెవులు మూసుకునేవాడు తాను మొర్ర పెట్టే సమయంలో దేవుడు దాన్ని వినిపించుకోడు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 14] చాటున ఇచ్చిన కానుక కోపాన్ని చల్లారుస్తుంది. రహస్యంగా ఇచ్చిన బహుమానం తీవ్ర కోపాన్ని సైతం శాంతింప జేస్తుంది.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 15] న్యాయ క్రియలు చేయడం నీతిపరుడికి సంతోషం. పాపాత్ముడికి అది భయంకరం.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 16] వివేకమార్గం తప్పి తిరిగేవాడు ప్రేతాత్మల గుంపులో కాపురముంటాడు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 17] సుఖభోగాల్లో వాంఛ గలవాడు దరిద్రుడౌతాడు. ద్రాక్షారసం, నూనెల కోసం వెంపర్లాడే వాడికి ఐశ్వర్యం కలగదు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 18] నీతిపరుని కోసం దుర్మార్గులు విడుదల వెలగా ఉంటారు. యథార్థవంతులకు ప్రతిగా విశ్వాస ఘాతకులు పరిహారంగా ఉంటారు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 19] ప్రాణం విసికించే జగడగొండి దానితో కాపురం చెయ్యడం కంటే ఎడారిలో నివసించడం మేలు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 20] విలువైన నిధులు, నూనె జ్ఞానుల ఇళ్ళలో ఉంటాయి. బుద్ధిహీనుడు వాటిని నిర్లక్షంగా ఖర్చు చేస్తాడు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 21] నీతిగా దయగా ఉండే వాడు జీవాన్ని, నీతిని ఘనతను పొందుతాడు. అతడు సరైన నిర్ణయాలు చేస్తాడు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 22] జ్ఞానవంతుడు పరాక్రమశాలుల నగరం పై దాడి చేస్తాడు. అతడు దాని భద్రమైన కోటను కూలదోస్తాడు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 23] నోటిని నాలుకను కాపాడుకునేవాడు ఇబ్బందుల నుండి తనను కాపాడుకుంటాడు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 24] అహంకారి, గర్విష్టి-అతనికి అపహాసకుడు అని పేరు. అలాంటివాడు గర్వంతో మిడిసి పడతాడు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 25] సోమరిపోతు చేతులు పనిచేయవు. వాడి కోరికలే వాడికి చావు తెచ్చిపెడతాయి.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 26] రోజంతా అతనిలో ఆశలు ఊరుతూనే ఉంటాయి. యథార్థంగా ప్రవర్తించేవాడు వెనుదీయకుండా ఇస్తూనే ఉంటాడు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 27] దుష్టులర్పించే బలులు అసహ్యం. ఆ బలులు వారు దురాలోచనతో అర్పిస్తే అవి మరింకెంత అసహ్యమో గదా.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 28] అబద్ధసాక్షి నాశనమై పోతాడు. శ్రద్ధగా వినేవాడు పలికే మాటలు శాశ్వతంగా నిలిచి ఉంటాయి.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 29] దుర్మార్గుడు ముఖం మాడ్చుకుంటాడు. యథార్థవంతుడు తన ప్రవర్తనను జాగ్రత్తగా చూసుకుంటాడు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 30] యెహోవాకు విరోధమైన జ్ఞానంగానీ వివేచనగానీ ఆలోచనగానీ నిలవదు.
[IRV | TE | OT | Proverbs | Chapter 21 | Verse 31] యుద్ధదినానికి గుర్రాన్ని సిద్ధపరుస్తారు. అయితే విజయం యెహోవాదే.
