[IRV | TE | OT | Proverbs | Chapter 26 | Verse 1] ఎండాకాలానికి మంచు ఎలానో కోతకాలానికి వర్షమెలానో అలానే బుద్ధి లేనివాడికి గౌరవం తగినది కాదు.
[IRV | TE | OT | Proverbs | Chapter 26 | Verse 2] రెక్కలు కొట్టుకుంటూ ఎగురుతున్న పిచ్చుక, రివ్వున ఎగిరిపోయే వానకోయిల ఎలా నేలకు దిగవో అలానే శాపానికి అర్హుడు కాని వాడికి శాపం తగలదు.
[IRV | TE | OT | Proverbs | Chapter 26 | Verse 3] గుర్రానికి చెర్నాకోల. గాడిదకు కళ్ళెం. మూర్ఖుల వీపుకు బెత్తం.
[IRV | TE | OT | Proverbs | Chapter 26 | Verse 4] మూర్ఖుడి మూఢత చొప్పున వాడికి జవాబు ఇవ్వద్దు. అలా ఇస్తే నువ్వు కూడా వాడి లాగానే ఉంటావు.
[IRV | TE | OT | Proverbs | Chapter 26 | Verse 5] వాడి మూర్ఖత్వం చొప్పున మూర్ఖుడికి జవాబివ్వు. అలా చేయకపోతే వాడు తన దృష్టికి తాను జ్ఞానిననుకుంటాడు.
[IRV | TE | OT | Proverbs | Chapter 26 | Verse 6] మూర్ఖుడితో కబురు పంపేవాడు కాళ్లు తెగగొట్టుకుని విషం తాగిన వాడితో సమానం.
[IRV | TE | OT | Proverbs | Chapter 26 | Verse 7] అవిటి వాడి కాళ్ళలో బలం ఉండదు. బుద్ధిలేని వాడి నోటిలో సామెత కూడా అంతే.
[IRV | TE | OT | Proverbs | Chapter 26 | Verse 8] బుద్ధిలేని వాణ్ణి గొప్ప చేసే వాడు వడిసెలలో రాయి కదలకుండా కట్టేసే వాడితో సమానం.
[IRV | TE | OT | Proverbs | Chapter 26 | Verse 9] మూర్ఖుల నోట సామెత మత్తులో ఉన్న వాడి చేతిలో ముల్లు గుచ్చుకున్నట్టు ఉంటుంది.
[IRV | TE | OT | Proverbs | Chapter 26 | Verse 10] బుద్ధిలేని వాణ్ణి, లేదా అటుగా వెళ్తూ ఉండే ఎవరో ఒకరిని కూలికి పెట్టుకునే వాడు అందరినీ గాయపరచే విలుకాడితో సమానం.
[IRV | TE | OT | Proverbs | Chapter 26 | Verse 11] తన మూర్ఖత్వాన్ని పదేపదే బయట పెట్టుకునే వాడు కక్కిన దాన్ని తినడానికి తిరిగే కుక్కతో సమానం.
