[SBLGNT | EL | NT | Galatians | Chapter 4 | Verse 1] Λέγω δέ, ἐφʼ ὅσον χρόνον ὁ κληρονόμος νήπιός ἐστιν, οὐδὲν διαφέρει δούλου κύριος πάντων ὤν,
[SBLGNT | EL | NT | Galatians | Chapter 4 | Verse 2] ἀλλὰ ὑπὸ ἐπιτρόπους ἐστὶ καὶ οἰκονόμους ἄχρι τῆς προθεσμίας τοῦ πατρός.
[SBLGNT | EL | NT | Galatians | Chapter 4 | Verse 3] οὕτως καὶ ἡμεῖς, ὅτε ἦμεν νήπιοι, ὑπὸ τὰ στοιχεῖα τοῦ κόσμου ⸀ἤμεθα δεδουλωμένοι·
[SBLGNT | EL | NT | Galatians | Chapter 4 | Verse 4] ὅτε δὲ ἦλθεν τὸ πλήρωμα τοῦ χρόνου, ἐξαπέστειλεν ὁ θεὸς τὸν υἱὸν αὐτοῦ, γενόμενον ἐκ γυναικός, γενόμενον ὑπὸ νόμον,
[SBLGNT | EL | NT | Galatians | Chapter 4 | Verse 5] ἵνα τοὺς ὑπὸ νόμον ἐξαγοράσῃ, ἵνα τὴν υἱοθεσίαν ἀπολάβωμεν.
[SBLGNT | EL | NT | Galatians | Chapter 4 | Verse 6] ὅτι δέ ἐστε υἱοί, ἐξαπέστειλεν ὁ θεὸς τὸ πνεῦμα τοῦ υἱοῦ αὐτοῦ εἰς τὰς καρδίας ⸀ἡμῶν, κρᾶζον· Αββα ὁ πατήρ.
[SBLGNT | EL | NT | Galatians | Chapter 4 | Verse 7] ὥστε οὐκέτι εἶ δοῦλος ἀλλὰ υἱός· εἰ δὲ υἱός, καὶ κληρονόμος ⸂διὰ θεοῦ⸃.
[SBLGNT | EL | NT | Galatians | Chapter 4 | Verse 8] Ἀλλὰ τότε μὲν οὐκ εἰδότες θεὸν ἐδουλεύσατε τοῖς ⸂φύσει μὴ⸃ οὖσι θεοῖς·
[SBLGNT | EL | NT | Galatians | Chapter 4 | Verse 9] νῦν δὲ γνόντες θεόν, μᾶλλον δὲ γνωσθέντες ὑπὸ θεοῦ, πῶς ἐπιστρέφετε πάλιν ἐπὶ τὰ ἀσθενῆ καὶ πτωχὰ στοιχεῖα, οἷς πάλιν ἄνωθεν ⸀δουλεύειν θέλετε;
[SBLGNT | EL | NT | Galatians | Chapter 4 | Verse 10] ἡμέρας παρατηρεῖσθε καὶ μῆνας καὶ καιροὺς καὶ ἐνιαυτούς.
[SBLGNT | EL | NT | Galatians | Chapter 4 | Verse 11] φοβοῦμαι ὑμᾶς μή πως εἰκῇ κεκοπίακα εἰς ὑμᾶς.
[SBLGNT | EL | NT | Galatians | Chapter 4 | Verse 12] Γίνεσθε ὡς ἐγώ, ὅτι κἀγὼ ὡς ὑμεῖς, ἀδελφοί, δέομαι ὑμῶν. οὐδέν με ἠδικήσατε·
[SBLGNT | EL | NT | Galatians | Chapter 4 | Verse 13] οἴδατε δὲ ὅτι διʼ ἀσθένειαν τῆς σαρκὸς εὐηγγελισάμην ὑμῖν τὸ πρότερον,
[SBLGNT | EL | NT | Galatians | Chapter 4 | Verse 14] καὶ τὸν πειρασμὸν ⸀ὑμῶν ἐν τῇ σαρκί μου οὐκ ἐξουθενήσατε οὐδὲ ἐξεπτύσατε, ἀλλὰ ὡς ἄγγελον θεοῦ ἐδέξασθέ με, ὡς Χριστὸν Ἰησοῦν.
