[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 1] Then all Israel gathered themselves to David unto Hebron, saying, Behold, we are thy bone and thy flesh.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 2] And moreover in time past, even when Saul was king, thou wast he that leddest out and broughtest in Israel: and the Lord thy God said unto thee, Thou shalt feed my people Israel, and thou shalt be ruler over my people Israel.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 3] Therefore came all the elders of Israel to the king to Hebron; and David made a covenant with them in Hebron before the Lord; and they anointed David king over Israel, according to the word of the Lord by Samuel.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 4] And David and all Israel went to Jerusalem, which is Jebus; where the Jebusites were, the inhabitants of the land.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 5] And the inhabitants of Jebus said to David, Thou shalt not come hither. Nevertheless David took the castle of Zion, which is the city of David.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 6] And David said, Whosoever smiteth the Jebusites first shall be chief and captain. So Joab the son of Zeruiah went first up, and was chief.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 7] And David dwelt in the castle; therefore they called it the city of David.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 8] And he built the city round about, even from Millo round about: and Joab repaired the rest of the city.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 9] So David waxed greater and greater: for the Lord of hosts was with him.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 10] These also are the chief of the mighty men whom David had, who strengthened themselves with him in his kingdom, and with all Israel, to make him king, according to the word of the Lord concerning Israel.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 11] And this is the number of the mighty men whom David had; Jashobeam, a Hachmonite, the chief of the captains: he lift up his spear against three hundred slain by him at one time.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 12] And after him was Eleazar the son of Dodo, the Ahohite, who was one of the three mighties.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 13] He was with David at Pas-dammim, and there the Philistines were gathered together to battle, where was a parcel of ground full of barley; and the people fled from before the Philistines.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 14] And they set themselves in the midst of that parcel, and delivered it, and slew the Philistines; and the Lord saved them by a great deliverance.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 15] Now three of the thirty captains went down to the rock to David, into the cave of Adullam; and the host of the Philistines encamped in the valley of Rephaim.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 16] And David was then in the hold, and the Philistines’ garrison was then at Beth-lehem.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 17] And David longed, and said, Oh that one would give me drink of the water of the well of Beth-lehem, that is at the gate.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 18] And the three brake through the host of the Philistines, and drew water out of the well of Beth-lehem, that was by the gate, and took it, and brought it to David: but David would not drink of it, but poured it out to the Lord,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 19] and said, My God forbid it me, that I should do this thing: shall I drink the blood of these men that have put their lives in jeopardy? for with the jeopardy of their lives they brought it. Therefore he would not drink it. These things did these three mightiest.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 20] And Abishai the brother of Joab, he was chief of the three: for lifting up his spear against three hundred, he slew them, and had a name among the three.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 21] Of the three, he was more honourable than the two; for he was their captain: howbeit he attained not to the first three.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 22] Benaiah the son of Jehoiada, the son of a valiant man of Kabzeel, who had done many acts; he slew two lionlike men of Moab: also he went down and slew a lion in a pit in a snowy day.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 23] And he slew an Egyptian, a man of great stature, five cubits high; and in the Egyptian’s hand was a spear like a weaver’s beam; and he went down to him with a staff, and pluckt the spear out of the Egyptian’s hand, and slew him with his own spear.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 24] These things did Benaiah the son of Jehoiada, and had the name among the three mighties.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 25] Behold, he was honourable among the thirty, but attained not to the first three: and David set him over his guard.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 26] Also the valiant men of the armies were, Asahel the brother of Joab, Elhanan the son of Dodo of Beth-lehem,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 27] Shammoth the Harorite, Helez the Pelonite,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 28] Ira the son of Ikkesh the Tekoite, Abi-ezer the Antothite,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 29] Sibbecai the Hushathite, Ilai the Ahohite,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 30] Maharai the Netophathite, Heled the son of Baanah the Netophathite,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 31] Ithai the son of Ribai of Gibeah, that pertained to the children of Benjamin, Benaiah the Pirathonite,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 32] Hurai of the brooks of Gaash, Abiel the Arbathite,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 33] Azmaveth the Baharumite, Eliahba the Shaalbonite,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 34] the sons of Hashem the Gizonite, Jonathan the son of Shage the Hararite,
