[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 1] Now Benjamin begat Bela his firstborn, Ashbel the second, and Aharah the third,
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 2] Nohah the fourth, and Rapha the fifth.
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 3] And the sons of Bela were, Addar, and Gera, and Abihud,
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 4] and Abishua, and Naaman, and Ahoah,
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 5] and Gera, and Shephuphan, and Huram.
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 6] And these are the sons of Ehud: these are the heads of the fathers of the inhabitants of Geba, and they removed them to Manahath:
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 7] and Naaman, and Ahiah, and Gera, he removed them, and begat Uzza, and Ahihud.
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 8] And Shaharaim begat children in the country of Moab, after he had sent them away; Hushim and Baara were his wives.
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 9] And he begat of Hodesh his wife, Jobab, and Zibia, and Mesha, and Malcham,
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 10] and Jeuz, and Shachia, and Mirma. These were his sons, heads of the fathers.
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 11] And of Hushim he begat Abitub, and Elpaal.
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 12] The sons of Elpaal; Eber, and Misham, and Shamed, who built Ono, and Lod, with the towns thereof:
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 13] Beriah also, and Shema, who were heads of the fathers of the inhabitants of Aijalon, who drove away the inhabitants of Gath:
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 14] and Ahio, Shashak, and Jeremoth,
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 15] and Zebadiah, and Arad, and Ader,
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 16] and Michael, and Ispah, and Joha, the sons of Beriah;
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 17] and Zebadiah, and Meshullam, and Hezeki, and Heber,
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 18] Ishmerai also, and Jezliah, and Jobab, the sons of Elpaal;
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 19] and Jakim, and Zichri, and Zabdi,
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 20] and Elienai, and Zilthai, and Eliel,
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 21] and Adaiah, and Beraiah, and Shimrath, the sons of Shimhi;
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 22] and Ishpan, and Heber, and Eliel,
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 23] and Abdon, and Zichri, and Hanan,
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 24] and Hananiah, and Elam, and Antothijah,
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 25] and Iphedeiah, and Penuel, the sons of Shashak;
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 26] and Shamsherai, and Shehariah, and Athaliah,
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 27] and Jaresiah, and Eliah, and Zichri, the sons of Jeroham.
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 28] These were heads of the fathers, by their generations, chief men. These dwelt in Jerusalem.
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 29] And at Gibeon dwelt the father of Gibeon; whose wife’s name was Maachah:
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 30] and his firstborn son Abdon, and Zur, and Kish, and Baal, and Nadab,
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 31] and Gedor, and Ahio, and Zacher.
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 32] And Mikloth begat Shimeah. And these also dwelt with their brethren in Jerusalem, over against them.
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 33] And Ner begat Kish, and Kish begat Saul, and Saul begat Jonathan, and Malchishua, and Abinadab, and Eshbaal.
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 34] And the son of Jonathan was Merib-baal; and Merib-baal begat Micah.
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 35] And the sons of Micah were, Pithon, and Melech, and Tarea, and Ahaz.
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 36] And Ahaz begat Jehoadah; and Jehoadah begat Alemeth, and Azmaveth, and Zimri; and Zimri begat Moza,
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 37] and Moza begat Binea: Rapha was his son, Eleasah his son, Azel his son:
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 38] and Azel had six sons, whose names are these, Azrikam, Bocheru, and Ishmael, and Sheariah, and Obadiah, and Hanan. All these were the sons of Azel.
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 39] And the sons of Eshek his brother were, Ulam his firstborn, Jehush the second, and Eliphelet the third.
[KJV | EN | OT | 1 Chronicles | Chapter 8 | Verse 40] And the sons of Ulam were mighty men of valour, archers, and had many sons, and sons’ sons, an hundred and fifty. All these are of the sons of Benjamin.
