[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 1] Moreover David and the captains of the host separated to the service of the sons of Asaph, and of Heman, and of Jeduthun, who should prophesy with harps, with psalteries, and with cymbals: and the number of the workmen according to their service was:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 2] of the sons of Asaph; Zaccur, and Joseph, and Nethaniah, and Asarelah, the sons of Asaph under the hands of Asaph, which prophesied according to the order of the king.
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 3] Of Jeduthun: the sons of Jeduthun; Gedaliah, and Zeri, and Jeshaiah, Hashabiah, and Mattithiah, six, under the hands of their father Jeduthun, who prophesied with a harp, to give thanks and to praise the Lord.
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 4] Of Heman: the sons of Heman; Bukkiah, Mattaniah, Uzziel, Shebuel, and Jerimoth, Hananiah, Hanani, Eliathah, Giddalti, and Romamti-ezer, Joshbekashah, Mallothi, Hothir, and Mahazioth:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 5] all these were the sons of Heman the king’s seer in the words of God, to lift up the horn. And God gave to Heman fourteen sons and three daughters.
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 6] All these were under the hands of their father for song in the house of the Lord, with cymbals, psalteries, and harps, for the service of the house of God, according to the king’s order to Asaph, Jeduthun, and Heman.
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 7] So the number of them, with their brethren that were instructed in the songs of the Lord, even all that were cunning, was two hundred fourscore and eight.
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 8] And they cast lots, ward against ward, as well the small as the great, the teacher as the scholar.
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 9] Now the first lot came forth for Asaph to Joseph: the second to Gedaliah, who with his brethren and sons were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 10] the third to Zaccur, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 11] the fourth to Izri, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 12] the fifth to Nethaniah, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 13] the sixth to Bukkiah, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 14] the seventh to Jesharelah, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 15] the eighth to Jeshaiah, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 16] the ninth to Mattaniah, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 17] the tenth to Shimei, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 18] the eleventh to Azareel, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 19] the twelfth to Hashabiah, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 20] the thirteenth to Shubael, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 21] the fourteenth to Mattithiah, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 22] the fifteenth to Jeremoth, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 23] the sixteenth to Hananiah, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 24] the seventeenth to Joshbekashah, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 25] the eighteenth to Hanani, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 26] the nineteenth to Mallothi, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 27] the twentieth to Eliathah, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 28] the one and twentieth to Hothir, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 29] the two and twentieth to Giddalti, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 30] the three and twentieth to Mahazioth, he, his sons, and his brethren, were twelve:
[KJV | EN | OT | 1 Chronicles | Chapter 25 | Verse 31] the four and twentieth to Romamti-ezer, he, his sons, and his brethren, were twelve.
