[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 1] So they brought the ark of God, and set it in the midst of the tent that David had pitched for it: and they offered burnt sacrifices and peace offerings before God.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 2] And when David had made an end of offering the burnt offerings and the peace offerings, he blessed the people in the name of the Lord.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 3] And he dealt to every one of Israel, both man and woman, to every one a loaf of bread, and a good piece of flesh, and a flagon of wine.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 4] And he appointed certain of the Levites to minister before the ark of the Lord, and to record, and to thank and praise the Lord God of Israel:
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 5] Asaph the chief, and next to him Zechariah, Jeiel, and Shemiramoth, and Jehiel, and Mattithiah, and Eliab, and Benaiah, and Obed-edom: and Jeiel with psalteries and with harps; but Asaph made a sound with cymbals;
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 6] Benaiah also and Jahaziel the priests with trumpets continually before the ark of the covenant of God.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 7] Then on that day David delivered first this psalm to thank the Lord into the hand of Asaph and his brethren.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 8] Give thanks unto the Lord, call upon his name, Make known his deeds among the people.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 9] Sing unto him, sing psalms unto him, Talk you of all his wondrous works.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 10] Glory ye in his holy name: Let the heart of them rejoice that seek the Lord.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 11] Seek the Lord and his strength, Seek his face continually.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 12] Remember his marvellous works that he hath done, His wonders, and the judgments of his mouth;
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 13] O ye seed of Israel his servant, Ye children of Jacob, his chosen ones.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 14] He is the Lord our God; His judgments are in all the earth.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 15] Be ye mindful always of his covenant; The word which he commanded to a thousand generations;
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 16] Even of the covenant which he made with Abraham, And of his oath unto Isaac;
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 17] And hath confirmed the same to Jacob for a law, And to Israel for an everlasting covenant,
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 18] Saying, Unto thee will I give the land of Canaan, The lot of your inheritance;
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 19] When ye were but few, Even a few, and strangers in it.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 20] And when they went from nation to nation, And from one kingdom to another people;
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 21] He suffered no man to do them wrong: Yea, he reproved kings for their sakes,
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 22] Saying, Touch not mine anointed, And do my prophets no harm.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 23] Sing unto the Lord, all the earth; Shew forth from day to day his salvation.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 24] Declare his glory among the heathen; His marvellous works among all nations.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 25] For great is the Lord, and greatly to be praised: He also is to be feared above all gods.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 26] For all the gods of the people are idols: But the Lord made the heavens.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 27] Glory and honour are in his presence; Strength and gladness are in his place.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 28] Give unto the Lord, ye kindreds of the people, Give unto the Lord glory and strength.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 29] Give unto the Lord the glory due unto his name: Bring an offering, and come before him: Worship the Lord in the beauty of holiness.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 30] Fear before him, all the earth: The world also shall be stable, that it be not moved.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 31] Let the heavens be glad, and let the earth rejoice: And let men say among the nations, The Lord reigneth.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 32] Let the sea roar, and the fulness thereof: Let the fields rejoice, and all that is therein.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 33] Then shall the trees of the wood sing out at the presence of the Lord, Because he cometh to judge the earth.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 34] O give thanks unto the Lord; for he is good; For his mercy endureth for ever.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 35] And say ye, Save us, O God of our salvation, And gather us together, and deliver us from the heathen, That we may give thanks to thy holy name, And glory in thy praise.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 36] Blessed be the Lord God of Israel for ever and ever. And all the people said, Amen, and praised the Lord.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 37] So he left there before the ark of the covenant of the Lord Asaph and his brethren, to minister before the ark continually, as every day’s work required:
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 38] and Obed-edom with their brethren, threescore and eight; Obed-edom also the son of Jeduthun and Hosah to be porters:
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 39] and Zadok the priest, and his brethren the priests, before the tabernacle of the Lord in the high place that was at Gibeon,
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 40] to offer burnt offerings unto the Lord upon the altar of the burnt offering continually morning and evening, and to do according to all that is written in the law of the Lord, which he commanded Israel;
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 41] and with them Heman and Jeduthun, and the rest that were chosen, who were expressed by name, to give thanks to the Lord, because his mercy endureth for ever;
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 42] and with them Heman and Jeduthun with trumpets and cymbals for those that should make a sound, and with musical instruments of God. And the sons of Jeduthun were porters.
[KJV | EN | OT | 1 Chronicles | Chapter 16 | Verse 43] And all the people departed every man to his house: and David returned to bless his house.
