[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 1] So all Israel were reckoned by genealogies; and behold, they were written in the book of the kings of Israel and Judah, who were carried away to Babylon for their transgression.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 2] Now the first inhabitants that dwelt in their possessions in their cities were, the Israelites, the priests, Levites, and the Nethinims.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 3] And in Jerusalem dwelt of the children of Judah, and of the children of Benjamin, and of the children of Ephraim, and Manasseh;
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 4] Uthai the son of Ammihud, the son of Omri, the son of Imri, the son of Bani, of the children of Pharez the son of Judah.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 5] And of the Shilonites; Asaiah the firstborn, and his sons.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 6] And of the sons of Zerah; Jeuel, and their brethren, six hundred and ninety.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 7] And of the sons of Benjamin; Sallu the son of Meshullam, the son of Hodaviah, the son of Hasenuah,
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 8] and Ibneiah the son of Jeroham, and Elah the son of Uzzi, the son of Michri, and Meshullam the son of Shephathiah, the son of Reuel, the son of Ibnijah;
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 9] and their brethren, according to their generations, nine hundred and fifty and six. All these men were chief of the fathers in the house of their fathers.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 10] And of the priests; Jedaiah, and Jehoiarib, and Jachin,
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 11] and Azariah the son of Hilkiah, the son of Meshullam, the son of Zadok, the son of Meraioth, the son of Ahitub, the ruler of the house of God;
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 12] and Adaiah the son of Jeroham, the son of Pashur, the son of Malchijah, and Maasiai the son of Adiel, the son of Jahzerah, the son of Meshullam, the son of Meshillemith, the son of Immer;
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 13] and their brethren, heads of the house of their fathers, a thousand and seven hundred and threescore; very able men for the work of the service of the house of God.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 14] And of the Levites; Shemaiah the son of Hasshub, the son of Azrikam, the son of Hashabiah, of the sons of Merari;
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 15] and Bakbakkar, Heresh, and Galal, and Mattaniah the son of Micah, the son of Zichri, the son of Asaph;
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 16] and Obadiah the son of Shemaiah, the son of Galal, the son of Jeduthun, and Berechiah the son of Asa, the son of Elkanah, that dwelt in the villages of the Netophathites.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 17] And the porters were, Shallum, and Akkub, and Talmon, and Ahiman, and their brethren: Shallum was the chief;
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 18] who hitherto waited in the king’s gate eastward: they were porters in the companies of the children of Levi.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 19] And Shallum the son of Kore, the son of Ebiasaph, the son of Korah, and his brethren, of the house of his father, the Korahites, were over the work of the service, keepers of the gates of the tabernacle: and their fathers, being over the host of the Lord, were keepers of the entry.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 20] And Phinehas the son of Eleazar was the ruler over them in time past, and the Lord was with him.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 21] And Zechariah the son of Meshelemiah was porter of the door of the tabernacle of the congregation.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 22] All these which were chosen to be porters in the gates were two hundred and twelve. These were reckoned by their genealogy in their villages, whom David and Samuel the seer did ordain in their set office.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 23] So they and their children had the oversight of the gates of the house of the Lord, namely, the house of the tabernacle, by wards.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 24] In four quarters were the porters, toward the east, west, north, and south.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 25] And their brethren, which were in their villages, were to come after seven days from time to time with them.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 26] For these Levites, the four chief porters, were in their set office, and were over the chambers and treasuries of the house of God.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 27] And they lodged round about the house of God, because the charge was upon them, and the opening thereof every morning pertained to them.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 28] And certain of them had the charge of the ministering vessels, that they should bring them in and out by tale.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 29] Some of them also were appointed to oversee the vessels, and all the instruments of the sanctuary, and the fine flour, and the wine, and the oil, and the frankincense, and the spices.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 30] And some of the sons of the priests made the ointment of the spices.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 31] And Mattithiah, one of the Levites, who was the firstborn of Shallum the Korahite, had the set office over the things that were made in the pans.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 32] And other of their brethren, of the sons of the Kohathites, were over the shewbread, to prepare it every sabbath.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 33] And these are the singers, chief of the fathers of the Levites, who remaining in the chambers were free: for they were employed in that work day and night.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 34] These chief fathers of the Levites were chief throughout their generations; these dwelt at Jerusalem.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 35] And in Gibeon dwelt the father of Gibeon, Jehiel, whose wife’s name was Maachah:
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 36] and his firstborn son Abdon, then Zur, and Kish, and Baal, and Ner, and Nadab,
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 37] and Gedor, and Ahio, and Zechariah, and Mikloth.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 38] And Mikloth begat Shimeam. And they also dwelt with their brethren at Jerusalem, over against their brethren.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 39] And Ner begat Kish; and Kish begat Saul; and Saul begat Jonathan, and Malchishua, and Abinadab, and Eshbaal.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 40] And the son of Jonathan was Merib-baal: and Merib-baal begat Micah.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 41] And the sons of Micah were, Pithon, and Melech, and Tahrea, and Ahaz.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 42] And Ahaz begat Jarah; and Jarah begat Alemeth, and Azmaveth, and Zimri; and Zimri begat Moza;
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 43] and Moza begat Binea; and Rephaiah his son, Eleasah his son, Azel his son.
[KJV | EN | OT | 1 Chronicles | Chapter 9 | Verse 44] And Azel had six sons, whose names are these, Azrikam, Bocheru, and Ishmael, and Sheariah, and Obadiah, and Hanan: these were the sons of Azel.
