[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 1] The sons of Levi; Gershon, Kohath, and Merari.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 2] And the sons of Kohath; Amram, Izhar, and Hebron, and Uzziel.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 3] And the children of Amram; Aaron, and Moses, and Miriam. The sons also of Aaron; Nadab, and Abihu, Eleazar, and Ithamar.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 4] Eleazar begat Phinehas, Phinehas begat Abishua,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 5] and Abishua begat Bukki, and Bukki begat Uzzi,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 6] and Uzzi begat Zerahiah, and Zerahiah begat Meraioth,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 7] Meraioth begat Amariah, and Amariah begat Ahitub,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 8] and Ahitub begat Zadok, and Zadok begat Ahimaaz,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 9] and Ahimaaz begat Azariah, and Azariah begat Johanan,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 10] and Johanan begat Azariah, (he it is that executed the priest’s office in the temple that Solomon built in Jerusalem:)
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 11] and Azariah begat Amariah, and Amariah begat Ahitub,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 12] and Ahitub begat Zadok, and Zadok begat Shallum,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 13] and Shallum begat Hilkiah, and Hilkiah begat Azariah,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 14] and Azariah begat Seraiah, and Seraiah begat Jehozadak,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 15] and Jehozadak went into captivity, when the Lord carried away Judah and Jerusalem by the hand of Nebuchadnezzar.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 16] The sons of Levi; Gershom, Kohath, and Merari.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 17] And these be the names of the sons of Gershom; Libni, and Shimei.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 18] And the sons of Kohath were, Amram, and Izhar, and Hebron, and Uzziel.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 19] The sons of Merari; Mahli, and Mushi. And these are the families of the Levites according to their fathers.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 20] Of Gershom; Libni his son, Jahath his son, Zimmah his son,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 21] Joah his son, Iddo his son, Zerah his son, Jeaterai his son.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 22] The sons of Kohath; Amminadab his son, Korah his son, Assir his son,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 23] Elkanah his son, and Ebiasaph his son, and Assir his son,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 24] Tahath his son, Uriel his son, Uzziah his son, and Shaul his son.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 25] And the sons of Elkanah; Amasai, and Ahimoth.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 26] As for Elkanah: the sons of Elkanah; Zophai his son, and Nahath his son,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 27] Eliab his son, Jeroham his son, Elkanah his son.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 28] And the sons of Samuel; the firstborn Vashni, and Abiah.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 29] The sons of Merari; Mahli, Libni his son, Shimei his son, Uzza his son,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 30] Shimea his son, Haggiah his son, Asaiah his son.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 31] And these are they whom David set over the service of song in the house of the Lord, after that the ark had rest.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 32] And they ministered before the dwelling place of the tabernacle of the congregation with singing, until Solomon had built the house of the Lord in Jerusalem: and then they waited on their office according to their order.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 33] And these are they that waited with their children. Of the sons of the Kohathites: Heman a singer, the son of Joel, the son of Shemuel,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 34] the son of Elkanah, the son of Jeroham, the son of Eliel, the son of Toah,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 35] the son of Zuph, the son of Elkanah, the son of Mahath, the son of Amasai,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 36] the son of Elkanah, the son of Joel, the son of Azariah, the son of Zephaniah,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 37] the son of Tahath, the son of Assir, the son of Ebiasaph, the son of Korah,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 38] the son of Izhar, the son of Kohath, the son of Levi, the son of Israel.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 39] And his brother Asaph, who stood on his right hand, even Asaph the son of Berachiah, the son of Shimea,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 40] the son of Michael, the son of Baaseiah, the son of Malchiah,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 41] the son of Ethni, the son of Zerah, the son of Adaiah,
