[KJV | EN | OT | 1 Chronicles | Chapter 10 | Verse 1] Now the Philistines fought against Israel; and the men of Israel fled from before the Philistines, and fell down slain in mount Gilboa.
[KJV | EN | OT | 1 Chronicles | Chapter 10 | Verse 2] And the Philistines followed hard after Saul, and after his sons; and the Philistines slew Jonathan, and Abinadab, and Malchishua, the sons of Saul.
[KJV | EN | OT | 1 Chronicles | Chapter 10 | Verse 3] And the battle went sore against Saul, and the archers hit him, and he was wounded of the archers.
[KJV | EN | OT | 1 Chronicles | Chapter 10 | Verse 4] Then said Saul to his armourbearer, Draw thy sword, and thrust me through therewith; lest these uncircumcised come and abuse me. But his armourbearer would not; for he was sore afraid. So Saul took a sword, and fell upon it.
[KJV | EN | OT | 1 Chronicles | Chapter 10 | Verse 5] And when his armourbearer saw that Saul was dead, he fell likewise on the sword, and died.
[KJV | EN | OT | 1 Chronicles | Chapter 10 | Verse 6] So Saul died, and his three sons, and all his house died together.
[KJV | EN | OT | 1 Chronicles | Chapter 10 | Verse 7] And when all the men of Israel that were in the valley saw that they fled, and that Saul and his sons were dead, then they forsook their cities, and fled: and the Philistines came and dwelt in them.
[KJV | EN | OT | 1 Chronicles | Chapter 10 | Verse 8] And it came to pass on the morrow, when the Philistines came to strip the slain, that they found Saul and his sons fallen in mount Gilboa.
[KJV | EN | OT | 1 Chronicles | Chapter 10 | Verse 9] And when they had stripped him, they took his head, and his armour, and sent into the land of the Philistines round about, to carry tidings unto their idols, and to the people.
[KJV | EN | OT | 1 Chronicles | Chapter 10 | Verse 10] And they put his armour in the house of their gods, and fastened his head in the temple of Dagon.
[KJV | EN | OT | 1 Chronicles | Chapter 10 | Verse 11] And when all Jabesh-gilead heard all that the Philistines had done to Saul,
[KJV | EN | OT | 1 Chronicles | Chapter 10 | Verse 12] they arose, all the valiant men, and took away the body of Saul, and the bodies of his sons, and brought them to Jabesh, and buried their bones under the oak in Jabesh, and fasted seven days.
[KJV | EN | OT | 1 Chronicles | Chapter 10 | Verse 13] So Saul died for his transgression which he committed against the Lord, even against the word of the Lord, which he kept not, and also for asking counsel of one that had a familiar spirit, to inquire of it;
[KJV | EN | OT | 1 Chronicles | Chapter 10 | Verse 14] and inquired not of the Lord: therefore he slew him, and turned the kingdom unto David the son of Jesse.
