[GNV | EN | NT | 2 Corinthians | Chapter 2 | Verse 1] Bvt I determined thus in my selfe, that I would not come againe to you in heauinesse.
[GNV | EN | NT | 2 Corinthians | Chapter 2 | Verse 2] For if I make you sorie, who is he then that shoulde make me glad, but ye same which is made sorie by me?
[GNV | EN | NT | 2 Corinthians | Chapter 2 | Verse 3] And I wrote this same thing vnto you, lest when I came, I should take heauines of them, of whom I ought to reioyce: this confidence haue I in you all, that my ioye is the ioye of you all.
[GNV | EN | NT | 2 Corinthians | Chapter 2 | Verse 4] For in great affliction, and anguish of heart I wrote vnto you with many teares: not that yee should be made sorie, but that ye might perceiue the loue which I haue, specially vnto you.
[GNV | EN | NT | 2 Corinthians | Chapter 2 | Verse 5] And if any hath caused sorowe, the same hath not made mee sorie, but partly (lest I should more charge him) you all.
[GNV | EN | NT | 2 Corinthians | Chapter 2 | Verse 6] It is sufficient vnto the same man, that hee was rebuked of many.
[GNV | EN | NT | 2 Corinthians | Chapter 2 | Verse 7] So that nowe contrariwise yee ought rather to forgiue him, and comfort him, lest the same shoulde bee swalowed vp with ouermuch heauinesse.
[GNV | EN | NT | 2 Corinthians | Chapter 2 | Verse 8] Wherefore, I pray you, that you woulde confirme your loue towards him.
[GNV | EN | NT | 2 Corinthians | Chapter 2 | Verse 9] For this cause also did I write, that I might knowe the proofe of you, whether yee would be obedient in all things.
[GNV | EN | NT | 2 Corinthians | Chapter 2 | Verse 10] To whome yee forgiue any thing, I forgiue also: for verely if I forgaue any thing, to whome I forgaue it, for your sakes forgaue I it in the sight of Christ,
[GNV | EN | NT | 2 Corinthians | Chapter 2 | Verse 11] Lest Satan should circumuent vs: for we are not ignorant of his enterprises.
[GNV | EN | NT | 2 Corinthians | Chapter 2 | Verse 12] Furthermore, when I came to Troas to preach Christs Gospell, and a doore was opened vnto me of the Lord,
[GNV | EN | NT | 2 Corinthians | Chapter 2 | Verse 13] I had no rest in my spirit, because I founde not Titus my brother, but tooke my leaue of them, and went away into Macedonia.
[GNV | EN | NT | 2 Corinthians | Chapter 2 | Verse 14] Now thankes be vnto God, which alwaies maketh vs to triumph in Christ, and maketh manifest the sauour of his knowledge by vs in euery place.
[GNV | EN | NT | 2 Corinthians | Chapter 2 | Verse 15] For wee are vnto God the sweete sauour of Christ, in them that are saued, and in them which perish.
[GNV | EN | NT | 2 Corinthians | Chapter 2 | Verse 16] To the one we are the sauour of death, vnto death, and to the other the sauour of life, vnto life: and who is sufficient for these things?
[GNV | EN | NT | 2 Corinthians | Chapter 2 | Verse 17] For wee are not as many, which make marchandise of the woorde of God: but as of sinceritie, but as of God in ye sight of God speake we in Christ.
