[GNV | EN | NT | 2 Corinthians | Chapter 13 | Verse 1] Lo this is the thirde time that I come vnto you. In the mouth of two or three witnesses shall euery worde stand
[GNV | EN | NT | 2 Corinthians | Chapter 13 | Verse 2] I tolde you before, and tell you before: as though I had bene present the seconde time, so write I nowe being absent to them which heretofore haue sinned and to all others, that if I come againe, I will not spare,
[GNV | EN | NT | 2 Corinthians | Chapter 13 | Verse 3] Seeing that ye seeke experience of Christ, that speaketh in mee, which towarde you is not weake, but is mightie in you.
[GNV | EN | NT | 2 Corinthians | Chapter 13 | Verse 4] For though hee was crucified concerning his infirmitie, yet liueth hee through the power of God. And wee no doubt are weake in him, but we shall liue with him, through the power of God towarde you.
[GNV | EN | NT | 2 Corinthians | Chapter 13 | Verse 5] Proue your selues whether ye are in the faith: examine your selues: knowe yee not your owne selues, howe that Iesus Christ is in you, except ye be reprobates?
[GNV | EN | NT | 2 Corinthians | Chapter 13 | Verse 6] But I trust that ye shall knowe that wee are not reprobates.
[GNV | EN | NT | 2 Corinthians | Chapter 13 | Verse 7] Nowe I pray vnto God that yee doe none euill, not that we should seeme approued, but that ye should doe that which is honest: though we be as reprobates.
[GNV | EN | NT | 2 Corinthians | Chapter 13 | Verse 8] For wee can not doe any thing against the trueth, but for the trueth.
[GNV | EN | NT | 2 Corinthians | Chapter 13 | Verse 9] For we are glad when wee are weake, and that ye are strong: this also we wish for, euen your perfection.
[GNV | EN | NT | 2 Corinthians | Chapter 13 | Verse 10] Therefore write I these thinges being absent, least when I am present, I should vse sharpenesse, according to the power which the Lord hath giuen mee, to edification, and not to destruction.
[GNV | EN | NT | 2 Corinthians | Chapter 13 | Verse 11] Finally brethren, fare ye well: be perfect: be of good comfort: be of one minde: liue in peace, and the God of loue and peace shalbe with you.
[GNV | EN | NT | 2 Corinthians | Chapter 13 | Verse 12] Greete one another with an holy kisse. All the Saintes salute you.
[GNV | EN | NT | 2 Corinthians | Chapter 13 | Verse 13] The grace of our Lord Iesus Christ, and the loue of God, and the communion of the holy Ghost be with you all, Amen. ‘The seconde Epistle to the Corinthians, written from Philippi, a citie in Macedonia, and sent by Titus and Lucas.’
