[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 1] Therefore, seeing that we haue this ministerie, as we haue receiued mercy, we faint not:
[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 2] But haue cast from vs ye clokes of shame, and walke not in craftines, neither handle we the worde of God deceitfully: but in declaration of the trueth we approue our selues to euery mans conscience in the sight of God.
[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 3] If our Gospell bee then hid, it is hid to them that are lost.
[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 4] In whom the God of this world hath blinded the mindes, that is, of the infidels, that the light of the glorious Gospell of Christ, which is the image of God, should not shine vnto them.
[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 5] For we preach not our selues, but Christ Iesus the Lord, and our selues your seruaunts for Iesus sake.
[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 6] For God that commanded the light to shine out of darknesse, is he which hath shined in our hearts, to giue the light of the knowledge of the glory of God in the face of Iesus Christ.
[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 7] But we haue this treasure in earthen vessels, that the excellencie of that power might be of God, and not of vs.
[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 8] Wee are afflicted on euery side, yet are we not in distresse: we are in doubt, but yet wee despaire not.
[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 9] We are persecuted, but not forsaken: cast downe, but we perish not.
[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 10] Euery where we beare about in our bodie the dying of the Lord Iesus, that the life of Iesus might also be made manifest in our bodies.
[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 11] For we which liue, are alwaies deliuered vnto death for Iesus sake, that the life also of Iesus might be made manifest in our mortal flesh.
[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 12] So then death worketh in vs, and life in you.
[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 13] And because we haue the same spirite of faith, according as it is written, I beleeued, and therefore haue I spoken, we also beleeue, and therefore speake,
[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 14] Knowing that he which hath raised vp the Lord Iesus, shall raise vs vp also by Iesus, and shall set vs with you.
[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 15] For all thinges are for your sakes, that that most plenteous grace by the thankesgiuing of many, may redound to the praise of God.
[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 16] Therefore we faint not, but though our outward man perish, yet the inward man is renewed daily.
[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 17] For our light affliction which is but for a moment, causeth vnto vs a farre most excellent and an eternall waight of glorie:
[GNV | EN | NT | 2 Corinthians | Chapter 4 | Verse 18] While we looke not on the thinges which are seene, but on the things which are not seene: for the things which are seene, are temporall: but the things which are not seene, are eternall.
