[GNV | EN | NT | 2 Corinthians | Chapter 9 | Verse 1] For as touching the ministring to the Saints, it is superfluous for me to write vnto you.
[GNV | EN | NT | 2 Corinthians | Chapter 9 | Verse 2] For I knowe your readinesse of minde, whereof I boast my selfe of you vnto them of Macedonia, and say, that Achaia was prepared a yeere agoe, and your zeale hath prouoked many.
[GNV | EN | NT | 2 Corinthians | Chapter 9 | Verse 3] Nowe haue I sent the brethren, lest our reioycing ouer you shoulde bee in vaine in this behalfe, that yee (as I haue sayde) be readie:
[GNV | EN | NT | 2 Corinthians | Chapter 9 | Verse 4] Lest if they of Macedonia come with me, and finde you vnprepared, we (that wee may not say, you) should be ashamed in this my constant boasting.
[GNV | EN | NT | 2 Corinthians | Chapter 9 | Verse 5] Wherefore, I thought it necessarie to exhort the brethren to come before vnto you, and to finish your beneuolence appointed afore, that it might be readie, and come as of beneuolence, and not as of niggardlinesse.
[GNV | EN | NT | 2 Corinthians | Chapter 9 | Verse 6] This yet remember, that he which soweth sparingly, shall reape also sparingly, and hee that soweth liberally, shall reape also liberally.
[GNV | EN | NT | 2 Corinthians | Chapter 9 | Verse 7] As euery man wisheth in his heart, so let him giue, not grudgingly, or of necessitie: for God loueth a cheerefull giuer.
[GNV | EN | NT | 2 Corinthians | Chapter 9 | Verse 8] And God is able to make all grace to abound towarde you, that yee alwayes hauing all sufficiencie in all thinges, may abounde in euery good worke,
[GNV | EN | NT | 2 Corinthians | Chapter 9 | Verse 9] (As it is written, He hath sparsed abroad and hath giuen to the poore: his beneuolence remayneth for euer.
[GNV | EN | NT | 2 Corinthians | Chapter 9 | Verse 10] Also hee that findeth seede to the sower, will minister likewise bread for foode, and multiplie your seede, and increase the fruites of your beneuolence,)
[GNV | EN | NT | 2 Corinthians | Chapter 9 | Verse 11] That on all partes yee may bee made rich vnto all liberalitie, which causeth through vs thankesgiuing vnto God.
[GNV | EN | NT | 2 Corinthians | Chapter 9 | Verse 12] For the ministration of this seruice not onely supplieth the necessities of the Saintes, but also aboundantly causeth many to giue thankes to God,
[GNV | EN | NT | 2 Corinthians | Chapter 9 | Verse 13] (Which by the experiment of this ministration praise God for your voluntarie submission to the Gospell of Christ, and for your liberall distribution to them, and to all men)
[GNV | EN | NT | 2 Corinthians | Chapter 9 | Verse 14] And in their praier for you, to log after you greatly, for the aboundant grace of God in you.
[GNV | EN | NT | 2 Corinthians | Chapter 9 | Verse 15] Thankes therefore bee vnto God for his vnspeakeable gift.
