[GNV | EN | NT | 2 Corinthians | Chapter 7 | Verse 1] Seing then we haue these promises, dearely beloued, let vs clense our selues from all filthinesse of the flesh and spirit, and finish our sanctification in the feare of God.
[GNV | EN | NT | 2 Corinthians | Chapter 7 | Verse 2] Receiue vs: we haue done wrong to no man: we haue corrupted no man: we haue defrauded no man.
[GNV | EN | NT | 2 Corinthians | Chapter 7 | Verse 3] I speake it not to your condemnation: for I haue said before, that ye are in our hearts, to die and liue together.
[GNV | EN | NT | 2 Corinthians | Chapter 7 | Verse 4] I vse great boldnesse of speach toward you: I reioyce greatly in you: I am filled with comfort, and am exceeding ioyous in all our tribulation.
[GNV | EN | NT | 2 Corinthians | Chapter 7 | Verse 5] For when we were come into Macedonia, our flesh had no rest, but we were troubled on euery side, fightings without, and terrours within.
[GNV | EN | NT | 2 Corinthians | Chapter 7 | Verse 6] But God, that comforteth the abiect, comforted vs at the comming of Titus:
[GNV | EN | NT | 2 Corinthians | Chapter 7 | Verse 7] And not by his comming onely, but also by the consolation wherewith he was comforted of you, when he tolde vs your great desire, your mourning, your feruent minde to me warde, so that I reioyced much more.
[GNV | EN | NT | 2 Corinthians | Chapter 7 | Verse 8] For though I made you sorie with a letter, I repent not, though I did repent: for I perceiue that the same epistle made you sorie, though it were but for a season.
[GNV | EN | NT | 2 Corinthians | Chapter 7 | Verse 9] I nowe reioyce, not that ye were sorie, but that ye sorowed to repentance: for ye sorowed godly, so that in nothing ye were hurt by vs.
[GNV | EN | NT | 2 Corinthians | Chapter 7 | Verse 10] For godly sorowe causeth repentance vnto saluation, not to be repented of: but the worldly sorowe causeth death.
[GNV | EN | NT | 2 Corinthians | Chapter 7 | Verse 11] For beholde, this thing that ye haue bene godly sory, what great care it hath wrought in you: yea, what clearing of yourselues: yea, what indignation: yea, what feare: yea, howe great desire: yea, what a zeale: yea, what reuenge: in all things ye haue shewed your selues, that ye are pure in this matter.
[GNV | EN | NT | 2 Corinthians | Chapter 7 | Verse 12] Wherefore, though I wrote vnto you, I did not it for his cause that had done the wrong, neither for his cause that had the iniurie, but that our care toward you in the sight of God might appeare vnto you.
[GNV | EN | NT | 2 Corinthians | Chapter 7 | Verse 13] Therefore we were comforted, because ye were comforted: but rather we reioyced much more for the ioye of Titus, because his spirit was refreshed by you all.
[GNV | EN | NT | 2 Corinthians | Chapter 7 | Verse 14] For if that I haue boasted any thing to him of you, I haue not bene ashamed: but as I haue spoken vnto you all things in trueth, euen so our boasting vnto Titus was true.
[GNV | EN | NT | 2 Corinthians | Chapter 7 | Verse 15] And his inwarde affection is more aboundant toward you, when he remembreth the obedience of you all, and howe with feare and trembling ye receiued him.
[GNV | EN | NT | 2 Corinthians | Chapter 7 | Verse 16] I reioyce therefore that I may put my confidence in you in all things.
