[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 1] يَا رَبُّ قَدْ فَحَصْتَنِي وَعَرَفْتَنِي.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 2] أَنْتَ عَرَفْتَ قُعُودِي وَقِيَامِي. فَهِمْتَ فِكْرِي مِنْ بَعِيدٍ.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 3] أَنْتَ تَقَصَّيْتَ مَسْلَكِي وَمَرْقَدِي، وَتَعْرِفُ كُلَّ طُرُقِي.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 4] عَرَفْتَ كُلَّ كَلِمَةٍ مِنْ قَبْلِ أَنْ يَتَفَوَّهَ بِها لِسَانِي.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 5] لَقَدْ طَوَّقْتَنِي (بِعِلْمِكَ) مِنْ خَلْفٍ وَمِنْ أَمَامٍ وَبَسَطْتَ يَدَكَ فَوْقِي.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 6] مَا أَعْجَبَ هَذَا الْعِلْمَ الْفَائِقَ، إِنَّهُ أَسْمَى مِنْ أَنْ أُدْرِكَهُ.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 7] أَيْنَ الْمَهْرَبُ مِنْ رُوحِكَ؟ أَيْنَ الْمَفَرُّ مِنْ حَضْرَتِكَ؟
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 8] إِنْ صَعِدْتُ إِلَى السَّمَاوَاتِ فَأَنْتَ هُنَاكَ، وَإِنْ جَعَلْتُ فِرَاشِي فِي عَالَمِ الأَمْوَاتِ فَهُنَاكَ أَنْتَ أَيْضاً.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 9] إِنِ اسْتَعَرْتُ أَجْنِحَةَ الْفَجْرِ وَطِرْتُ، وَسَكَنْتُ فِي أَقْصَى أَطْرَافِ الْبَحْرِ
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 10] فَهُنَاكَ أَيْضاً يَدُكَ تَهْدِينِي وَيُمْنَاكَ تُمْسِكُنِي.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 11] إِنْ قُلْتُ فِي نَفْسِي: «رُبَّمَا الظُّلْمَةُ تَحْجُبُنِي وَالضَّوْءُ حَوْلِي يَصِيرُ لَيْلاً»،
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 12] فَحَتَّى الظُّلْمَةُ لَا تُخْفِي عَنْكَ شَيْئاً، وَاللَّيْلُ كَالنَّهَارِ يُضِيءُ، فَسِيَّانَ عِنْدَكَ الظَّلامُ وَالضَّوْءُ.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 13] لأَنَّكَ أَنْتَ قَدْ كَوَّنْتَ كُلْيَتَيَّ. نَسَجْتَنِي دَاخِلَ بَطْنِ أُمِّي.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 14] أَحْمَدُكَ لأَنَّكَ صَنَعْتَنِي بِإِعْجَازِكَ الْمُدْهِشِ. مَا أَعْجَبَ أَعْمَالَكَ وَنَفْسِي تَعْلَمُ ذَلِكَ يَقِيناً.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 15] لَمْ يَخْفَ عَلَيْكَ كِيَانِي عِنْدَمَا كُوِّنْتُ فِي السِّرِّ، وَجُبِلْتُ فِي أَعْمَاقِ الأَرْضِ.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 16] رَأَتْنِي عَيْنَاكَ وَأَنَا مَازِلْتُ جَنِيناً؛ وَقَبْلَ أَنْ تُخْلَقَ أَعْضَائِي كُتِبَتْ فِي سِفْرِكَ يَوْمَ تَصَوَّرْتَهَا.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 17] مَا أَثْمَنَ أَفْكَارَكَ يَا اللهُ عِنْدِي! مَا أَعْظَمَ جُمْلَتَهَا!
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 18] إِنْ أَحْصَيْتُهَا زَادَتْ عَلَى الرَّمْلِ عَدَداً. عِنْدَمَا أَسْتَيْقِظُ أَجِدُنِي مَازِلْتُ مَعَكَ.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 19] لَيْتَكَ يَا اللهُ تَقْتُلُ الأَشْرَارَ، فَيَبْتَعِدَ عَنِّي سَافِكُو الدِّمَاءِ.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 20] فَإِنَّهُمْ يَتَحَدَّثُونَ عَنْكَ بِالْمَكْرِ وَالْكَذِبِ، لأَنَّهُمْ أَعْدَاؤُكَ.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 21] يَا رَبُّ أَلَا أُبْغِضُ مُبْغِضِيكَ، وَأَكْرَهُ الثَّائِرِينَ عَلَيْكَ؟
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 22] بُغْضاً تَامّاً أُبْغِضُهُمْ، وَأَحْسِبُهُمْ أَعْدَاءَ لِي.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 23] تَفَحَّصْنِي يَا اللهُ وَاعْرِفْ قَلْبِي. امْتَحِنِّي وَاعْرِفْ أَفْكَارِي.
[VANDYKE | AR | OT | Psalms | Chapter 139 | Verse 24] وَانْظُرْ إنْ كَانَ فِيَّ طَرِيقُ سُوءٍ، وَاهْدِنِي الطَّرِيقَ الأَبَدِيَّ.
