[VANDYKE | AR | OT | Psalms | Chapter 60 | Verse 1] يَا ٱللهُ رَفَضْتَنَا. ٱقْتَحَمْتَنَا. سَخِطْتَ. أَرْجِعْنَا.
[VANDYKE | AR | OT | Psalms | Chapter 60 | Verse 2] زَلْزَلْتَ ٱلْأَرْضَ، فَصَمْتَهَا. ٱجْبُرْ كَسْرَهَا لِأَنَّهَا مُتَزَعْزِعَةٌ!
[VANDYKE | AR | OT | Psalms | Chapter 60 | Verse 3] أَرَيْتَ شَعْبَكَ عُسْرًا. سَقَيْتَنَا خَمْرَ ٱلتَّرَنُّحِ.
[VANDYKE | AR | OT | Psalms | Chapter 60 | Verse 4] أَعْطَيْتَ خَائِفِيكَ رَايَةً تُرْفَعُ لِأَجْلِ ٱلْحَقِّ. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 60 | Verse 5] لِكَيْ يَنْجُوَ أَحِبَّاؤُكَ. خَلِّصْ بِيَمِينِكَ وَٱسْتَجِبْ لِي!
[VANDYKE | AR | OT | Psalms | Chapter 60 | Verse 6] ٱللهُ قَدْ تَكَلَّمَ بِقُدْسِهِ: «أَبْتَهِجُ، أَقْسِمُ شَكِيمَ، وَأَقِيسُ وَادِيَ سُكُّوتَ.
[VANDYKE | AR | OT | Psalms | Chapter 60 | Verse 7] لِي جِلْعَادُ وَلِي مَنَسَّى، وَأَفْرَايِمُ خُوذَةُ رَأْسِي، يَهُوذَا صَوْلَجَانِي.
[VANDYKE | AR | OT | Psalms | Chapter 60 | Verse 8] مُوآبُ مِرْحَضَتِي. عَلَى أَدُومَ أَطْرَحُ نَعْلِي. يَا فَلَسْطِينُ ٱهْتِفِي عَلَيَّ».
[VANDYKE | AR | OT | Psalms | Chapter 60 | Verse 9] مَنْ يَقُودُنِي إِلَى ٱلْمَدِينَةِ ٱلْمُحَصَّنَةِ؟ مَنْ يَهْدِينِي إِلَى أَدُومَ؟
[VANDYKE | AR | OT | Psalms | Chapter 60 | Verse 10] أَلَيْسَ أَنْتَ يَا ٱللهُ ٱلَّذِي رَفَضْتَنَا، وَلَا تَخْرُجُ يَا ٱللهُ مَعَ جُيُوشِنَا؟
[VANDYKE | AR | OT | Psalms | Chapter 60 | Verse 11] أَعْطِنَا عَوْنًا فِي ٱلضِّيقِ، فَبَاطِلٌ هُوَ خَلَاصُ ٱلْإِنْسَانِ.
[VANDYKE | AR | OT | Psalms | Chapter 60 | Verse 12] بِٱللهِ نَصْنَعُ بِبَأْسٍ، وَهُوَ يَدُوسُ أَعْدَاءَنَا.
