[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 1] أَرْفَعُكَ يَا إِلَهِي ٱلْمَلِكَ، وَأُبَارِكُ ٱسْمَكَ إِلَى ٱلدَّهْرِ وَٱلْأَبَدِ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 2] فِي كُلِّ يَوْمٍ أُبَارِكُكَ، وَأُسَبِّحُ ٱسْمَكَ إِلَى ٱلدَّهْرِ وَٱلْأَبَدِ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 3] عَظِيمٌ هُوَ ٱلرَّبُّ وَحَمِيدٌ جِدًّا، وَلَيْسَ لِعَظَمَتِهِ ٱسْتِقْصَاءٌ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 4] دَوْرٌ إِلَى دَوْرٍ يُسَبِّحُ أَعْمَالَكَ، وَبِجَبَرُوتِكَ يُخْبِرُونَ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 5] بِجَلَالِ مَجْدِ حَمْدِكَ وَأُمُورِ عَجَائِبِكَ أَلْهَجُ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 6] بِقُوَّةِ مَخَاوِفِكَ يَنْطِقُونَ، وَبِعَظَمَتِكَ أُحَدِّثُ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 7] ذِكْرَ كَثْرَةِ صَلَاحِكَ يُبْدُونَ، وَبِعَدْلِكَ يُرَنِّمُونَ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 8] اَلرَّبُّ حَنَّانٌ وَرَحِيمٌ، طَوِيلُ ٱلرُّوحِ وَكَثِيرُ ٱلرَّحْمَةِ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 9] ٱلرَّبُّ صَالِحٌ لِلْكُلِّ، وَمَرَاحِمُهُ عَلَى كُلِّ أَعْمَالِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 10] يَحْمَدُكَ يَارَبُّ كُلُّ أَعْمَالِكَ، وَيُبَارِكُكَ أَتْقِيَاؤُكَ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 11] بِمَجْدِ مُلْكِكَ يَنْطِقُونَ، وَبِجَبَرُوتِكَ يَتَكَلَّمُونَ،
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 12] لِيُعَرِّفُوا بَنِي آدَمَ قُدْرَتَكَ وَمَجْدَ جَلَالِ مُلْكِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 13] مُلْكُكَ مُلْكُ كُلِّ ٱلدُّهُورِ، وَسُلْطَانُكَ فِي كُلِّ دَوْرٍ فَدَوْرٍ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 14] اَلرَّبُّ عَاضِدٌ كُلَّ ٱلسَّاقِطِينَ، وَمُقَوِّمٌ كُلَّ ٱلْمُنْحَنِينَ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 15] أَعْيُنُ ٱلْكُلِّ إِيَّاكَ تَتَرَجَّى، وَأَنْتَ تُعْطِيهِمْ طَعَامَهُمْ فِي حِينِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 16] تَفْتَحُ يَدَكَ فَتُشْبِعُ كُلَّ حَيٍّ رِضًى.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 17] ٱلرَّبُّ بَارٌّ فِي كُلِّ طُرُقِهِ، وَرَحِيمٌ فِي كُلِّ أَعْمَالِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 18] ٱلرَّبُّ قَرِيبٌ لِكُلِّ ٱلَّذِينَ يَدْعُونَهُ، ٱلَّذِينَ يَدْعُونَهُ بِٱلْحَقِّ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 19] يَعْمَلُ رِضَى خَائِفِيهِ، وَيَسْمَعُ تَضَرُّعَهُمْ، فَيُخَلِّصُهُمْ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 20] يَحْفَظُ ٱلرَّبُّ كُلَّ مُحِبِّيهِ، وَيُهْلِكُ جَمِيعَ ٱلْأَشْرَارِ.
[VANDYKE | AR | OT | Psalms | Chapter 145 | Verse 21] بِتَسْبِيحِ ٱلرَّبِّ يَنْطِقُ فَمِي، وَلْيُبَارِكْ كُلُّ بَشَرٍ ٱسْمَهُ ٱلْقُدُّوسَ إِلَى ٱلدَّهْرِ وَٱلْأَبَدِ.
