[VANDYKE | AR | OT | Psalms | Chapter 39 | Verse 1] قُلْتُ: «أَتَحَفَّظُ لِسَبِيلِي مِنَ ٱلْخَطَإِ بِلِسَانِي. أَحْفَظُ لِفَمِي كِمَامَةً فِيمَا ٱلشِّرِّيرُ مُقَابِلِي».
[VANDYKE | AR | OT | Psalms | Chapter 39 | Verse 2] صَمَتُّ صَمْتًا، سَكَتُّ عَنِ ٱلْخَيْرِ، فَتَحَرَّكَ وَجَعِي.
[VANDYKE | AR | OT | Psalms | Chapter 39 | Verse 3] حَمِيَ قَلْبِي فِي جَوْفِي. عِنْدَ لَهَجِي ٱشْتَعَلَتِ ٱلنَّارُ. تَكَلَّمْتُ بِلِسَانِي:
[VANDYKE | AR | OT | Psalms | Chapter 39 | Verse 4] «عَرِّفْنِي يَارَبُّ نِهَايَتِي وَمِقْدَارَ أَيَّامِي كَمْ هِيَ، فَأَعْلَمَ كَيْفَ أَنَا زَائِلٌ.
[VANDYKE | AR | OT | Psalms | Chapter 39 | Verse 5] هُوَذَا جَعَلْتَ أَيَّامِي أَشْبَارًا، وَعُمْرِي كَلَا شَيْءَ قُدَّامَكَ. إِنَّمَا نَفْخَةً كُلُّ إِنْسَانٍ قَدْ جُعِلَ. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 39 | Verse 6] إِنَّمَا كَخَيَالٍ يَتَمَشَّى ٱلْإِنْسَانُ. إِنَّمَا بَاطِلًا يَضِجُّونَ. يَذْخَرُ ذَخَائِرَ وَلَا يَدْرِي مَنْ يَضُمُّهَا.
[VANDYKE | AR | OT | Psalms | Chapter 39 | Verse 7] «وَٱلْآنَ، مَاذَا ٱنْتَظَرْتُ يَارَبُّ؟ رَجَائِي فِيكَ هُوَ.
[VANDYKE | AR | OT | Psalms | Chapter 39 | Verse 8] مِنْ كُلِّ مَعَاصِيَّ نَجِّنِي. لَا تَجْعَلْنِي عَارًا عِنْدَ ٱلْجَاهِلِ.
[VANDYKE | AR | OT | Psalms | Chapter 39 | Verse 9] صَمَتُّ. لَا أَفْتَحُ فَمِي، لِأَنَّكَ أَنْتَ فَعَلْتَ.
[VANDYKE | AR | OT | Psalms | Chapter 39 | Verse 10] ٱرْفَعْ عَنِّي ضَرْبَكَ. مِنْ مُهَاجَمَةِ يَدِكَ أَنَا قَدْ فَنِيتُ.
[VANDYKE | AR | OT | Psalms | Chapter 39 | Verse 11] بِتَأْدِيبَاتٍ إِنْ أَدَّبْتَ ٱلْإِنْسَانَ مِنْ أَجْلِ إِثْمِهِ، أَفْنَيْتَ مِثْلَ ٱلْعُثِّ مُشْتَهَاهُ. إِنَّمَا كُلُّ إِنْسَانٍ نَفْخَةٌ. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 39 | Verse 12] اِسْتَمِعْ صَلَاتِي يَارَبُّ، وَٱصْغَ إِلَى صُرَاخِي. لَا تَسْكُتْ عَنْ دُمُوعِي. لِأَنِّي أَنَا غَرِيبٌ عِنْدَكَ. نَزِيلٌ مِثْلُ جَمِيعِ آبَائِي.
[VANDYKE | AR | OT | Psalms | Chapter 39 | Verse 13] ٱقْتَصِرْ عَنِّي فَأَتَبَلَّجَ قَبْلَ أَنْ أَذْهَبَ فَلَا أُوجَدَ».
