[VANDYKE | AR | OT | Psalms | Chapter 140 | Verse 1] أَنْقِذْنِي يَارَبُّ مِنْ أَهْلِ ٱلشَّرِّ. مِنْ رَجُلِ ٱلظُّلْمِ ٱحْفَظْنِي.
[VANDYKE | AR | OT | Psalms | Chapter 140 | Verse 2] ٱلَّذِينَ يَتَفَكَّرُونَ بِشُرُورٍ فِي قُلُوبِهِمْ. ٱلْيَوْمَ كُلَّهُ يَجْتَمِعُونَ لِلْقِتَالِ.
[VANDYKE | AR | OT | Psalms | Chapter 140 | Verse 3] سَنُّوا أَلْسِنَتَهُمْ كَحَيَّةٍ. حُمَةُ ٱلْأُفْعُوَانِ تَحْتَ شِفَاهِهِمْ. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 140 | Verse 4] ٱحْفَظْنِي يَارَبُّ مِنْ يَدَيِ ٱلشِّرِّيرِ. مِنْ رَجُلِ ٱلظُّلْمِ أَنْقِذْنِي. ٱلَّذِينَ تَفَكَّرُوا فِي تَعْثِيرِ خُطُوَاتِي.
[VANDYKE | AR | OT | Psalms | Chapter 140 | Verse 5] أَخْفَى لِي ٱلْمُسْتَكْبِرُونَ فَخًّا وَحِبَالًا. مَدُّوا شَبَكَةً بِجَانِبِ ٱلطَّرِيقِ. وَضَعُوا لِي أَشْرَاكًا. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 140 | Verse 6] قُلْتُ لِلرَّبِّ: «أَنْتَ إِلَهِي». أَصْغِ يَارَبُّ إِلَى صَوْتِ تَضَرُّعَاتِي.
[VANDYKE | AR | OT | Psalms | Chapter 140 | Verse 7] يَارَبُّ ٱلسَّيِّدُ، قُوَّةَ خَلَاصِي، ظَلَّلْتَ رَأْسِي فِي يَوْمِ ٱلْقِتَالِ.
[VANDYKE | AR | OT | Psalms | Chapter 140 | Verse 8] لَا تُعْطِ يَارَبُّ شَهَوَاتِ ٱلشِّرِّيرِ. لَا تُنَجِّحْ مَقَاصِدَهُ. يَتَرَفَّعُونَ. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 140 | Verse 9] أَمَّا رُؤُوسُ ٱلْمُحِيطِينَ بِي فَشَقَاءُ شِفَاهِهِمْ يُغَطِّيهِمْ.
[VANDYKE | AR | OT | Psalms | Chapter 140 | Verse 10] لِيَسْقُطْ عَلَيْهِمْ جَمْرٌ. لِيُسْقَطُوا فِي ٱلنَّارِ، وَفِي غَمَرَاتٍ فَلَا يَقُومُوا.
[VANDYKE | AR | OT | Psalms | Chapter 140 | Verse 11] رَجُلُ لِسَانٍ لَا يَثْبُتُ فِي ٱلْأَرْضِ. رَجُلُ ٱلظُّلْمِ يَصِيدُهُ ٱلشَّرُّ إِلَى هَلَاكِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 140 | Verse 12] قَدْ عَلِمْتُ أَنَّ ٱلرَّبَّ يُجْرِي حُكْمًا لِلْمَسَاكِينِ وَحَقًّا لِلْبَائِسِينَ.
[VANDYKE | AR | OT | Psalms | Chapter 140 | Verse 13] إِنَّمَا ٱلصِّدِّيقُونَ يَحْمَدُونَ ٱسْمَكَ. ٱلْمُسْتَقِيمُونَ يَجْلِسُونَ فِي حَضْرَتِكَ.
