[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 1] بِكَ يَارَبُّ ٱحْتَمَيْتُ، فَلَا أَخْزَى إِلَى ٱلدَّهْرِ.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 2] بِعَدْلِكَ نَجِّنِي وَأَنْقِذْنِي. أَمِلْ إِلَيَّ أُذْنَكَ وَخَلِّصْنِي.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 3] كُنْ لِي صَخْرَةَ مَلْجَإٍ أَدْخُلُهُ دَائِمًا. أَمَرْتَ بِخَلَاصِي لِأَنَّكَ صَخْرَتِي وَحِصْنِي.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 4] يَا إِلَهِي، نَجِّنِي مِنْ يَدِ ٱلشِّرِّيرِ، مِنْ كَفِّ فَاعِلِ ٱلشَّرِّ وَٱلظَّالِمِ.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 5] لِأَنَّكَ أَنْتَ رَجَائِي يَا سَيِّدِي ٱلرَّبَّ، مُتَّكَلِي مُنْذُ صِبَايَ.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 6] عَلَيْكَ ٱسْتَنَدْتُ مِنَ ٱلْبَطْنِ، وَأَنْتَ مُخْرِجِي مِنْ أَحْشَاءِ أُمِّي. بِكَ تَسْبِيحِي دَائِمًا.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 7] صِرْتُ كَآيَةٍ لِكَثِيرِينَ. أَمَّا أَنْتَ فَمَلْجَإِي ٱلْقَوِيُّ.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 8] يَمْتَلِئُ فَمِي مِنْ تَسْبِيحِكَ، ٱلْيَوْمَ كُلَّهُ مِنْ مَجْدِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 9] لَا تَرْفُضْنِي فِي زَمَنِ ٱلشَّيْخُوخَةِ. لَا تَتْرُكْنِي عِنْدَ فَنَاءِ قُوَّتِي.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 10] لِأَنَّ أَعْدَائِي تَقَاوَلُوا عَلَيَّ، وَٱلَّذِينَ يَرْصُدُونَ نَفْسِي تَآمَرُوا مَعًا.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 11] قَائِلِينَ: «إِنَّ ٱللهَ قَدْ تَرَكَهُ. ٱلْحَقُوهُ وَأَمْسِكُوهُ لِأَنَّهُ لَا مُنْقِذَ لَهُ».
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 12] يَا ٱللهُ، لَا تَبْعُدْ عَنِّي. يَا إِلَهِي، إِلَى مَعُونَتِي أَسْرِعْ.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 13] لِيَخْزَ وَيَفْنَ مُخَاصِمُو نَفْسِي. لِيَلْبَسِ ٱلْعَارَ وَٱلْخَجَلَ ٱلْمُلْتَمِسُونَ لِي شَرًّا.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 14] أَمَّا أَنَا فَأَرْجُو دَائِمًا، وَأَزِيدُ عَلَى كُلِّ تَسْبِيحِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 15] فَمِي يُحَدِّثُ بِعَدْلِكَ، ٱلْيَوْمَ كُلَّهُ بِخَلَاصِكَ، لِأَنِّي لَا أَعْرِفُ لَهَا أَعْدَادًا.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 16] آتِي بِجَبَرُوتِ ٱلسَّيِّدِ ٱلرَّبِّ. أَذْكُرُ بِرَّكَ وَحْدَكَ.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 17] اَللَّهُمَّ، قَدْ عَلَّمْتَنِي مُنْذُ صِبَايَ، وَإِلَى ٱلْآنَ أُخْبِرُ بِعَجَائِبِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 18] وَأَيْضًا إِلَى ٱلشَّيْخُوخَةِ وَٱلشَّيْبِيَا ٱللهُ لَا تَتْرُكْنِي، حَتَّى أُخْبِرَ بِذِرَاعِكَ ٱلْجِيلَ ٱلْمُقْبِلَ، وَبِقُوَّتِكَ كُلَّ آتٍ.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 19] وَبِرُّكَ إِلَى ٱلْعَلْيَاءِ يَا ٱللهُ، ٱلَّذِي صَنَعْتَ ٱلْعَظَائِمَ. يَا ٱللهُ، مَنْ مِثْلُكَ؟
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 20] أَنْتَ ٱلَّذِي أَرَيْتَنَا ضِيقَاتٍ كَثِيرَةً وَرَدِيئَةً، تَعُودُ فَتُحْيِينَا، وَمِنْ أَعْمَاقِ ٱلْأَرْضِ تَعُودُ فَتُصْعِدُنَا.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 21] تَزِيدُ عَظَمَتِي وَتَرْجِعُ فَتُعَزِّينِي.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 22] فَأَنَا أَيْضًا أَحْمَدُكَ بِرَبَابٍ، حَقَّكَ يَا إِلَهِي. أُرَنِّمُ لَكَ بِٱلْعُودِ يَا قُدُّوسَ إِسْرَائِيلَ.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 23] تَبْتَهِجُ شَفَتَايَ إِذْ أُرَنِّمُ لَكَ، وَنَفْسِي ٱلَّتِي فَدَيْتَهَا.
[VANDYKE | AR | OT | Psalms | Chapter 71 | Verse 24] وَلِسَانِي أَيْضًا ٱلْيَوْمَ كُلَّهُ يَلْهَجُ بِبِرِّكَ. لِأَنَّهُ قَدْ خَزِيَ، لِأَنَّهُ قَدْ خَجِلَ ٱلْمُلْتَمِسُونَ لِي شَرًّا.
