[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 1] اَللَّهُمَّ، أَعْطِ أَحْكَامَكَ لِلْمَلِكِ، وَبِرَّكَ لِٱبْنِ ٱلْمَلِكِ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 2] يَدِينُ شَعْبَكَ بِٱلْعَدْلِ، وَمَسَاكِينَكَ بِٱلْحَقِّ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 3] تَحْمِلُ ٱلْجِبَالُ سَلَامًا لِلشَّعْبِ، وَٱلْآكَامُ بِٱلْبِرِّ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 4] يَقْضِي لِمَسَاكِينِ ٱلشَّعْبِ. يُخَلِّصُ بَنِي ٱلْبَائِسِينَ، وَيَسْحَقُ ٱلظَّالِمَ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 5] يَخْشَوْنَكَ مَا دَامَتِ ٱلشَّمْسُ، وَقُدَّامَ ٱلْقَمَرِ إِلَى دَوْرٍ فَدَوْرٍ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 6] يَنْزِلُ مِثْلَ ٱلْمَطَرِ عَلَى ٱلْجُزَازِ، وَمِثْلَ ٱلْغُيُوثِ ٱلذَّارِفَةِ عَلَى ٱلْأَرْضِ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 7] يُشْرِقُ فِي أَيَّامِهِ ٱلصِّدِّيقُ، وَكَثْرَةُ ٱلسَّلَامِ إِلَى أَنْ يَضْمَحِلَّ ٱلْقَمَرُ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 8] وَيَمْلِكُ مِنَ ٱلْبَحْرِ إِلَى ٱلْبَحْرِ، وَمِنَ ٱلنَّهْرِ إِلَى أَقَاصِي ٱلْأَرْضِ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 9] أَمَامَهُ تَجْثُو أَهْلُ ٱلْبَرِّيَّةِ، وَأَعْدَاؤُهُ يَلْحَسُونَ ٱلتُّرَابَ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 10] مُلُوكُ تَرْشِيشَ وَٱلْجَزَائِرِ يُرْسِلُونَ تَقْدِمَةً. مُلُوكُ شَبَا وَسَبَإٍ يُقَدِّمُونَ هَدِيَّةً.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 11] وَيَسْجُدُ لَهُ كُلُّ ٱلْمُلُوكِ. كُلُّ ٱلْأُمَمِ تَتَعَبَّدُ لَهُ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 12] لِأَنَّهُ يُنَجِّي ٱلْفَقِيرَ ٱلْمُسْتَغِيثَ، وَٱلْمِسْكِينَ إِذْ لَا مُعِينَ لَهُ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 13] يُشْفِقُ عَلَى ٱلْمِسْكِينِ وَٱلْبَائِسِ، وَيُخَلِّصُ أَنْفُسَ ٱلْفُقَرَاءِ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 14] مِنَ ٱلظُّلْمِ وَٱلْخَطْفِ يَفْدِي أَنْفُسَهُمْ، وَيُكْرَمُ دَمُهُمْ فِي عَيْنَيْهِ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 15] وَيَعِيشُ وَيُعْطِيهِ مِنْ ذَهَبِ شَبَا. وَيُصَلِّي لِأَجْلِهِ دَائِمًا. ٱلْيَوْمَ كُلَّهُ يُبَارِكُهُ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 16] تَكُونُ حُفْنَةُ بُرٍّ فِي ٱلْأَرْضِ فِي رُؤُوسِ ٱلْجِبَالِ. تَتَمَايَلُ مِثْلَ لُبْنَانَ ثَمَرَتُهَا، وَيُزْهِرُونَ مِنَ ٱلْمَدِينَةِ مِثْلَ عُشْبِ ٱلْأَرْضِ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 17] يَكُونُ ٱسْمُهُ إِلَى ٱلدَّهْرِ. قُدَّامَ ٱلشَّمْسِ يَمْتَدُّ ٱسْمُهُ، وَيَتَبَارَكُونَ بِهِ. كُلُّ أُمَمِ ٱلْأَرْضِ يُطَوِّبُونَهُ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 18] مُبَارَكٌ ٱلرَّبُّ ٱللهُ إِلَهُ إِسْرَائِيلَ، ٱلصَّانِعُ ٱلْعَجَائِبَ وَحْدَهُ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 19] وَمُبَارَكٌ ٱسْمُ مَجْدِهِ إِلَى ٱلدَّهْرِ، وَلْتَمْتَلِئِ ٱلْأَرْضُ كُلُّهَا مِنْ مَجْدِهِ. آمِينَ ثُمَّ آمِينَ.
[VANDYKE | AR | OT | Psalms | Chapter 72 | Verse 20] تَمَّتْ صَلَوَاتُ دَاوُدَ بْنِ يَسَّى
