[VANDYKE | AR | OT | Psalms | Chapter 46 | Verse 1] ٱللهُ لَنَا مَلْجَأٌ وَقُوَّةٌ. عَوْنًا فِي ٱلضِّيْقَاتِ وُجِدَ شَدِيدًا.
[VANDYKE | AR | OT | Psalms | Chapter 46 | Verse 2] لِذَلِكَ لَا نَخْشَى وَلَوْ تَزَحْزَحَتِ ٱلْأَرْضُ، وَلَوِ ٱنْقَلَبَتِ ٱلْجِبَالُ إِلَى قَلْبِ ٱلْبِحَارِ.
[VANDYKE | AR | OT | Psalms | Chapter 46 | Verse 3] تَعِجُّ وَتَجِيشُ مِيَاهُهَا. تَتَزَعْزَعُ ٱلْجِبَالُ بِطُمُوِّهَا. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 46 | Verse 4] نَهْرٌ سَوَاقِيهِ تُفَرِّحُ مَدِينَةَ ٱللهِ، مَقْدِسَ مَسَاكِنِ ٱلْعَلِيِّ.
[VANDYKE | AR | OT | Psalms | Chapter 46 | Verse 5] ٱللهُ فِي وَسَطِهَا فَلَنْ تَتَزَعْزَعَ. يُعِينُهَا ٱللهُ عِنْدَ إِقْبَالِ ٱلصُّبْحِ.
[VANDYKE | AR | OT | Psalms | Chapter 46 | Verse 6] عَجَّتِ ٱلْأُمَمُ. تَزَعْزَعَتِ ٱلْمَمَالِكُ. أَعْطَى صَوْتَهُ، ذَابَتِ ٱلْأَرْضُ.
[VANDYKE | AR | OT | Psalms | Chapter 46 | Verse 7] رَبُّ ٱلْجُنُودِ مَعَنَا. مَلْجَأُنَا إِلَهُ يَعْقُوبَ. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 46 | Verse 8] هَلُمُّوا ٱنْظُرُوا أَعْمَالَ ٱللهِ، كَيْفَ جَعَلَ خِرَبًا فِي ٱلْأَرْضِ.
[VANDYKE | AR | OT | Psalms | Chapter 46 | Verse 9] مُسَكِّنُ ٱلْحُرُوبِ إِلَى أَقْصَى ٱلْأَرْضِ. يَكْسِرُ ٱلْقَوْسَ وَيَقْطَعُ ٱلرُّمْحَ. ٱلْمَرْكَبَاتُ يُحْرِقُهَا بِٱلنَّارِ.
[VANDYKE | AR | OT | Psalms | Chapter 46 | Verse 10] كُفُّوا وَٱعْلَمُوا أَنِّي أَنَا ٱللهُ. أَتَعَالَى بَيْنَ ٱلْأُمَمِ، أَتَعَالَى فِي ٱلْأَرْضِ.
[VANDYKE | AR | OT | Psalms | Chapter 46 | Verse 11] رَبُّ ٱلْجُنُودِ مَعَنَا. مَلْجَأُنَا إِلَهُ يَعْقُوبَ. سِلَاهْ.
