[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 1] أَحْمَدُ ٱلرَّبَّ بِكُلِّ قَلْبِي. أُحَدِّثُ بِجَمِيعِ عَجَائِبِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 2] أَفْرَحُ وَأَبْتَهِجُ بِكَ. أُرَنِّمُ لِٱسْمِكَ أَيُّهَا ٱلْعَلِيُّ.
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 3] عِنْدَ رُجُوعِ أَعْدَائِي إِلَى خَلْفٍ، يَسْقُطُونَ وَيَهْلِكُونَ مِنْ قُدَّامِ وَجْهِكَ،
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 4] لِأَنَّكَ أَقَمْتَ حَقِّي وَدَعْوَايَ. جَلَسْتَ عَلَى ٱلْكُرْسِيِّ قَاضِيًا عَادِلًا.
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 5] ٱنْتَهَرْتَ ٱلْأُمَمَ. أَهْلَكْتَ ٱلشِّرِّيرَ. مَحَوْتَ ٱسْمَهُمْ إِلَى ٱلدَّهْرِ وَٱلْأَبَدِ.
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 6] اَلْعَدُوُّ تَمَّ خَرَابُهُ إِلَى ٱلْأَبَدِ. وَهَدَمْتَ مُدُنًا. بَادَ ذِكْرُهُ نَفْسُهُ.
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 7] أَمَّا ٱلرَّبُّ فَإِلَى ٱلدَّهْرِ يَجْلِسُ. ثَبَّتَ لِلْقَضَاءِ كُرْسِيَّهُ،
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 8] وَهُوَ يَقْضِي لِلْمَسْكُونَةِ بِٱلْعَدْلِ. يَدِينُ ٱلشُّعُوبَ بِٱلِٱسْتِقَامَةِ.
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 9] وَيَكُونُ ٱلرَّبُّ مَلْجَأً لِلْمُنْسَحِقِ. مَلْجَأً فِي أَزْمِنَةِ ٱلضِّيقِ.
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 10] وَيَتَّكِلُ عَلَيْكَ ٱلْعَارِفُونَ ٱسْمَكَ، لِأَنَّكَ لَمْ تَتْرُكْ طَالِبِيكَ يَارَبُّ.
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 11] رَنِّمُوا لِلرَّبِّ ٱلسَّاكِنِ فِي صِهْيَوْنَ، أَخْبِرُوا بَيْنَ ٱلشُّعُوبِ بِأَفْعَالِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 12] لِأَنَّهُ مُطَالِبٌ بِٱلدِّمَاءِ. ذَكَرَهُمْ. لَمْ يَنْسَ صُرَاخَ ٱلْمَسَاكِينِ.
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 13] اِرْحَمْنِي يَارَبُّ. ٱنْظُرْ مَذَلَّتِي مِنْ مُبْغِضِيَّ، يَارَافِعِي مِنْ أَبْوَابِٱلْمَوْتِ،
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 14] لِكَيْ أُحَدِّثَ بِكُلِّ تَسَابِيحِكَ فِي أَبْوَابِ ٱبْنَةِ صِهْيَوْنَ، مُبْتَهِجًا بِخَلَاصِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 15] تَوَرَّطَتِ ٱلْأُمَمُ فِي ٱلْحُفْرَةِ ٱلَّتِي عَمِلُوهَا. فِي ٱلشَّبَكَةِ ٱلَّتِي أَخْفَوْهَا ٱنْتَشَبَتْ أَرْجُلُهُمْ.
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 16] مَعْرُوفٌ هُوَ ٱلرَّبُّ. قَضَاءً أَمْضَى. ٱلشِّرِّيرُ يَعْلَقُ بِعَمَلِ يَدَيْهِ. ضَرْبُ ٱلْأَوْتَارِ. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 17] اَلْأَشْرَارُ يَرْجِعُونَ إِلَى ٱلْهَاوِيَةِ، كُلُّ ٱلْأُمَمِ ٱلنَّاسِينَ ٱللهَ.
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 18] لِأَنَّهُ لَا يُنْسَى ٱلْمِسْكِينُ إِلَى ٱلْأَبَدِ. رَجَاءُ ٱلْبَائِسِينَ لَا يَخِيبُ إِلَى ٱلدَّهْرِ.
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 19] قُمْ يَارَبُّ. لَا يَعْتَزَّ ٱلْإِنْسَانُ. لِتُحَاكَمِ ٱلْأُمَمُ قُدَّامَكَ.
[VANDYKE | AR | OT | Psalms | Chapter 9 | Verse 20] يَارَبُّ ٱجْعَلْ عَلَيْهِمْ رُعْبًا لِيَعْلَمَ ٱلْأُمَمُ أَنَّهُمْ بَشَرٌ. سِلَاهْ.
