[VANDYKE | AR | OT | Psalms | Chapter 27 | Verse 1] اَلرَّبُّ نُورِي وَخَلَاصِي، مِمَّنْ أَخَافُ؟ ٱلرَّبُّ حِصْنُ حَيَاتِي، مِمَّنْ أَرْتَعِبُ؟
[VANDYKE | AR | OT | Psalms | Chapter 27 | Verse 2] عِنْدَ مَا ٱقْتَرَبَ إِلَيَّ ٱلْأَشْرَارُ لِيَأْكُلُوا لَحْمِي، مُضَايِقِيَّ وَأَعْدَائِي عَثَرُوا وَسَقَطُوا.
[VANDYKE | AR | OT | Psalms | Chapter 27 | Verse 3] إِنْ نَزَلَ عَلَيَّ جَيْشٌ لَا يَخَافُ قَلْبِي. إِنْ قَامَتْ عَلَيَّ حَرْبٌ فَفِي ذَلِكَ أَنَا مُطْمَئِنٌّ.
[VANDYKE | AR | OT | Psalms | Chapter 27 | Verse 4] وَاحِدَةً سَأَلْتُ مِنَ ٱلرَّبِّ وَإِيَّاهَا أَلْتَمِسُ: أَنْ أَسْكُنَ فِي بَيْتِ ٱلرَّبِّ كُلَّ أَيَّامِ حَيَاتِي، لِكَيْ أَنْظُرَ إِلَى جَمَالِ ٱلرَّبِّ، وَأَتَفَرَّسَ فِي هَيْكَلِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 27 | Verse 5] لِأَنَّهُ يُخَبِّئُنِي فِي مَظَلَّتِهِ فِي يَوْمِ ٱلشَّرِّ. يَسْتُرُنِي بِسِتْرِ خَيْمَتِهِ. عَلَى صَخْرَةٍ يَرْفَعُنِي.
[VANDYKE | AR | OT | Psalms | Chapter 27 | Verse 6] وَٱلْآنَ يَرْتَفِعُ رَأْسِي عَلَى أَعْدَائِي حَوْلِي، فَأَذْبَحُ فِي خَيْمَتِهِ ذَبَائِحَ ٱلْهُتَافِ. أُغَنِّي وَأُرَنِّمُ لِلرَّبِّ.
[VANDYKE | AR | OT | Psalms | Chapter 27 | Verse 7] اِسْتَمِعْ يَارَبُّ. بِصَوْتِي أَدْعُو فَٱرْحَمْنِي وَٱسْتَجِبْ لِي.
[VANDYKE | AR | OT | Psalms | Chapter 27 | Verse 8] لَكَ قَالَ قَلْبِي: «قُلْتَ: ٱطْلُبُوا وَجْهِي». وَجْهَكَ يَارَبُّ أَطْلُبُ.
[VANDYKE | AR | OT | Psalms | Chapter 27 | Verse 9] لَا تَحْجُبْ وَجْهَكَ عَنِّي. لَا تُخَيِّبْ بِسُخْطٍ عَبْدَكَ. قَدْ كُنْتَ عَوْنِي فَلَا تَرْفُضْنِي وَلَا تَتْرُكْنِي يَا إِلَهَ خَلَاصِي.
[VANDYKE | AR | OT | Psalms | Chapter 27 | Verse 10] إِنَّ أَبِي وَأُمِّي قَدْ تَرَكَانِي وَٱلرَّبُّ يَضُمُّنِي.
[VANDYKE | AR | OT | Psalms | Chapter 27 | Verse 11] عَلِّمْنِي يَارَبُّ طَرِيقَكَ، وَٱهْدِنِي فِي سَبِيلٍ مُسْتَقِيمٍ بِسَبَبِ أَعْدَائِي.
[VANDYKE | AR | OT | Psalms | Chapter 27 | Verse 12] لَا تُسَلِّمْنِي إِلَى مَرَامِ مُضَايِقِيَّ، لِأَنَّهُ قَدْ قَامَ عَلَيَّ شُهُودُ زُورٍ وَنَافِثُ ظُلْمٍ.
[VANDYKE | AR | OT | Psalms | Chapter 27 | Verse 13] لَوْلَا أَنَّنِي آمَنْتُ بِأَنْ أَرَى جُودَ ٱلرَّبِّ فِي أَرْضِ ٱلْأَحْيَاءِ.
[VANDYKE | AR | OT | Psalms | Chapter 27 | Verse 14] ٱنْتَظِرِ ٱلرَّبَّ. لِيَتَشَدَّدْ وَلْيَتَشَجَّعْ قَلْبُكَ، وَٱنْتَظِرِ ٱلرَّبَّ.
