[VANDYKE | AR | OT | Psalms | Chapter 62 | Verse 1] إِنَّمَا لِلهِ ٱنْتَظَرَتْ نَفْسِي. مِنْ قِبَلِهِ خَلَاصِي.
[VANDYKE | AR | OT | Psalms | Chapter 62 | Verse 2] إِنَّمَا هُوَ صَخْرَتِي وَخَلَاصِي، مَلْجَإِي، لَا أَتَزَعْزَعُ كَثِيرًا.
[VANDYKE | AR | OT | Psalms | Chapter 62 | Verse 3] إِلَى مَتَى تَهْجِمُونَ عَلَى ٱلْإِنْسَانِ؟ تَهْدِمُونَهُ كُلُّكُمْ كَحَائِطٍ مُنْقَضٍّ، كَجِدَارٍ وَاقِعٍ!
[VANDYKE | AR | OT | Psalms | Chapter 62 | Verse 4] إِنَّمَا يَتَآمَرُونَ لِيَدْفَعُوهُ عَنْ شَرَفِهِ. يَرْضَوْنَ بِٱلْكَذِبِ. بِأَفْوَاهِهِمْ يُبَارِكُونَ وَبِقُلُوبِهِمْ يَلْعَنُونَ. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 62 | Verse 5] إِنَّمَا لِلهِ ٱنْتَظِرِي يَا نَفْسِي، لِأَنَّ مِنْ قِبَلِهِ رَجَائِي.
[VANDYKE | AR | OT | Psalms | Chapter 62 | Verse 6] إِنَّمَا هُوَ صَخْرَتِي وَخَلَاصِي، مَلْجَإِي فَلَا أَتَزَعْزَعُ.
[VANDYKE | AR | OT | Psalms | Chapter 62 | Verse 7] عَلَى ٱللهِ خَلَاصِي وَمَجْدِي، صَخْرَةُ قُوَّتِي مُحْتَمَايَ فِي ٱللهِ.
[VANDYKE | AR | OT | Psalms | Chapter 62 | Verse 8] تَوَكَّلُوا عَلَيْهِ فِي كُلِّ حِينٍ يَا قَوْمُ. ٱسْكُبُوا قُدَّامَهُ قُلُوبَكُمْ. ٱللهُ مَلْجَأٌ لَنَا. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 62 | Verse 9] إِنَّمَا بَاطِلٌ بَنُو آدَمَ. كَذِبٌ بَنُو ٱلْبَشَرِ. فِي ٱلْمَوَازِينِ هُمْ إِلَى فَوْقُ. هُمْ مِنْ بَاطِلٍ أَجْمَعُونَ.
[VANDYKE | AR | OT | Psalms | Chapter 62 | Verse 10] لَا تَتَّكِلُوا عَلَى ٱلظُّلْمِ وَلَا تَصِيرُوا بَاطِلًا فِي ٱلْخَطْفِ. إِنْ زَادَ ٱلْغِنَى فَلَا تَضَعُوا عَلَيْهِ قَلْبًا.
[VANDYKE | AR | OT | Psalms | Chapter 62 | Verse 11] مَرَّةً وَاحِدَةً تَكَلَّمَ ٱلرَّبُّ، وَهَاتَيْنِ ٱلِٱثْنَتَيْنِ سَمِعْتُ: أَنَّ ٱلْعِزَّةَ لِلهِ،
[VANDYKE | AR | OT | Psalms | Chapter 62 | Verse 12] وَلَكَ يَارَبُّ ٱلرَّحْمَةُ، لِأَنَّكَ أَنْتَ تُجَازِي ٱلْإِنْسَانَ كَعَمَلِهِ.
