[VANDYKE | AR | OT | Psalms | Chapter 45 | Verse 1] فَاضَ قَلْبِي بِكَلَامٍ صَالِحٍ. مُتَكَلِّمٌ أَنَا بِإِنْشَائِي لِلْمَلِكِ. لِسَانِي قَلَمُ كَاتِبٍ مَاهِرٍ.
[VANDYKE | AR | OT | Psalms | Chapter 45 | Verse 2] أَنْتَ أَبْرَعُ جَمَالًا مِنْ بَنِي ٱلْبَشَرِ. ٱنْسَكَبَتِ ٱلنِّعْمَةُ عَلَى شَفَتَيْكَ، لِذَلِكَ بَارَكَكَ ٱللهُ إِلَى ٱلْأَبَدِ.
[VANDYKE | AR | OT | Psalms | Chapter 45 | Verse 3] تَقَلَّدْ سَيْفَكَ عَلَى فَخْذِكَ أَيُّهَا ٱلْجَبَّارُ، جَلَالَكَ وَبَهَاءَكَ.
[VANDYKE | AR | OT | Psalms | Chapter 45 | Verse 4] وَبِجَلَالِكَ ٱقْتَحِمِ. ٱرْكَبْ. مِنْ أَجْلِ ٱلْحَقِّ وَٱلدَّعَةِ وَٱلْبِرِّ، فَتُرِيَكَ يَمِينُكَ مَخَاوِفَ.
[VANDYKE | AR | OT | Psalms | Chapter 45 | Verse 5] نَبْلُكَ ٱلْمَسْنُونَةُ فِي قَلْبِ أَعْدَاءِ ٱلْمَلِكِ. شُعُوبٌ تَحْتَكَ يَسْقُطُونَ.
[VANDYKE | AR | OT | Psalms | Chapter 45 | Verse 6] كُرْسِيُّكَ يَا ٱللهُ إِلَى دَهْرِ ٱلدُّهُورِ. قَضِيبُ ٱسْتِقَامَةٍ قَضِيبُ مُلْكِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 45 | Verse 7] أَحْبَبْتَ ٱلْبِرَّ وَأَبْغَضْتَ ٱلْإِثْمَ، مِنْ أَجْلِ ذَلِكَ مَسَحَكَ ٱللهُ إِلَهُكَ بِدُهْنِ ٱلِٱبْتِهَاجِ أَكْثَرَ مِنْ رُفَقَائِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 45 | Verse 8] كُلُّ ثِيَابِكَ مُرٌّ وَعُودٌ وَسَلِيخَةٌ. مِنْ قُصُورِ ٱلْعَاجِ سَرَّتْكَ ٱلْأَوْتَارُ.
[VANDYKE | AR | OT | Psalms | Chapter 45 | Verse 9] بَنَاتُ مُلُوكٍ بَيْنَ حَظِيَّاتِكَ. جُعِلَتِ ٱلْمَلِكَةُ عَنْ يَمِينِكَ بِذَهَبِ أُوفِيرٍ.
[VANDYKE | AR | OT | Psalms | Chapter 45 | Verse 10] اِسْمَعِي يَا بِنْتُ وَٱنْظُرِي، وَأَمِيلِي أُذُنَكِ، وَٱنْسَيْ شَعْبَكِ وَبَيْتَ أَبِيكِ،
[VANDYKE | AR | OT | Psalms | Chapter 45 | Verse 11] فَيَشْتَهِيَ ٱلْمَلِكُ حُسْنَكِ، لِأَنَّهُ هُوَ سَيِّدُكِ فَٱسْجُدِي لَهُ.
[VANDYKE | AR | OT | Psalms | Chapter 45 | Verse 12] وَبِنْتُ صُورٍ أَغْنَى ٱلشُّعُوبِ تَتَرَضَّى وَجْهَكِ بِهَدِيَّةٍ.
[VANDYKE | AR | OT | Psalms | Chapter 45 | Verse 13] كُلُّهَا مَجْدٌ ٱبْنَةُ ٱلْمَلِكِ فِي خِدْرِهَا. مَنْسُوجَةٌ بِذَهَبٍ مَلَابِسُهَا.
[VANDYKE | AR | OT | Psalms | Chapter 45 | Verse 14] بِمَلَابِسَ مُطَرَّزَةٍ تُحْضَرُ إِلَى ٱلْمَلِكِ. في إِثْرِهَا عَذَارَى صَاحِبَاتُهَا. مُقَدَّمَاتٌ إِلَيْكَ.
[VANDYKE | AR | OT | Psalms | Chapter 45 | Verse 15] يُحْضَرْنَ بِفَرَحٍ وَٱبْتِهَاجٍ. يَدْخُلْنَ إِلَى قَصْرِ ٱلْمَلِكِ.
[VANDYKE | AR | OT | Psalms | Chapter 45 | Verse 16] عِوَضًا عَنْ آبَائِكَ يَكُونُ بَنُوكَ، تُقِيمُهُمْ رُؤَسَاءَ فِي كُلِّ ٱلْأَرْضِ.
[VANDYKE | AR | OT | Psalms | Chapter 45 | Verse 17] أَذْكُرُ ٱسْمَكَ فِي كُلِّ دَوْرٍ فَدَوْرٍ. مِنْ أَجْلِ ذَلِكَ تَحْمَدُكَ ٱلشُّعُوبُ إِلَى ٱلدَّهْرِ وَٱلْأَبَدِ.
