[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 1] يَا رَاعِيَ إِسْرَائِيلَ، ٱصْغَ، يَا قَائِدَ يُوسُفَ كَٱلضَّأْنِ، يَا جَالِسًا عَلَى ٱلْكَرُوبِيمِ أَشْرِقْ.
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 2] قُدَّامَ أَفْرَايِمَ وَبِنْيَامِينَ وَمَنَسَّى أَيْقِظْ جَبَرُوتَكَ، وَهَلُمَّ لِخَلَاصِنَا.
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 3] يَا ٱللهُ أَرْجِعْنَا، وَأَنِرْ بِوَجْهِكَ فَنَخْلُصَ.
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 4] يَارَبُّ إِلَهَ ٱلْجُنُودِ، إِلَى مَتَى تُدَخِّنُ عَلَى صَلَاةِ شَعْبِكَ؟
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 5] قَدْ أَطْعَمْتَهُمْ خُبْزَ ٱلدُّمُوعِ، وَسَقَيْتَهُمُ ٱلدُّمُوعَ بِٱلْكَيْلِ.
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 6] جَعَلْتَنَا نِزَاعًا عِنْدَ جِيرَانِنَا، وَأَعْدَاؤُنَا يَسْتَهْزِئُونَ بَيْنَ أَنْفُسِهِمْ.
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 7] يَا إِلَهَ ٱلْجُنُودِ أَرْجِعْنَا، وَأَنِرْ بِوَجْهِكَ فَنَخْلُصَ.
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 8] كَرْمَةً مِنْ مِصْرَ نَقَلْتَ. طَرَدْتَ أُمَمًا وَغَرَسْتَهَا.
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 9] هَيَّأْتَ قُدَّامَهَا فَأَصَّلَتْ أُصُولَهَا فَمَلَأَتِ ٱلْأَرْضَ.
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 10] غَطَّى ٱلْجِبَالَ ظِلُّهَا، وَأَغْصَانُهَا أَرْزَ ٱللهِ.
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 11] مَدَّتْ قُضْبَانَهَا إِلَى ٱلْبَحْرِ، وَإِلَى ٱلنَّهْرِ فُرُوعَهَا.
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 12] فَلِمَاذَا هَدَمْتَ جُدْرَانَهَا فَيَقْطِفَهَا كُلُّ عَابِرِي ٱلطَّرِيقِ؟
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 13] يُفْسِدُهَا ٱلْخِنْزِيرُ مِنَ ٱلْوَعْرِ، وَيَرْعَاهَا وَحْشُ ٱلْبَرِّيَّةِ.
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 14] يَا إِلَهَ ٱلْجُنُودِ، ٱرْجِعَنَّ. ٱطَّلِعْ مِنَ ٱلسَّمَاءِ وَٱنْظُرْ وَتَعَهَّدْ هَذِهِ ٱلْكَرْمَةَ،
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 15] وَٱلْغَرْسَ ٱلَّذِي غَرَسَتْهُ يَمِينُكَ، وَٱلِٱبْنَ ٱلَّذِي ٱخْتَرْتَهُ لِنَفْسِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 16] هِيَ مَحْرُوقَةٌ بِنَارٍ، مَقْطُوعَةٌ. مِنِ ٱنْتِهَارِ وَجْهِكَ يَبِيدُونَ.
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 17] لِتَكُنْ يَدُكَ عَلَى رَجُلِ يَمِينِكَ، وَعَلَى ٱبْنِ آدَمَ ٱلَّذِي ٱخْتَرْتَهُ لِنَفْسِكَ،
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 18] فَلَا نَرْتَدَّ عَنْكَ. أَحْيِنَا فَنَدْعُوَ بِٱسْمِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 80 | Verse 19] يَارَبُّ إِلَهَ ٱلْجُنُودِ، أَرْجِعْنَا. أَنِرْ بِوَجْهِكَ فَنَخْلُصَ.
