[VANDYKE | AR | OT | Psalms | Chapter 19 | Verse 1] اَلسَّمَاوَاتُ تُحَدِّثُ بِمَجْدِ ٱللهِ، وَٱلْفَلَكُ يُخْبِرُ بِعَمَلِ يَدَيْهِ.
[VANDYKE | AR | OT | Psalms | Chapter 19 | Verse 2] يَوْمٌ إِلَى يَوْمٍ يُذِيعُ كَلَامًا، وَلَيْلٌ إِلَى لَيْلٍ يُبْدِي عِلْمًا.
[VANDYKE | AR | OT | Psalms | Chapter 19 | Verse 3] لَا قَوْلَ وَلَا كَلَامَ. لَا يُسْمَعُ صَوْتُهُمْ.
[VANDYKE | AR | OT | Psalms | Chapter 19 | Verse 4] فِي كُلِّ ٱلْأَرْضِ خَرَجَ مَنْطِقُهُمْ، وَإِلَى أَقْصَى ٱلْمَسْكُونَةِ كَلِمَاتُهُمْ. جَعَلَ لِلشَّمْسِ مَسْكَنًا فِيهَا،
[VANDYKE | AR | OT | Psalms | Chapter 19 | Verse 5] وَهِيَ مِثْلُ ٱلْعَرُوسِ ٱلْخَارِجِ مِنْ حَجَلَتِهِ. يَبْتَهِجُ مِثْلَ ٱلْجَبَّارِ لِلسِّبَاقِ فِي ٱلطَّرِيقِ.
[VANDYKE | AR | OT | Psalms | Chapter 19 | Verse 6] مِنْ أَقْصَى ٱلسَّمَاوَاتِ خُرُوجُهَا، وَمَدَارُهَا إِلَى أَقَاصِيهَا، وَلَا شَيْءَ يَخْتَفِي مِنْ حَرِّهَا.
[VANDYKE | AR | OT | Psalms | Chapter 19 | Verse 7] نَامُوسُ ٱلرَّبِّ كَامِلٌ يَرُدُّ ٱلنَّفْسَ. شَهَادَاتُ ٱلرَّبِّ صَادِقَةٌ تُصَيِّرُ ٱلْجَاهِلَ حَكِيمًا.
[VANDYKE | AR | OT | Psalms | Chapter 19 | Verse 8] وَصَايَا ٱلرَّبِّ مُسْتَقِيمَةٌ تُفَرِّحُ ٱلْقَلْبَ. أَمْرُ ٱلرَّبِّ طَاهِرٌ يُنِيرُ ٱلْعَيْنَيْنِ.
[VANDYKE | AR | OT | Psalms | Chapter 19 | Verse 9] خَوْفُ ٱلرَّبِّ نَقِيٌّ ثَابِتٌ إِلَى ٱلْأَبَدِ. أَحْكَامُ ٱلرَّبِّ حَقٌّ عَادِلَةٌ كُلُّهَا.
[VANDYKE | AR | OT | Psalms | Chapter 19 | Verse 10] أَشْهَى مِنَ ٱلذَّهَبِ وَٱلْإِبْرِيزِ ٱلْكَثِيرِ، وَأَحْلَى مِنَ ٱلْعَسَلِ وَقَطْرِ ٱلشِّهَادِ.
[VANDYKE | AR | OT | Psalms | Chapter 19 | Verse 11] أَيْضًا عَبْدُكَ يُحَذَّرُ بِهَا، وَفِي حِفْظِهَا ثَوَابٌ عَظِيمٌ.
[VANDYKE | AR | OT | Psalms | Chapter 19 | Verse 12] اَلسَّهَوَاتُ مَنْ يَشْعُرُ بِهَا؟ مِنَ ٱلْخَطَايَا ٱلْمُسْتَتِرَةِ أَبْرِئْنِي.
[VANDYKE | AR | OT | Psalms | Chapter 19 | Verse 13] أَيْضًا مِنَ ٱلْمُتَكَبِّرِينَ ٱحْفَظْ عَبْدَكَ فَلَا يَتَسَلَّطُوا عَلَيَّ. حِينَئِذٍ أَكُونُ كَامِلًا وَأَتَبَرَّأُ مِنْ ذَنْبٍ عَظِيمٍ.
[VANDYKE | AR | OT | Psalms | Chapter 19 | Verse 14] لِتَكُنْ أَقْوَالُ فَمِي وَفِكْرُ قَلْبِي مَرْضِيَّةً أَمَامَكَ يَارَبُّ، صَخْرَتِي وَوَلِيِّي.
