[VANDYKE | AR | OT | Psalms | Chapter 21 | Verse 1] يَارَبُّ، بِقُوَّتِكَ يَفْرَحُ ٱلْمَلِكُ، وَبِخَلَاصِكَ كَيْفَ لَا يَبْتَهِجُ جِدًّا!
[VANDYKE | AR | OT | Psalms | Chapter 21 | Verse 2] شَهْوَةَ قَلْبِهِ أَعْطَيْتَهُ، وَمُلْتَمَسَ شَفَتَيْهِ لَمْ تَمْنَعْهُ. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 21 | Verse 3] لِأَنَّكَ تَتَقَدَّمُهُ بِبَرَكَاتِ خَيْرٍ. وَضَعْتَ عَلَى رَأْسِهِ تَاجًا مِنْ إِبْرِيزٍ.
[VANDYKE | AR | OT | Psalms | Chapter 21 | Verse 4] حَيَاةً سَأَلَكَ فَأَعْطَيْتَهُ. طُولَ ٱلْأَيَّامِ إِلَى ٱلدَّهْرِ وَٱلْأَبَدِ.
[VANDYKE | AR | OT | Psalms | Chapter 21 | Verse 5] عَظِيمٌ مَجْدُهُ بِخَلَاصِكَ، جَلَالًا وَبَهَاءً تَضَعُ عَلَيْهِ.
[VANDYKE | AR | OT | Psalms | Chapter 21 | Verse 6] لِأَنَّكَ جَعَلْتَهُ بَرَكَاتٍ إِلَى ٱلْأَبَدِ. تُفَرِّحُهُ ٱبْتِهَاجًا أَمَامَكَ.
[VANDYKE | AR | OT | Psalms | Chapter 21 | Verse 7] لِأَنَّ ٱلْمَلِكَ يَتَوَكَّلُ عَلَى ٱلرَّبِّ، وَبِنِعْمَةِ ٱلْعَلِيِّ لَا يَتَزَعْزَعُ.
[VANDYKE | AR | OT | Psalms | Chapter 21 | Verse 8] تُصِيبُ يَدُكَ جَمِيعَ أَعْدَائِكَ. يَمِينُكَ تُصِيبُ كُلَّ مُبْغِضِيكَ.
[VANDYKE | AR | OT | Psalms | Chapter 21 | Verse 9] تَجْعَلُهُمْ مِثْلَ تَنُّورِ نَارٍ فِي زَمَانِ حُضُورِكَ. ٱلرَّبُّ بِسَخَطِهِ يَبْتَلِعُهُمْ وَتَأْكُلُهُمُ ٱلنَّارُ.
[VANDYKE | AR | OT | Psalms | Chapter 21 | Verse 10] تُبِيدُ ثَمَرَهُمْ مِنَ ٱلْأَرْضِ وَذُرِّيَّتَهُمْ مِنْ بَيْنِ بَنِي آدَمَ.
[VANDYKE | AR | OT | Psalms | Chapter 21 | Verse 11] لِأَنَّهُمْ نَصَبُوا عَلَيْكَ شَرًّا. تَفَكَّرُوا بِمَكِيدَةٍ. لَمْ يَسْتَطِيعُوهَا.
[VANDYKE | AR | OT | Psalms | Chapter 21 | Verse 12] لِأَنَّكَ تَجْعَلُهُمْ يَتَوَلَّوْنَ. تُفَوِّقُ ٱلسِّهَامَ عَلَى أَوْتَارِكَ تِلْقَاءَ وُجُوهِهِمْ.
[VANDYKE | AR | OT | Psalms | Chapter 21 | Verse 13] ٱرْتَفِعْ يَارَبُّ بِقُوَّتِكَ. نُرَنِّمْ وَنُنَغِّمْ بِجَبَرُوتِكَ.
