[VANDYKE | AR | OT | Psalms | Chapter 17 | Verse 1] اِسْمَعْ يَارَبُّ لِلْحَقِّ. أَنْصِتْ إِلَى صُرَاخِي. أَصْغِ إِلَى صَلَاتِي مِنْ شَفَتَيْنِ بِلَا غِشٍّ.
[VANDYKE | AR | OT | Psalms | Chapter 17 | Verse 2] مِنْ قُدَّامِكَ يَخْرُجُ قَضَائِي. عَيْنَاكَ تَنْظُرَانِ ٱلْمُسْتَقِيمَاتِ.
[VANDYKE | AR | OT | Psalms | Chapter 17 | Verse 3] جَرَّبْتَ قَلْبِي. تَعَهَّدْتَهُ لَيْلًا. مَحَّصْتَنِي. لَا تَجِدُ فِيَّ ذُمُومًا. لَا يَتَعَدَّى فَمِي.
[VANDYKE | AR | OT | Psalms | Chapter 17 | Verse 4] مِنْ جِهَةِ أَعْمَالِ ٱلنَّاسِ فَبِكَلَامِ شَفَتَيْكَ أَنَا تَحَفَّظْتُ مِنْ طُرُقِ ٱلْمُعْتَنِفِ.
[VANDYKE | AR | OT | Psalms | Chapter 17 | Verse 5] تَمَسَّكَتْ خُطُوَاتِي بِآثَارِكَ فَمَا زَلَّتْ قَدَمَايَ.
[VANDYKE | AR | OT | Psalms | Chapter 17 | Verse 6] أَنَا دَعَوْتُكَ لِأَنَّكَ تَسْتَجِيبُ لِي يَا ٱللهُ. أَمِلْ أُذُنَيْكَ إِلَيَّ. ٱسْمَعْ كَلَامِي.
[VANDYKE | AR | OT | Psalms | Chapter 17 | Verse 7] مَيِّزْ مَرَاحِمَكَ، يَامُخَلِّصَ ٱلْمُتَّكِلِينَ عَلَيْكَ، بِيَمِينِكَ مِنَ ٱلْمُقَاوِمِينَ.
[VANDYKE | AR | OT | Psalms | Chapter 17 | Verse 8] ٱحْفَظْنِي مِثْلَ حَدَقَةِ ٱلْعَيْنِ. بِظِلِّ جَنَاحَيْكَ ٱسْتُرْنِي
[VANDYKE | AR | OT | Psalms | Chapter 17 | Verse 9] مِنْ وَجْهِ ٱلْأَشْرَارِ ٱلَّذِينَ يُخْرِبُونَنِي، أَعْدَائِي بِٱلنَّفْسِ ٱلَّذِينَ يَكْتَنِفُونَنِي.
[VANDYKE | AR | OT | Psalms | Chapter 17 | Verse 10] قَلْبَهُمُ ٱلسَّمِينَ قَدْ أَغْلَقُوا. بِأَفْوَاهِهِمْ قَدْ تَكَلَّمُوا بِٱلْكِبْرِيَاءِ.
[VANDYKE | AR | OT | Psalms | Chapter 17 | Verse 11] فِي خُطُوَاتِنَا ٱلْآنَ قَدْ أَحَاطُوا بِنَا. نَصَبُوا أَعْيُنَهُمْ لِيُزْلِقُونَا إِلَى ٱلْأَرْضِ.
[VANDYKE | AR | OT | Psalms | Chapter 17 | Verse 12] مَثَلُهُ مَثَلُ ٱلْأَسَدِ ٱلْقَرِمِ إِلَى ٱلِٱفْتِرَاسِ، وَكَٱلشِّبْلِ ٱلْكَامِنِ فِي عِرِّيسِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 17 | Verse 13] قُمْ يَارَبُّ. تَقَدَّمْهُ. اِصْرَعْهُ. نَجِّ نَفْسِي مِنَ ٱلشِّرِّيرِ بِسَيْفِكَ،
[VANDYKE | AR | OT | Psalms | Chapter 17 | Verse 14] مِنَ ٱلنَّاسِ بِيَدِكَ يَارَبُّ، مِنْ أَهْلِ ٱلدُّنْيَا. نَصِيبُهُمْ فِي حَيَاتِهِمْ. بِذَخَائِرِكَ تَمْلَأُ بُطُونَهُمْ. يَشْبَعُونَ أَوْلَادًا وَيَتْرُكُونَ فُضَالَتَهُمْ لِأَطْفَالِهِمْ.
[VANDYKE | AR | OT | Psalms | Chapter 17 | Verse 15] أَمَّا أَنَا فَبِالْبِرِّ أَنْظُرُ وَجْهَكَ. أَشْبَعُ إِذَا ٱسْتَيْقَظْتُ بِشَبَهِكَ.
