[VANDYKE | AR | OT | Psalms | Chapter 58 | Verse 1] أَحَقًّا بِٱلْحَقِّ ٱلْأَخْرَسِ تَتَكَلَّمُونَ، بِٱلْمُسْتَقِيمَاتِ تَقْضُونَ يَا بَنِي آدَمَ؟
[VANDYKE | AR | OT | Psalms | Chapter 58 | Verse 2] بَلْ بِٱلْقَلْبِ تَعْمَلُونَ شُرُورًا فِي ٱلْأَرْضِ ظُلْمَ أَيْدِيكُمْ تَزِنُونَ.
[VANDYKE | AR | OT | Psalms | Chapter 58 | Verse 3] زَاغَ ٱلْأَشْرَارُ مِنَ ٱلرَّحِمِ. ضَلُّوا مِنَ ٱلْبَطْنِ، مُتَكَلِّمِينَ كَذِبًا.
[VANDYKE | AR | OT | Psalms | Chapter 58 | Verse 4] لَهُمْ حُمَةٌ مِثْلُ حُمَةِ ٱلْحَيَّةِ. مِثْلُ ٱلصِّلِّ ٱلْأَصَمِّ يَسُدُّ أُذُنَهُ،
[VANDYKE | AR | OT | Psalms | Chapter 58 | Verse 5] ٱلَّذِي لَا يَسْتَمِعُ إِلَى صَوْتِ ٱلْحُوَاةِ ٱلرَّاقِينَ رُقَى حَكِيمٍ.
[VANDYKE | AR | OT | Psalms | Chapter 58 | Verse 6] اَللَّهُمَّ، كَسِّرْ أَسْنَانَهُمْ فِي أَفْوَاهِهِمِ. ٱهْشِمْ أَضْرَاسَ ٱلْأَشْبَالِ يَارَبُّ.
[VANDYKE | AR | OT | Psalms | Chapter 58 | Verse 7] لِيَذُوبُوا كَٱلْمَاءِ، لِيَذْهَبُوا. إِذَا فَوَّقَ سِهَامَهُ فَلْتَنْبُ.
[VANDYKE | AR | OT | Psalms | Chapter 58 | Verse 8] كَمَا يَذُوبُ ٱلْحَلَزُونُ مَاشِيًا. مِثْلَ سِقْطِ ٱلْمَرْأَةِ لَا يُعَايِنُوا ٱلشَّمْسَ.
[VANDYKE | AR | OT | Psalms | Chapter 58 | Verse 9] قَبْلَ أَنْ تَشْعُرَ قُدُورُكُمْ بِٱلشَّوْكِ، نِيئًا أَوْ مَحْرُوقًا، يَجْرُفُهُمْ.
[VANDYKE | AR | OT | Psalms | Chapter 58 | Verse 10] يَفْرَحُ ٱلصِّدِّيقُ إِذَا رَأَى ٱلنَّقْمَةَ. يَغْسِلُ خُطُواتِهِ بِدَمِ ٱلشِّرِّيرِ.
[VANDYKE | AR | OT | Psalms | Chapter 58 | Verse 11] وَيَقُولُ ٱلْإِنْسَانُ: «إِنَّ لِلصِّدِّيقِ ثَمَرًا. إِنَّهُ يُوجَدُ إِلَهٌ قَاضٍ فِي ٱلْأَرْضِ»
