[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 1] يَارَبُّ، لَا تُوَبِّخْنِي بِسَخَطِكَ، وَلَا تُؤَدِّبْنِي بِغَيْظِكَ،
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 2] لِأَنَّ سِهَامَكَ قَدِ ٱنْتَشَبَتْ فِيَّ، وَنَزَلَتْ عَلَيَّ يَدُكَ.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 3] لَيْسَتْ فِي جَسَدِي صِحَّةٌ مِنْ جِهَةِ غَضَبِكَ. لَيْسَتْ فِي عِظَامِي سَلَامَةٌ مِنْ جِهَةِ خَطِيَّتِي.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 4] لِأَنَّ آثَامِي قَدْ طَمَتْ فَوْقَ رَأْسِي. كَحِمْلٍ ثَقِيلٍ أَثْقَلَ مِمَّا أَحْتَمِلُ.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 5] قَدْ أَنْتَنَتْ، قَاحَتْ حُبُرُ ضَرْبِي مِنْ جِهَةِ حَمَاقَتِي.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 6] لَوِيتُ. ٱنْحَنَيْتُ إِلَى ٱلْغَايَةِ. ٱلْيَوْمَ كُلَّهُ ذَهَبْتُ حَزِينًا.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 7] لِأَنَّ خَاصِرَتَيَّ قَدِ ٱمْتَلَأَتَا ٱحْتِرَاقًا، وَلَيْسَتْ فِي جَسَدِي صِحَّةٌ.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 8] خَدِرْتُ وَٱنْسَحَقْتُ إِلَى ٱلْغَايَةِ. كُنْتُ أَئِنُّ مِنْ زَفِيرِ قَلْبِي.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 9] يَارَبُّ، أَمَامَكَ كُلُّ تَأَوُّهِي، وَتَنَهُّدِي لَيْسَ بِمَسْتُورٍ عَنْكَ.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 10] قَلْبِي خَافِقٌ. قُوَّتِي فَارَقَتْنِي، وَنُورُ عَيْنِي أَيْضًا لَيْسَ مَعِي.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 11] أَحِبَّائِي وَأَصْحَابِي يَقِفُونَ تُجَاهَ ضَرْبَتِي، وَأَقَارِبِي وَقَفُوا بَعِيدًا.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 12] وَطَالِبُو نَفْسِي نَصَبُوا شَرَكًا، وَٱلْمُلْتَمِسُونَ لِيَ ٱلشَّرَّ تَكَلَّمُوا بِٱلْمَفَاسِدِ، وَٱلْيَوْمَ كُلَّهُ يَلْهَجُونَ بِٱلْغِشِّ.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 13] وَأَمَّا أَنَا فَكَأَصَمَّ لَا أَسْمَعُ. وَكَأَبْكَمَ لَا يَفْتَحُ فَاهُ.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 14] وَأَكُونُ مِثْلَ إِنْسَانٍلَا يَسْمَعُ، وَلَيْسَ فِي فَمِهِ حُجَّةٌ.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 15] لِأَنِّي لَكَ يَارَبُّ صَبَرْتُ، أَنْتَ تَسْتَجِيبُ يَارَبُّ إِلَهِي.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 16] لِأَنِّي قُلْتُ: «لِئَلَّا يَشْمَتُوا بِي». عِنْدَمَا زَلَّتْ قَدَمِي تَعَظَّمُوا عَلَيَّ.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 17] لِأَنِّي مُوشِكٌ أَنْ أَظْلَعَ، وَوَجَعِي مُقَابِلِي دَائِمًا.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 18] لِأَنَّنِي أُخْبِرُ بِإِثْمِي، وَأَغْتَمُّ مِنْ خَطِيَّتِي.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 19] وَأَمَّا أَعْدَائِي فَأَحْيَاءٌ. عَظُمُوا. وَٱلَّذِينَ يُبْغِضُونَنِي ظُلْمًا كَثُرُوا.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 20] وَٱلْمُجَازُونَ عَنِ ٱلْخَيْرِ بِشَرٍّ، يُقَاوِمُونَنِي لِأَجْلِ ٱتِّبَاعِي ٱلصَّلَاحَ.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 21] لَا تَتْرُكْنِي يَارَبُّ. يَاإِلَهِي، لَا تَبْعُدْ عَنِّي.
[VANDYKE | AR | OT | Psalms | Chapter 38 | Verse 22] أَسْرِعْ إِلَى مَعُونَتِي يَارَبُّ يَا خَلَاصِي.
