[VANDYKE | AR | OT | Psalms | Chapter 95 | Verse 1] هَلُمَّ نُرَنِّمُ لِلرَّبِّ، نَهْتِفُ لِصَخْرَةِ خَلَاصِنَا.
[VANDYKE | AR | OT | Psalms | Chapter 95 | Verse 2] نَتَقَدَّمُ أَمَامَهُ بِحَمْدٍ، وَبِتَرْنِيمَاتٍ نَهْتِفُ لَهُ.
[VANDYKE | AR | OT | Psalms | Chapter 95 | Verse 3] لِأَنَّ ٱلرَّبَّ إِلَهٌ عَظِيمٌ، مَلِكٌ كَبِيرٌ عَلَى كُلِّ ٱلْآلِهَةِ.
[VANDYKE | AR | OT | Psalms | Chapter 95 | Verse 4] ٱلَّذِي بِيَدِهِ مَقَاصِيرُ ٱلْأَرْضِ، وَخَزَائِنُ ٱلْجِبَالِ لَهُ.
[VANDYKE | AR | OT | Psalms | Chapter 95 | Verse 5] ٱلَّذِي لَهُ ٱلْبَحْرُ وَهُوَ صَنَعَهُ، وَيَدَاهُ سَبَكَتَا ٱلْيَابِسَةَ.
[VANDYKE | AR | OT | Psalms | Chapter 95 | Verse 6] هَلُمَّ نَسْجُدُ وَنَرْكَعُ وَنَجْثُو أَمَامَ ٱلرَّبِّ خَالِقِنَا،
[VANDYKE | AR | OT | Psalms | Chapter 95 | Verse 7] لِأَنَّهُ هُوَ إِلَهُنَا، وَنَحْنُ شَعْبُ مَرْعَاهُ وَغَنَمُ يَدِهِ. ٱلْيَوْمَ إِنْ سَمِعْتُمْ صَوْتَهُ،
[VANDYKE | AR | OT | Psalms | Chapter 95 | Verse 8] فَلَا تُقَسُّوا قُلُوبَكُمْ، كَمَا فِي مَرِيبَةَ، مِثْلَ يَوْمِ مَسَّةَ فِي ٱلْبَرِّيَّةِ،
[VANDYKE | AR | OT | Psalms | Chapter 95 | Verse 9] حَيْثُ جَرَّبَنِي آبَاؤُكُمُ. ٱخْتَبَرُونِي. أَبْصَرُوا أَيْضًا فِعْلِي.
[VANDYKE | AR | OT | Psalms | Chapter 95 | Verse 10] أَرْبَعِينَ سَنَةً مَقَتُّ ذَلِكَ ٱلْجِيلَ، وَقُلْتُ: «هُمْ شَعْبٌ ضَالٌّ قَلْبُهُمْ، وَهُمْ لَمْ يَعْرِفُوا سُبُلِي».
[VANDYKE | AR | OT | Psalms | Chapter 95 | Verse 11] فَأَقْسَمْتُ فِي غَضَبِي: «لَا يَدْخُلُونَ رَاحَتِي».
