[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 1] بَارِكِي يَا نَفْسِي ٱلرَّبَّ، وَكُلُّ مَا فِي بَاطِنِي لِيُبَارِكِ ٱسْمَهُ ٱلْقُدُّوسَ.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 2] بَارِكِي يَا نَفْسِي ٱلرَّبَّ، وَلَا تَنْسَيْ كُلَّ حَسَنَاتِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 3] ٱلَّذِي يَغْفِرُ جَمِيعَ ذُنُوبِكِ. ٱلَّذِي يَشْفِي كُلَّ أَمْرَاضِكِ.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 4] ٱلَّذِي يَفْدِي مِنَ ٱلْحُفْرَةِ حَيَاتَكِ. ٱلَّذِي يُكَلِّلُكِ بِٱلرَّحْمَةِ وَٱلرَّأْفَةِ.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 5] ٱلَّذِي يُشْبِعُ بِٱلْخَيْرِ عُمْرَكِ، فَيَتَجَدَّدُ مِثْلَ ٱلنَّسْرِ شَبَابُكِ.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 6] اَلرَّبُّ مُجْرِي ٱلْعَدْلِ وَٱلْقَضَاءِ لِجَمِيعِ ٱلْمَظْلُومِينَ.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 7] عَرَّفَ مُوسَى طُرُقَهُ، وَبَنِي إِسْرَائِيلَ أَفْعَالَهُ.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 8] ٱلرَّبُّ رَحِيمٌ وَرَؤُوفٌ، طَوِيلُ ٱلرُّوحِ وَكَثِيرُ ٱلرَّحْمَةِ.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 9] لَا يُحَاكِمُ إِلَى ٱلْأَبَدِ، وَلَا يَحْقِدُ إِلَى ٱلدَّهْرِ.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 10] لَمْ يَصْنَعْ مَعَنَا حَسَبَ خَطَايَانَا، وَلَمْ يُجَازِنَا حَسَبَ آثَامِنَا.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 11] لِأَنَّهُ مِثْلُ ٱرْتِفَاعِ ٱلسَّمَاوَاتِ فَوْقَ ٱلْأَرْضِ قَوِيَتْ رَحْمَتُهُ عَلَى خَائِفِيهِ.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 12] كَبُعْدِ ٱلْمَشْرِقِ مِنَ ٱلْمَغْرِبِ أَبْعَدَ عَنَّا مَعَاصِيَنَا.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 13] كَمَا يَتَرَأَفُ ٱلْأَبُ عَلَى ٱلْبَنِينَ يَتَرَأَفُ ٱلرَّبُّ عَلَى خَائِفِيهِ.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 14] لِأَنَّهُ يَعْرِفُ جِبْلَتَنَا. يَذْكُرُ أَنَّنَا تُرَابٌ نَحْنُ.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 15] ٱلْإِنْسَانُ مِثْلُ ٱلْعُشْبِ أَيَّامُهُ. كَزَهَرِ ٱلْحَقْلِ كَذَلِكَ يُزْهِرُ.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 16] لِأَنَّ رِيحًا تَعْبُرُ عَلَيْهِ فَلَا يَكُونُ، وَلَا يَعْرِفُهُ مَوْضِعُهُ بَعْدُ.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 17] أَمَّا رَحْمَةُ ٱلرَّبِّ فَإِلَى ٱلدَّهْرِ وَٱلْأَبَدِ عَلَى خَائِفِيهِ، وَعَدْلُهُ عَلَى بَنِي ٱلْبَنِينَ،
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 18] لِحَافِظِي عَهْدِهِ وَذَاكِرِي وَصَايَاهُ لِيَعْمَلُوهَا.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 19] اَلرَّبُّ فِي ٱلسَّمَاوَاتِ ثَبَّتَ كُرْسِيَّهُ، وَمَمْلَكَتُهُ عَلَى ٱلْكُلِّ تَسُودُ.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 20] بَارِكُوا ٱلرَّبَّ يَا مَلَائِكَتَهُ ٱلْمُقْتَدِرِينَ قُوَّةً، ٱلْفَاعِلِينَ أَمْرَهُ عِنْدَ سَمَاعِ صَوْتِ كَلَامِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 21] بَارِكُوا ٱلرَّبَّ يَا جَمِيعَ جُنُودِهِ، خُدَّامَهُ ٱلْعَامِلِينَ مَرْضَاتَهُ.
[VANDYKE | AR | OT | Psalms | Chapter 103 | Verse 22] بَارِكُوا ٱلرَّبَّ يَا جَمِيعَ أَعْمَالِهِ، فِي كُلِّ مَوَاضِعِ سُلْطَانِهِ. بَارِكِي يَا نَفْسِيَ ٱلرَّبَّ.
