[VANDYKE | AR | OT | Psalms | Chapter 91 | Verse 1] اَلسَّاكِنُ فِي سِتْرِ ٱلْعَلِيِّ، فِي ظِلِّ ٱلْقَدِيرِ يَبِيتُ.
[VANDYKE | AR | OT | Psalms | Chapter 91 | Verse 2] أَقُولُ لِلرَّبِّ: «مَلْجَإِي وَحِصْنِي. إِلَهِي فَأَتَّكِلُ عَلَيْهِ».
[VANDYKE | AR | OT | Psalms | Chapter 91 | Verse 3] لِأَنَّهُ يُنَجِّيكَ مِنْ فَخِّ ٱلصَّيَّادِ وَمِنَ ٱلْوَبَإِ ٱلْخَطِرِ.
[VANDYKE | AR | OT | Psalms | Chapter 91 | Verse 4] بِخَوَافِيهِ يُظَلِّلُكَ، وَتَحْتَ أَجْنِحَتِهِ تَحْتَمِي. تُرْسٌ وَمِجَنٌّ حَقُّهُ.
[VANDYKE | AR | OT | Psalms | Chapter 91 | Verse 5] لَا تَخْشَى مِنْ خَوْفِ ٱللَّيْلِ، وَلَا مِنْ سَهْمٍ يَطِيرُ فِي ٱلنَّهَارِ،
[VANDYKE | AR | OT | Psalms | Chapter 91 | Verse 6] وَلَا مِنْ وَبَإٍ يَسْلُكُ فِي ٱلدُّجَى، وَلَا مِنْ هَلَاكٍ يُفْسِدُ فِي ٱلظَّهِيرَةِ.
[VANDYKE | AR | OT | Psalms | Chapter 91 | Verse 7] يَسْقُطُ عَنْ جَانِبِكَ أَلْفٌ، وَرِبْوَاتٌ عَنْ يَمِينِكَ. إِلَيْكَ لَا يَقْرُبُ.
[VANDYKE | AR | OT | Psalms | Chapter 91 | Verse 8] إِنَّمَا بِعَيْنَيْكَ تَنْظُرُ وَتَرَى مُجَازَاةَ ٱلْأَشْرَارِ.
[VANDYKE | AR | OT | Psalms | Chapter 91 | Verse 9] لِأَنَّكَ قُلْتَ: «أَنْتَ يَارَبُّ مَلْجَإِي». جَعَلْتَ ٱلْعَلِيَّ مَسْكَنَكَ،
[VANDYKE | AR | OT | Psalms | Chapter 91 | Verse 10] لَا يُلَاقِيكَ شَرٌّ، وَلَا تَدْنُو ضَرْبَةٌ مِنْ خَيْمَتِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 91 | Verse 11] لِأَنَّهُ يُوصِي مَلَائِكَتَهُ بِكَ لِكَيْ يَحْفَظُوكَ فِي كُلِّ طُرُقِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 91 | Verse 12] عَلَى ٱلْأَيْدِي يَحْمِلُونَكَ لِئَلَّا تَصْدِمَ بِحَجَرٍ رِجْلَكَ.
[VANDYKE | AR | OT | Psalms | Chapter 91 | Verse 13] عَلَى ٱلْأَسَدِ وَٱلصِّلِّ تَطَأُ. ٱلشِّبْلَ وَٱلثُّعْبَانَ تَدُوسُ.
[VANDYKE | AR | OT | Psalms | Chapter 91 | Verse 14] «لِأَنَّهُ تَعَلَّقَ بِي أُنَجِّيهِ. أُرَفِّعُهُ لِأَنَّهُ عَرَفَ ٱسْمِي.
[VANDYKE | AR | OT | Psalms | Chapter 91 | Verse 15] يَدْعُونِي فَأَسْتَجِيبُ لَهُ، مَعَهُ أَنَا فِي ٱلضِّيقِ، أُنْقِذُهُ وَأُمَجِّدُهُ.
[VANDYKE | AR | OT | Psalms | Chapter 91 | Verse 16] مِنْ طُولِ ٱلْأَيَّامِ أُشْبِعُهُ، وَأُرِيهِ خَلَاصِي».
