[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 1] اِهْتِفُوا أَيُّهَا ٱلصِّدِّيقُونَ بِٱلرَّبِّ. بِٱلْمُسْتَقِيمِينَ يَلِيقُ ٱلتَّسْبِيحُ.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 2] ٱحْمَدُوا ٱلرَّبَّ بِٱلْعُودِ. بِرَبَابَةٍ ذَاتِ عَشَرَةِ أَوْتَارٍ رَنِّمُوا لَهُ.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 3] غَنُّوا لَهُ أُغْنِيَةً جَدِيدَةً. أَحْسِنُوا ٱلْعَزْفَ بِهُتَافٍ.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 4] لِأَنَّ كَلِمَةَ ٱلرَّبِّ مُسْتَقِيمَةٌ، وَكُلَّ صُنْعِهِ بِٱلْأَمَانَةِ.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 5] يُحِبُّ ٱلْبِرَّ وَٱلْعَدْلَ. ٱمْتَلَأَتِ ٱلْأَرْضُ مِنْ رَحْمَةِ ٱلرَّبِّ.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 6] بِكَلِمَةِ ٱلرَّبِّ صُنِعَتِ ٱلسَّمَاوَاتُ، وَبِنَسَمَةِ فِيهِ كُلُّ جُنُودِهَا.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 7] يَجْمَعُ كَنَدٍّ أَمْوَاهَ ٱلْيَمِّ. يَجْعَلُ ٱللُّجَجَ فِي أَهْرَاءٍ.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 8] لِتَخْشَ ٱلرَّبَّ كُلُّ ٱلْأَرْضِ، وَمِنْهُ لِيَخَفْ كُلُّ سُكَّانِ ٱلْمَسْكُونَةِ.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 9] لِأَنَّهُ قَالَ فَكَانَ. هُوَ أَمَرَ فَصَارَ.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 10] ٱلرَّبُّ أَبْطَلَ مُؤَامَرَةَ ٱلْأُمَمِ. لَاشَى أَفْكَارَ ٱلشُّعُوبِ.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 11] أَمَّا مُؤَامَرَةُ ٱلرَّبِّ فَإِلَى ٱلْأَبَدِ تَثْبُتُ. أَفْكَارُ قَلْبِهِ إِلَى دَوْرٍ فَدَوْرٍ.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 12] طُوبَى لِلْأُمَّةِ ٱلَّتِي ٱلرَّبُّ إِلَهُهَا، ٱلشَّعْبِ ٱلَّذِي ٱخْتَارَهُ مِيرَاثًا لِنَفْسِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 13] مِنَ ٱلسَّمَاوَاتِ نَظَرَ ٱلرَّبُّ. رَأَى جَمِيعَ بَنِي ٱلْبَشَرِ.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 14] مِنْ مَكَانِ سُكْنَاهُ تَطَلَّعَ إِلَى جَمِيعِ سُكَّانِ ٱلْأَرْضِ.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 15] ٱلْمُصَوِّرُ قُلُوبَهُمْ جَمِيعًا، ٱلْمُنْتَبِهُ إِلَى كُلِّ أَعْمَالِهِمْ.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 16] لَنْ يَخْلُصَ ٱلْمَلِكُ بِكِثْرَةِ ٱلْجَيْشِ. ٱلْجَبَّارُ لَا يُنْقَذُ بِعِظَمِ ٱلْقُوَّةِ.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 17] بَاطِلٌ هُوَ ٱلْفَرَسُ لِأَجْلِ ٱلْخَلَاصِ، وَبِشِدَّةِ قُوَّتِهِ لَا يُنَجِّي.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 18] هُوَذَا عَيْنُ ٱلرَّبِّ عَلَى خَائِفِيهِ ٱلرَّاجِينَ رَحْمَتَهُ،
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 19] لِيُنَجِّيَ مِنَ ٱلْمَوْتِ أَنْفُسَهُمْ، وَلِيَسْتَحْيِيَهُمْ فِي ٱلْجُوعِ.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 20] أَنْفُسُنَا ٱنْتَظَرَتِ ٱلرَّبَّ. مَعُونَتُنَا وَتُرْسُنَا هُوَ.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 21] لِأَنَّهُ بِهِ تَفْرَحُ قُلُوبُنَا، لِأَنَّنَا عَلَى ٱسْمِهِ ٱلْقُدُّوسِ ٱتَّكَلْنَا.
[VANDYKE | AR | OT | Psalms | Chapter 33 | Verse 22] لِتَكُنْ يَارَبُّ رَحْمَتُكَ عَلَيْنَا حَسْبَمَا ٱنْتَظَرْنَاكَ.
