[VANDYKE | AR | OT | Psalms | Chapter 85 | Verse 1] رَضِيتَ يَارَبُّ عَلَى أَرْضِكَ. أَرْجَعْتَ سَبْيَ يَعْقُوبَ.
[VANDYKE | AR | OT | Psalms | Chapter 85 | Verse 2] غَفَرْتَ إِثْمَ شَعْبِكَ. سَتَرْتَ كُلَّ خَطِيَّتِهِمْ. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 85 | Verse 3] حَجَزْتَ كُلَّ رِجْزِكَ. رَجَعْتَ عَنْ حُمُوِّ غَضَبِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 85 | Verse 4] أَرْجِعْنَا يَا إِلَهَ خَلَاصِنَا، وَٱنْفِ غَضَبَكَ عَنَّا.
[VANDYKE | AR | OT | Psalms | Chapter 85 | Verse 5] هَلْ إِلَى ٱلدَّهْرِ تَسْخَطُ عَلَيْنَا؟ هَلْ تُطِيلُ غَضَبَكَ إِلَى دَوْرٍ فَدَوْرٍ؟
[VANDYKE | AR | OT | Psalms | Chapter 85 | Verse 6] أَلَا تَعُودُ أَنْتَ فَتُحْيِينَا، فَيَفْرَحُ بِكَ شَعْبُكَ؟
[VANDYKE | AR | OT | Psalms | Chapter 85 | Verse 7] أَرِنَا يَارَبُّ رَحْمَتَكَ، وَأَعْطِنَا خَلَاصَكَ.
[VANDYKE | AR | OT | Psalms | Chapter 85 | Verse 8] إِنِّي أَسْمَعُ مَا يَتَكَلَّمُ بِهِ ٱللهُ ٱلرَّبُّ، لِأَنَّهُ يَتَكَلَّمُ بِٱلسَّلَامِ لِشَعْبِهِ وَلِأَتْقِيَائِهِ، فَلَا يَرْجِعُنَّ إِلَى ٱلْحَمَاقَةِ.
[VANDYKE | AR | OT | Psalms | Chapter 85 | Verse 9] لِأَنَّ خَلَاصَهُ قَرِيبٌ مِنْ خَائِفِيهِ، لِيَسْكُنَ ٱلْمَجْدُ فِي أَرْضِنَا.
[VANDYKE | AR | OT | Psalms | Chapter 85 | Verse 10] ٱلرَّحْمَةُ وَٱلْحَقُّ ٱلْتَقَيَا. ٱلْبِرُّ وَٱلسَّلَامُ تَلَاثَمَا.
[VANDYKE | AR | OT | Psalms | Chapter 85 | Verse 11] ٱلْحَقُّ مِنَ ٱلْأَرْضِ يَنْبُتُ، وَٱلْبِرُّ مِنَ ٱلسَّمَاءِ يَطَّلِعُ.
[VANDYKE | AR | OT | Psalms | Chapter 85 | Verse 12] أَيْضًا ٱلرَّبُّ يُعْطِي ٱلْخَيْرَ، وَأَرْضُنَا تُعْطِي غَلَّتَهَا.
[VANDYKE | AR | OT | Psalms | Chapter 85 | Verse 13] ٱلْبِرُّ قُدَّامَهُ يَسْلُكُ، وَيَطَأُ فِي طَرِيقِ خَطَوَاتِهِ.
