[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 1] يَا إِلَهَ تَسْبِيحِي لَا تَسْكُتْ،
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 2] لِأَنَّهُ قَدِ ٱنْفَتَحَ عَلَيَّ فَمُ ٱلشِّرِّيرِ وَفَمُ ٱلْغِشِّ. تَكَلَّمُوا مَعِي بِلِسَانِ كِذْبٍ،
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 3] بِكَلَامِ بُغْضٍ أَحَاطُوا بِي، وَقَاتَلُونِي بِلَا سَبَبٍ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 4] بَدَلَ مَحَبَّتِي يُخَاصِمُونَنِي. أَمَّا أَنَا فَصَلَاةٌ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 5] وَضَعُوا عَلَيَّ شَرًّا بَدَلَ خَيْرٍ، وَبُغْضًا بَدَلَ حُبِّي.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 6] فَأَقِمْ أَنْتَ عَلَيْهِ شِرِّيرًا، وَلْيَقِفْ شَيْطَانٌ عَنْ يَمِينِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 7] إِذَا حُوكِمَ فَلْيَخْرُجْ مُذْنِبًا، وَصَلَاتُهُ فَلْتَكُنْ خَطِيَّةً.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 8] لِتَكُنْ أَيَّامُهُ قَلِيلَةً، وَوَظِيفَتُهُ لِيَأْخُذْهَا آخَرُ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 9] لِيَكُنْ بَنُوهُ أَيْتَامًا وَٱمْرَأَتُهُ أَرْمَلَةً.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 10] لِيَتِهْ بَنُوهُ تَيَهَانًا وَيَسْتَعْطُوا، وَيَلْتَمِسُوا خُبْزًا مِنْ خِرَبِهِمْ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 11] لِيَصْطَدِ ٱلْمُرَابِي كُلَّ مَا لَهُ، وَلْيَنْهَبِ ٱلْغُرَبَاءُ تَعَبَهُ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 12] لَا يَكُنْ لَهُ بَاسِطٌ رَحْمَةً، وَلَا يَكُنْ مُتَرَأِفٌ عَلَى يَتَامَاهُ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 13] لِتَنْقَرِضْ ذُرِّيَّتُهُ. فِي ٱلْجِيلِ ٱلْقَادِمِ لِيُمْحَ ٱسْمُهُمْ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 14] لِيُذْكَرْ إِثْمُ آبَائِهِ لَدَى ٱلرَّبِّ، وَلَا تُمْحَ خَطِيَّةُ أُمِّهِ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 15] لِتَكُنْ أَمَامَ ٱلرَّبِّ دَائِمًا، وَلْيَقْرِضْ مِنَ ٱلْأَرْضِ ذِكْرَهُمْ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 16] مِنْ أَجْلِ أَنَّهُ لَمْ يَذْكُرْ أَنْ يَصْنَعَ رَحْمَةً، بَلْ طَرَدَ إِنْسَانًا مِسْكِينًا وَفَقِيرًا وَٱلْمُنْسَحِقَ ٱلْقَلْبِ لِيُمِيتَهُ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 17] وَأَحَبَّ ٱللَّعْنَةَ فَأَتَتْهُ، وَلَمْ يُسَرَّ بِٱلْبَرَكَةِ فَتَبَاعَدَتْ عَنْهُ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 18] وَلَبِسَ ٱللَّعْنَةَ مِثْلَ ثَوْبِهِ، فَدَخَلَتْ كَمِيَاهٍ فِي حَشَاهُ وَكَزَيْتٍ فِي عِظَامِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 19] لِتَكُنْ لَهُ كَثَوْبٍ يَتَعَطَّفُ بِهِ، وَكَمِنْطَقَةٍ يَتَنَطَّقُ بِهَا دَائِمًا.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 20] هَذِهِ أُجْرَةُ مُبْغِضِيَّ مِنْ عِنْدِ ٱلرَّبِّ، وَأُجْرَةُ ٱلْمُتَكَلِّمِينَ شَرًّا عَلَى نَفْسِي.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 21] أَمَّا أَنْتَ يَارَبُّ ٱلسَّيِّدُ فَٱصْنَعْ مَعِي مِنْ أَجْلِ ٱسْمِكَ. لِأَنَّ رَحْمَتَكَ طَيِّبَةٌ نَجِّنِي.
