[VANDYKE | AR | OT | Psalms | Chapter 86 | Verse 1] أَمِلْ يَارَبُّ أُذُنَكَ. ٱسْتَجِبْ لِي، لِأَنِّي مِسْكِينٌ وَبَائِسٌ أَنَا.
[VANDYKE | AR | OT | Psalms | Chapter 86 | Verse 2] ٱحْفَظْ نَفْسِي لِأَنِّي تَقِيٌّ. يَا إِلَهِي، خَلِّصْ أَنْتَ عَبْدَكَ ٱلْمُتَّكِلَ عَلَيْكَ.
[VANDYKE | AR | OT | Psalms | Chapter 86 | Verse 3] ٱرْحَمْنِي يَارَبُّ، لِأَنَّنِي إِلَيْكَ أَصْرُخُ ٱلْيَوْمَ كُلَّهُ.
[VANDYKE | AR | OT | Psalms | Chapter 86 | Verse 4] فَرِّحْ نَفْسَ عَبْدِكَ، لِأَنَّنِي إِلَيْكَ يَارَبُّ أَرْفَعُ نَفْسِي.
[VANDYKE | AR | OT | Psalms | Chapter 86 | Verse 5] لِأَنَّكَ أَنْتَ يَارَبُّ صَالِحٌ وَغَفُورٌ، وَكَثِيرُ ٱلرَّحْمَةِ لِكُلِّ ٱلدَّاعِينَ إِلَيْكَ.
[VANDYKE | AR | OT | Psalms | Chapter 86 | Verse 6] اِصْغَ يَارَبُّ إِلَى صَلَاتِي، وَأَنْصِتْ إِلَى صَوْتِ تَضَرُّعَاتِي.
[VANDYKE | AR | OT | Psalms | Chapter 86 | Verse 7] فِي يَوْمِ ضِيْقِي أَدْعُوكَ، لِأَنَّكَ تَسْتَجِيبُ لِي.
[VANDYKE | AR | OT | Psalms | Chapter 86 | Verse 8] لَا مِثْلَ لَكَ بَيْنَ ٱلْآلِهَةِ يَارَبُّ، وَلَا مِثْلَ أَعْمَالِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 86 | Verse 9] كُلُّ ٱلْأُمَمِ ٱلَّذِينَ صَنَعْتَهُمْ يَأْتُونَ وَيَسْجُدُونَ أَمَامَكَ يَارَبُّ، وَيُمَجِّدُونَ ٱسْمَكَ.
[VANDYKE | AR | OT | Psalms | Chapter 86 | Verse 10] لِأَنَّكَ عَظِيمٌ أَنْتَ وَصَانِعٌ عَجَائِبَ. أَنْتَ ٱللهُ وَحْدَكَ.
[VANDYKE | AR | OT | Psalms | Chapter 86 | Verse 11] عَلِّمْنِي يَارَبُّ طَرِيقَكَ. أَسْلُكْ فِي حَقِّكَ. وَحِّدْ قَلْبِي لِخَوْفِ ٱسْمِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 86 | Verse 12] أَحْمَدُكَ يَارَبُّ إِلَهِي مِنْ كُلِّ قَلْبِي، وَأُمَجِّدُ ٱسْمَكَ إِلَى ٱلدَّهْرِ.
[VANDYKE | AR | OT | Psalms | Chapter 86 | Verse 13] لِأَنَّ رَحْمَتَكَ عَظِيمَةٌ نَحْوِي، وَقَدْ نَجَّيْتَ نَفْسِي مِنَ ٱلْهَاوِيَةِ ٱلسُّفْلَى.
[VANDYKE | AR | OT | Psalms | Chapter 86 | Verse 14] اَللَّهُمَّ، ٱلْمُتَكَبِّرُونَ قَدْ قَامُوا عَلَيَّ، وَجَمَاعَةُ ٱلْعُتَاةِ طَلَبُوا نَفْسِي، وَلَمْ يَجْعَلُوكَ أَمَامَهُمْ.
[VANDYKE | AR | OT | Psalms | Chapter 86 | Verse 15] أَمَّا أَنْتَ يَارَبُّ فَإِلَهٌ رَحِيمٌ وَرَؤُوفٌ، طَوِيلُ ٱلرُّوحِ وَكَثِيرُ ٱلرَّحْمَةِ وَٱلْحَقِّ.
[VANDYKE | AR | OT | Psalms | Chapter 86 | Verse 16] ٱلْتَفِتْ إِلَيَّ وَٱرْحَمْنِي. أَعْطِ عَبْدَكَ قُوَّتَكَ، وَخَلِّصِ ٱبْنَ أَمَتِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 86 | Verse 17] ٱصْنَعْ مَعِي آيَةً لِلْخَيْرِ، فَيَرَى ذَلِكَ مُبْغِضِيَّ فَيَخْزَوْا، لِأَنَّكَ أَنْتَ يَارَبُّ أَعَنْتَنِي وَعَزَّيْتَنِي.
