[VANDYKE | AR | OT | Psalms | Chapter 56 | Verse 1] اِرْحَمْنِي يَا ٱللهُ لِأَنَّ ٱلْإِنْسَانَ يَتَهَمَّمُنِي، وَٱلْيَوْمَ كُلَّهُ مُحَارِبًا يُضَايِقُنِي.
[VANDYKE | AR | OT | Psalms | Chapter 56 | Verse 2] تَهَمَّمَنِي أَعْدَائِي ٱلْيَوْمَ كُلَّهُ، لِأَنَّ كَثِيرِينَ يُقَاوِمُونَنِي بِكِبْرِيَاءَ.
[VANDYKE | AR | OT | Psalms | Chapter 56 | Verse 3] فِي يَوْمِ خَوْفِي، أَنَا عَلَيْكَ أَتَّكِلُ.
[VANDYKE | AR | OT | Psalms | Chapter 56 | Verse 4] ٱللهُ أَفْتَخِرُ بِكَلَامِهِ. عَلَى ٱللهِ تَوَكَّلْتُ فَلَا أَخَافُ. مَاذَا يَصْنَعُهُ بِي ٱلْبَشَرُ؟
[VANDYKE | AR | OT | Psalms | Chapter 56 | Verse 5] ٱلْيَوْمَ كُلَّهُ يُحَرِّفُونَ كَلَامِي. عَلَيَّ كُلُّ أَفْكَارِهِمْ بِٱلشَّرِّ.
[VANDYKE | AR | OT | Psalms | Chapter 56 | Verse 6] يَجْتَمِعُونَ، يَخْتَفُونَ، يُلَاحِظُونَ خُطُواتِي عِنْدَمَا تَرَصَّدُوا نَفْسِي.
[VANDYKE | AR | OT | Psalms | Chapter 56 | Verse 7] عَلَى إِثْمِهِمْ جَازِهِمْ. بِغَضَبٍ أَخْضِعِٱلشُّعُوبَ يَا ٱللهُ.
[VANDYKE | AR | OT | Psalms | Chapter 56 | Verse 8] تَيَهَانِي رَاقَبْتَ. ٱجْعَلْ أَنْتَ دُمُوعِي فِي زِقِّكَ. أَمَا هِيَ فِي سِفْرِكَ؟
[VANDYKE | AR | OT | Psalms | Chapter 56 | Verse 9] حِينَئِذٍ تَرْتَدُّ أَعْدَائِي إِلَى ٱلْوَرَاءِ فِي يَوْمٍ أَدْعُوكَ فِيهِ. هَذَا قَدْ عَلِمْتُهُ لِأَنَّ ٱللهَ لِي.
[VANDYKE | AR | OT | Psalms | Chapter 56 | Verse 10] ٱللهُ أَفْتَخِرُ بِكَلَامِهِ. ٱلرَّبُّ أَفْتَخِرُ بِكَلَامِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 56 | Verse 11] عَلَى ٱللهِ تَوَكَّلْتُ فَلَا أَخَافُ. مَاذَا يَصْنَعُهُ بِي ٱلْإِنْسَانُ؟
[VANDYKE | AR | OT | Psalms | Chapter 56 | Verse 12] اَللَّهُمَّ، عَلَيَّ نُذُورُكَ. أُوفِي ذَبَائِحَ شُكْرٍ لَكَ.
[VANDYKE | AR | OT | Psalms | Chapter 56 | Verse 13] لِأَنَّكَ نَجَّيْتَ نَفْسِي مِنَ ٱلْمَوْتِ. نَعَمْ، وَرِجْلَيَّ مِنَ ٱلزَّلَقِ، لِكَيْ أَسِيرَ قُدَّامَ ٱللهِ فِي نُورِ ٱلْأَحْيَاءِ.
