[VANDYKE | AR | OT | Psalms | Chapter 92 | Verse 1] حَسَنٌ هُوَ ٱلْحَمْدُ لِلرَّبِّ وَٱلتَّرَنُّمُ لِٱسْمِكَ أَيُّهَا ٱلْعَلِيُّ.
[VANDYKE | AR | OT | Psalms | Chapter 92 | Verse 2] أَنْ يُخْبَرَ بِرَحْمَتِكَ فِي ٱلْغَدَاةِ، وَأَمَانَتِكَ كُلَّ لَيْلَةٍ،
[VANDYKE | AR | OT | Psalms | Chapter 92 | Verse 3] عَلَى ذَاتِ عَشَرَةِ أَوْتَارٍ وَعَلَى ٱلرَّبَابِ، عَلَى عَزْفِ ٱلْعُودِ.
[VANDYKE | AR | OT | Psalms | Chapter 92 | Verse 4] لِأَنَّكَ فَرَّحْتَنِي يَارَبُّ بِصَنَائِعِكَ. بِأَعْمَالِ يَدَيْكَ أَبْتَهِجُ.
[VANDYKE | AR | OT | Psalms | Chapter 92 | Verse 5] مَا أَعْظَمَ أَعْمَالَكَ يَارَبُّ! وَأَعْمَقَ جِدًّا أَفْكَارَكَ!
[VANDYKE | AR | OT | Psalms | Chapter 92 | Verse 6] ٱلرَّجُلُ ٱلْبَلِيدُ لَا يَعْرِفُ، وَٱلْجَاهِلُ لَا يَفْهَمُ هَذَا.
[VANDYKE | AR | OT | Psalms | Chapter 92 | Verse 7] إِذَا زَهَا ٱلْأَشْرَارُ كَٱلْعُشْبِ، وَأَزْهَرَ كُلُّ فَاعِلِي ٱلْإِثْمِ، فَلِكَيْ يُبَادُوا إِلَى ٱلدَّهْرِ.
[VANDYKE | AR | OT | Psalms | Chapter 92 | Verse 8] أَمَّا أَنْتَ يَارَبُّ فَمُتَعَالٍ إِلَى ٱلْأَبَدِ.
[VANDYKE | AR | OT | Psalms | Chapter 92 | Verse 9] لِأَنَّهُ هُوَذَا أَعْدَاؤُكَ يَارَبُّ، لِأَنَّهُ هُوَذَا أَعْدَاؤُكَ يَبِيدُونَ. يَتَبَدَّدُ كُلُّ فَاعِلِي ٱلْإِثْمِ.
[VANDYKE | AR | OT | Psalms | Chapter 92 | Verse 10] وَتَنْصِبُ مِثْلَ ٱلْبَقَرِ ٱلْوَحْشِيِّ قَرْنِي. تَدَهَّنْتُ بِزَيْتٍ طَرِيٍّ.
[VANDYKE | AR | OT | Psalms | Chapter 92 | Verse 11] وَتُبْصِرُ عَيْنِي بِمُرَاقِبِيَّ، وَبِٱلْقَائِمِينَ عَلَيَّ بِٱلشَّرِّ تَسْمَعُ أُذُنَايَ.
[VANDYKE | AR | OT | Psalms | Chapter 92 | Verse 12] اَلصِّدِّيقُ كَٱلنَّخْلَةِ يَزْهُو، كَٱلْأَرْزِ فِي لُبْنَانَ يَنْمُو.
[VANDYKE | AR | OT | Psalms | Chapter 92 | Verse 13] مَغْرُوسِينَ فِي بَيْتِ ٱلرَّبِّ، فِي دِيَارِ إِلَهِنَا يُزْهِرُونَ.
[VANDYKE | AR | OT | Psalms | Chapter 92 | Verse 14] أَيْضًا يُثْمِرُونَ فِي ٱلشَّيْبَةِ. يَكُونُونَ دِسَامًا وَخُضْرًا،
[VANDYKE | AR | OT | Psalms | Chapter 92 | Verse 15] لِيُخْبِرُوا بِأَنَّ ٱلرَّبَّ مُسْتَقِيمٌ. صَخْرَتِي هُوَ وَلَا ظُلْمَ فِيهِ.
