[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 1] اِصْغَ يَا ٱللهُ إِلَى صَلَاتِي، وَلَا تَتَغَاضَ عَنْ تَضَرُّعِي.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 2] ٱسْتَمِعْ لِي وَٱسْتَجِبْ لِي. أَتَحَيَّرُ فِي كُرْبَتِي وَأَضْطَرِبُ
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 3] مِنْ صَوْتِ ٱلْعَدُوِّ، مِنْ قِبَلِ ظُلْمِ ٱلشِّرِّيرِ. لِأَنَّهُمْ يُحِيلُونَ عَلَيَّ إِثْمًا، وَبِغَضَبٍ يَضْطَهِدُونَنِي.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 4] يَمْخَضُ قَلْبِي فِي دَاخِلِي، وَأَهْوَالُ ٱلْمَوْتِ سَقَطَتْ عَلَيَّ.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 5] خَوْفٌ وَرَعْدَةٌ أَتَيَا عَلَيَّ، وَغَشِيَنِي رُعْبٌ.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 6] فَقُلْتُ: «لَيْتَ لِي جَنَاحًا كَٱلْحَمَامَةِ، فَأَطِيرَ وَأَسْتَرِيحَ!
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 7] هَأَنَذَا كُنْتُ أَبْعُدُ هَارِبًا، وَأَبِيتُ فِي ٱلْبَرِّيَّةِ. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 8] كُنْتُ أُسْرِعُ فِي نَجَاتِي مِنَ ٱلرِّيحِ ٱلْعَاصِفَةِ، وَمِنَ ٱلنَّوْءِ».
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 9] أَهْلِكْ يَارَبُّ، فَرِّقْ أَلْسِنَتَهُمْ، لِأَنِّي قَدْ رَأَيْتُ ظُلْمًا وَخِصَامًا فِي ٱلْمَدِينَةِ.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 10] نَهَارًا وَلَيْلًا يُحِيطُونَ بِهَا عَلَى أَسْوَارِهَا، وَإِثْمٌ وَمَشَقَّةٌ فِي وَسَطِهَا.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 11] مَفَاسِدُ فِي وَسَطِهَا، وَلَا يَبْرَحُ مِنْ سَاحَتِهَا ظُلْمٌ وَغِشٌّ.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 12] لِأَنَّهُ لَيْسَ عَدُوٌّ يُعَيِّرُنِي فَأَحْتَمِلَ. لَيْسَ مُبْغِضِي تَعَظَّمَ عَلَيَّ فَأَخْتَبِئَ مِنْهُ.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 13] بَلْ أَنْتَ إِنْسَانٌ عَدِيلِي، إِلْفِي وَصَدِيقِي،
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 14] ٱلَّذِي مَعَهُ كَانَتْ تَحْلُو لَنَا ٱلْعِشْرَةُ. إِلَى بَيْتِ ٱللهِ كُنَّا نَذْهَبُ فِي ٱلْجُمْهُورِ.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 15] لِيَبْغَتْهُمُ ٱلْمَوْتُ. لِيَنْحَدِرُوا إِلَى ٱلْهَاوِيَةِ أَحْيَاءً، لِأَنَّ فِي مَسَاكِنِهِمْ، فِي وَسْطِهِمْ شُرُورًا.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 16] أَمَّا أَنَا فَإِلَى ٱللهِ أَصْرُخُ، وَٱلرَّبُّ يُخَلِّصُنِي.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 17] مَسَاءً وَصَبَاحًا وَظُهْرًا أَشْكُو وَأَنُوحُ، فَيَسْمَعُ صَوْتِي.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 18] فَدَى بِسَلَامٍ نَفْسِي مِنْ قِتَالٍ عَلَيَّ، لِأَنَّهُمْ بِكَثْرَةٍ كَانُوا حَوْلِي.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 19] يَسْمَعُ ٱللهُ فَيُذِلُّهُمْ، وَٱلْجَالِسُ مُنْذُ ٱلْقِدَمِ. سِلَاهْ. ٱلَّذِينَ لَيْسَ لَهُمْ تَغَيُّرٌ، وَلَا يَخَافُونَ ٱللهَ.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 20] أَلْقَى يَدَيْهِ عَلَى مُسَالِمِيهِ. نَقَضَ عَهْدَهُ.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 21] أَنْعَمُ مِنَ ٱلزُّبْدَةِ فَمُهُ، وَقَلْبُهُ قِتَالٌ. أَلْيَنُ مِنَ ٱلزَّيْتِ كَلِمَاتُهُ، وَهِيَ سُيُوفٌ مَسْلُولَةٌ.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 22] أَلْقِ عَلَى ٱلرَّبِّ هَمَّكَ فَهُوَ يَعُولُكَ. لَا يَدَعُ ٱلصِّدِّيقَ يَتَزَعْزَعُ إِلَى ٱلْأَبَدِ.
[VANDYKE | AR | OT | Psalms | Chapter 55 | Verse 23] وَأَنْتَ يَا ٱللهُ تُحَدِّرُهُمْ إِلَى جُبِّ ٱلْهَلَاكِ. رِجَالُ ٱلدِّمَاءِ وَٱلْغِشِّ لَا يَنْصُفُونَ أَيَّامَهُمْ. أَمَّا أَنَا فَأَتَّكِلُ عَلَيْكَ.
