[VANDYKE | AR | OT | Psalms | Chapter 84 | Verse 1] مَا أَحْلَى مَسَاكِنَكَ يَارَبَّ ٱلْجُنُودِ!
[VANDYKE | AR | OT | Psalms | Chapter 84 | Verse 2] تَشْتَاقُ بَلْ تَتُوقُ نَفْسِي إِلَى دِيَارِ ٱلرَّبِّ. قَلْبِي وَلَحْمِي يَهْتِفَانِ بِٱلْإِلَهِ ٱلْحَيِّ.
[VANDYKE | AR | OT | Psalms | Chapter 84 | Verse 3] ٱلْعُصْفُورُ أَيْضًا وَجَدَ بَيْتًا، وَٱلسُّنُونَةُ عُشًّا لِنَفْسِهَا حَيْثُ تَضَعُ أَفْرَاخَهَا، مَذَابِحَكَ يَارَبَّ ٱلْجُنُودِ، مَلِكِي وَإِلَهِي.
[VANDYKE | AR | OT | Psalms | Chapter 84 | Verse 4] طُوبَى لِلسَّاكِنِينَ فِي بَيْتِكَ، أَبَدًا يُسَبِّحُونَكَ. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 84 | Verse 5] طُوبَى لِأُنَاسٍ عِزُّهُمْ بِكَ. طُرُقُ بَيْتِكَ فِي قُلُوبِهِمْ.
[VANDYKE | AR | OT | Psalms | Chapter 84 | Verse 6] عَابِرِينَ فِي وَادِي ٱلْبُكَاءِ، يُصَيِّرُونَهُ يَنْبُوعًا. أَيْضًا بِبَرَكَاتٍ يُغَطُّونَ مُورَةَ.
[VANDYKE | AR | OT | Psalms | Chapter 84 | Verse 7] يَذْهَبُونَ مِنْ قُوَّةٍ إِلَى قُوَّةٍ. يُرَوْنَ قُدَّامَ ٱللهِ فِي صِهْيَوْنَ.
[VANDYKE | AR | OT | Psalms | Chapter 84 | Verse 8] يَارَبُّ إِلَهَ ٱلْجُنُودِ، ٱسْمَعْ صَلَاتِي، وَٱصْغَ يَا إِلَهَ يَعْقُوبَ. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 84 | Verse 9] يَا مِجَنَّنَا ٱنْظُرْ يَا ٱللهُ، وَٱلْتَفِتْ إِلَى وَجْهِ مَسِيحِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 84 | Verse 10] لِأَنَّ يَوْمًا وَاحِدًا فِي دِيَارِكَ خَيْرٌ مِنْ أَلْفٍ. ٱخْتَرْتُ ٱلْوُقُوفَ عَلَى ٱلْعَتَبَةِ فِي بَيْتِ إِلَهِي عَلَى ٱلسَّكَنِ فِي خِيَامِ ٱلْأَشْرَارِ.
[VANDYKE | AR | OT | Psalms | Chapter 84 | Verse 11] لِأَنَّ ٱلرَّبَّ ٱللهَ، شَمْسٌ وَمِجَنٌّ. ٱلرَّبُّ يُعْطِي رَحْمَةً وَمَجْدًا. لَا يَمْنَعُ خَيْرًا عَنِ ٱلسَّالِكِينَ بِٱلْكَمَالِ.
[VANDYKE | AR | OT | Psalms | Chapter 84 | Verse 12] يَارَبَّ ٱلْجُنُودِ، طُوبَى لِلْإِنْسَانِ ٱلْمُتَّكِلِ عَلَيْكَ.
