[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 1] طُوبَى لِلْكَامِلِينَ طَرِيقًا، ٱلسَّالِكِينَ فِي شَرِيعَةِ ٱلرَّبِّ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 2] طُوبَى لِحَافِظِي شَهَادَاتِهِ. مِنْ كُلِّ قُلُوبِهِمْ يَطْلُبُونَهُ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 3] أَيْضًا لَا يَرْتَكِبُونَ إِثْمًا. فِي طُرُقِهِ يَسْلُكُونَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 4] أَنْتَ أَوْصَيْتَ بِوَصَايَاكَ أَنْ تُحْفَظَ تَمَامًا.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 5] لَيْتَ طُرُقِي تُثَبَّتُ فِي حِفْظِ فَرَائِضِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 6] حِينَئِذٍ لَا أَخْزَى إِذَا نَظَرْتُ إِلَى كُلِّ وَصَايَاكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 7] أَحْمَدُكَ بِٱسْتِقَامَةِ قَلْبٍ عِنْدَ تَعَلُّمِي أَحْكَامَ عَدْلِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 8] وَصَايَاكَ أَحْفَظُ. لَا تَتْرُكْنِي إِلَى ٱلْغَايَةِ. ب
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 9] بِمَ يُزَكِّي ٱلشَّابُّ طَرِيقَهُ؟ بِحِفْظِهِ إِيَّاهُ حَسَبَ كَلَامِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 10] بِكُلِّ قَلْبِي طَلَبْتُكَ. لَا تُضِلَّنِي عَنْ وَصَايَاكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 11] خَبَأْتُ كَلَامَكَ فِي قَلْبِي لِكَيْلَا أُخْطِئَ إِلَيْكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 12] مُبَارَكٌ أَنْتَ يَارَبُّ. عَلِّمْنِي فَرَائِضَكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 13] بِشَفَتَيَّ حَسَبْتُ كُلَّ أَحْكَامِ فَمِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 14] بِطَرِيقِ شَهَادَاتِكَ فَرِحْتُ كَمَا عَلَى كُلِّ ٱلْغِنَى.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 15] بِوَصَايَاكَ أَلْهَجُ، وَأُلَاحِظُ سُبُلَكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 16] بِفَرَائِضِكَ أَتَلَذَّذُ. لَا أَنْسَى كَلَامَكَ. ج
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 17] أَحْسِنْ إِلَى عَبْدِكَ، فَأَحْيَا وَأَحْفَظَ أَمْرَكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 18] ٱكْشِفْ عَنْ عَيْنَيَّ فَأَرَى عَجَائِبَ مِنْ شَرِيعَتِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 19] غَرِيبٌ أَنَا فِي ٱلْأَرْضِ. لَا تُخْفِ عَنِّي وَصَايَاكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 20] ٱنْسَحَقَتْ نَفْسِي شَوْقًا إِلَى أَحْكَامِكَ فِي كُلِّ حِينٍ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 21] ٱنْتَهَرْتَ ٱلْمُتَكَبِّرِينَ ٱلْمَلَاعِينَ ٱلضَّالِّينَ عَنْ وَصَايَاكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 22] دَحْرِجْ عَنِّي ٱلْعَارَ وَٱلْإِهَانَةَ، لِأَنِّي حَفِظْتُ شَهَادَاتِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 23] جَلَسَ أَيْضًا رُؤَسَاءُ، تَقَاوَلُوا عَلَيَّ. أَمَّا عَبْدُكَ فَيُنَاجِي بِفَرَائِضِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 24] أَيْضًا شَهَادَاتُكَ هِيَ لَذَّتِي، أَهْلُ مَشُورَتِي. د
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 25] لَصِقَتْ بِٱلتُّرَابِ نَفْسِي، فَأَحْيِنِي حَسَبَ كَلِمَتِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 26] قَدْ صَرَّحْتُ بِطُرُقِي فَٱسْتَجَبْتَ لِي. عَلِّمْنِي فَرَائِضَكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 27] طَرِيقَ وَصَايَاكَ فَهِّمْنِي، فَأُنَاجِيَ بِعَجَائِبِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 28] قَطَرَتْ نَفْسِي مِنَ ٱلْحُزْنِ. أَقِمْنِي حَسَبَ كَلَامِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 119 | Verse 29] طَرِيقَ ٱلْكَذِبِ أَبْعِدْ عَنِّي، وَبِشَرِيعَتِكَ ٱرْحَمْنِي.
