[VANDYKE | AR | OT | Psalms | Chapter 90 | Verse 1] يَا رَبُّ أَنْتَ كُنْتَ مَلْجَأً لَنَا نَلُوذُ بِهِ جِيلاً بَعْدَ جِيلٍ.
[VANDYKE | AR | OT | Psalms | Chapter 90 | Verse 2] قَبْلَ أَنْ أَوْجَدْتَ الْجِبَالَ أَوْ كَوَّنْتَ الْمَسْكُونَةَ، أَنْتَ اللهُ مِنَ الأَزَلِ وَإِلَى الأَبَدِ.
[VANDYKE | AR | OT | Psalms | Chapter 90 | Verse 3] تُعِيدُ الإِنْسَانَ إِلَى التُّرَابِ قَائِلاً: عُودُوا إِلَيْهِ يَا بَنِي آدَمَ.
[VANDYKE | AR | OT | Psalms | Chapter 90 | Verse 4] فَإِنَّ أَلْفَ سَنَةٍ فِي عَيْنَيْكَ كَيَوْمِ أَمْسِ الْعَابِرِ، أَوْ مِثْلُ هَزِيعٍ مِنَ اللَّيْلِ.
[VANDYKE | AR | OT | Psalms | Chapter 90 | Verse 5] تَجْرُفُ الْبَشَرَ كَمَا يَجْرُفُهُمُ الطُّوفَانُ، فَيَزُولُونَ كَالْحُلْمِ عِنْدَ الصَّبَاحِ مِثْلَ الْعُشْبِ الَّذِي يَنْمُو.
[VANDYKE | AR | OT | Psalms | Chapter 90 | Verse 6] يُزْهِرُ فِي الصَّبَاحِ وَيَنْمُو، وَفِي الْمَسَاءِ يُقْطَعُ وَيَجِفُّ.
[VANDYKE | AR | OT | Psalms | Chapter 90 | Verse 7] إِنَّ غَضَبَكَ قَدْ أَفْنَانَا وَسَخَطَكَ قَدْ رَوَّعَنَا.
[VANDYKE | AR | OT | Psalms | Chapter 90 | Verse 8] جَعَلْتَ آثَامَنَا أَمَامَكَ وَخَطَايَانَا الْخَفِيَّةَ ظَاهِرَةً لَدَيْكَ.
[VANDYKE | AR | OT | Psalms | Chapter 90 | Verse 9] لأَنَّ أَيَّامَنَا كُلَّهَا تَنْقَضِي فِي غَضَبِكَ الشَّدِيدِ، وَأَعْوَامَنَا تَتَلاشَى كَزَفْرَةٍ.
[VANDYKE | AR | OT | Psalms | Chapter 90 | Verse 10] قَدْ نَعِيشُ سَبْعِينَ سَنَةً، وَإِنْ كُنَّا ذَوِي عَافِيَةٍ فَثَمَانينَ وَأَفْضَلُ أَيَّامِنَا تَعَبٌ وَبَلِيَّةٌ، لأَنَّهَا سَرْعَانَ مَا تَزُولُ فَنَطِيرُ.
[VANDYKE | AR | OT | Psalms | Chapter 90 | Verse 11] مَنْ يَعْرِفُ شِدَّةَ غَضَبِكَ؟ إِنَّ سَخَطَكَ هُوَ بِحَسَبِ مَهَابَتِكَ؟
[VANDYKE | AR | OT | Psalms | Chapter 90 | Verse 12] عَلِّمْنَا إِحْصَاءَ أَيَّامِنَا، لَعَلَّنَا نَتَعَقَّلُ بِقَلْبٍ حَكِيمٍ.
[VANDYKE | AR | OT | Psalms | Chapter 90 | Verse 13] إِلَى مَتَى يَطُولُ يَا رَبُّ غَضَبُكَ؟ ارْجِعْ وَتَعَطَّفْ عَلَى عَبِيدِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 90 | Verse 14] أَفِضْ عَلَيْنَا بَاكِراً مِنْ رَحْمَتِكَ، فَنَتَرَنَّمَ فَرَحاً وَنَبْتَهِجَ طَوَالَ أَعْمَارِنَا.
[VANDYKE | AR | OT | Psalms | Chapter 90 | Verse 15] فَرِّحْنَا بِمِقْدَارِ الأَيَّامِ الَّتِي بَلَيْتَنَا بِها، وَبِمِقْدَارِ السِّنِينَ الَّتِي رَأَيْنَا فِيهَا الْمَصَائِبَ
[VANDYKE | AR | OT | Psalms | Chapter 90 | Verse 16] لِيَظْهَرْ صَنِيعُكَ أَمَامَ عَبِيدِكَ وَجَلالُكَ أَمَامَ أَبْنَائِهِمْ.
[VANDYKE | AR | OT | Psalms | Chapter 90 | Verse 17] وَلْتَكُنْ نِعْمَةُ الرَّبِّ إِلَهِنَا عَلَيْنَا. أَنْجِحْ عَمَلَ أَيْدِينَا، نَعَمْ أَنْجِحْ لَنَا عَمَلَ أَيْدِينَا.
