[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 1] أُحِبُّكَ يَا رَبُّ، يَا قُوَّتِي.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 2] الرَّبُّ صَخْرَتِي وَحِصْنِي وَمُنْقِذِي. إِلَهِي صَخْرَتِي بِهِ أَحْتَمِي. تُرْسِي وَرُكْنُ خَلاصِي، وَقَلْعَتِي الْحَصِينَةُ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 3] أَدْعُو الرَّبَّ الْجَدِيرَ بِكُلِّ حَمْدٍ فَيُخَلِّصُنِي مِنْ أَعْدَائِي.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 4] قَدْ أَحْدَقَتْ بِي حِبَالُ الْمَوْتِ، وَأَفْزَعَتْنِي سُيُولُ الْهَلاكِ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 5] أَحَاطَتْ بِي حِبَالُ الْهَاوِيَةِ، وَأَطْبَقَتْ عَلَيَّ فِخَاخُ الْمَوْتِ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 6] فِي ضِيقِي دَعَوْتُ الرَّبَّ وَصَرَخْتُ إِلَى إِلَهِي، فَسَمِعَ صَوْتِي مِنْ هَيْكَلِهِ، وَصَعِدَ صُرَاخِي أَمَامَهُ، بَلْ دَخَلَ أُذُنَيْهِ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 7] عِنْدَئِذٍ ارْتَجَّتِ الأَرْضُ وَتَزَلْزَلَتْ. ارْتَجَفَتْ أَسَاسَاتُ الْجِبَالِ وَاهْتَزَّتْ، لأَنَّ الرَّبَّ غَضِبَ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 8] نَفَثَ أَنْفُهُ دُخَاناً، وَانْقَذَفَتْ نَارٌ آكِلَةٌ مِنْ فَمِهِ، وَكَأَنَّهَا جَمْرٌ مُلْتَهِبٌ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 9] طَأْطَأَ السَّمَاوَاتِ وَنَزَلَ، فَكَانَتِ الْغُيُومُ الْمُتَجَهِّمَةُ تَحْتَ قَدَمَيْهِ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 10] امْتَطَى مَرْكَبَةً مِنْ مَلائِكَةِ الْكَرُوبِيمِ، وَطَارَ مُسْرِعاً عَلَى أَجْنِحَةِ الرِّيْاحِ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 11] جَعَلَ الظُّلْمَةَ سِتَاراً لَهُ، وَصَارَ ضَبَابُ الْمِيَاهِ وَسُحُبُ الْسَّمَاءِ الدَّاكِنَةُ مِظَلَّتَهُ الْمُحِيطَةَ بِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 12] مِنْ بَهَاءِ طَلْعَتِهِ عَبَرَتِ السُّحُبُ أَمَامَهُ. حَدَثَتْ عَاصِفَةُ بَرَدٍ وَبَرْقٍ كَالْجَمْرِ الْمُلْتَهِبِ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 13] أَرْعَدَ الرَّبُّ فِي السَّمَاوَاتِ، أَطْلَقَ الْعَلِيُّ صَوْتَهُ فَانْهَمَرَ بَرَدٌ، وَانْدَلَعَتْ نَارُ!
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 14] أَطْلَقَ سِهَامَهُ فَبَدَّدَ أَعْدَائِي، وَأَرْسَلَ بُرُوقَهُ فَأَزْعَجَهُمْ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 15] ظَهَرَتْ مَجَارِي الْمِيَاهِ الْعَمِيقَةِ، وَانْكَشَفَتْ أُسُسُ الْمَسْكُونَةِ مِنْ زَجْرِكَ يَا رَبُّ، وَمِنْ أَنْفِكَ اللّافِحَةِ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 16] مَدَّ الرَّبُّ يَدَهُ مِنَ الْعُلَى وَأَمْسَكَنِي، وَانْتَشَلَنِي مِنَ السُّيُولِ الْغَامِرَةِ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 17] أَنْقَذَنِي مِنْ عَدُوِّي الْقَويِّ، وَمِنَ مُبْغِضِيَّ، لأَنَّهُمْ كَانُوا أَقْوَى مِنِّي.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 18] تَصَدَّوْا لِي فِي يَوْمِ بَلِيَّتِي، فَكَانَ الرَّبُّ سَنَدِي،
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 19] وَاقْتَادَنِي إِلَى مَكَانٍ رَحِيبٍ. أَنْقَذَنِي لأَنَّهُ سُرَّ بِي.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 20] يُكَافِئُنِي الرَّبُّ بِمُقْتَضَى بِرِّي وَيُعَوِّضُنِي حَسَبَ طَهَارَةِ يَدَيَّ،
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 21] لأَنِّي سَلَكْتُ دَائِماً فِي طُرُقِ الرَّبِّ وَلَمْ أَعْصَ إِلَهِي.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 22] جَعَلْتُ أَحْكَامَهُ دَائِماً نُصْبَ عَيْنَيَّ، وَلَمْ أَحِدْ عَنْ فَرَائِضِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 23] وَأَكُونُ مَعَهُ كَامِلاً وَأَصُونُ نَفْسِي مِنْ إِثْمِي.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 24] فَيُكَافِئُنِي الرَّبُّ وَفْقاً لِبِرِّي، بِحَسَبِ طَهَارَةِ يَدَيَّ أَمَامَ عَيْنَيْهِ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 25] مَعَ الرَّحِيمِ تَكُونُ رَحِيماً، وَمَعَ الْكَامِلِ تَكُونُ كَامِلاً،
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 26] وَمَعَ الطَّاهِرِ تَكُونُ طَاهِراً، وَمَعَ الْمُعْوَجِّ تَكُونُ مُعْوَجّاً.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 27] لأَنَّكَ أَنْتَ تُخَلِّصُ الشَّعْبَ الْمُتَضَايِقَ، أَمَّا الْمُتَرَفِّعُونَ فَتَخْفِضُ عُيُونَهُمْ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 28] لأَنَّكَ أَيُّهَا الرَّبُّ إِلَهِي تَضِيءُ مِصْبَاحِي، وَتُحَوِّلُ ظَلامِي نُوراً
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 29] لأَنِّي بِكَ اقْتَحَمْتُ جَيْشاً، وَبِمَعُونَةِ إِلَهِي اخْتَرَقْتُ أَسْوَاراً.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 30] مَا أَكْمَلَ طَرِيقَ الرَّبِّ! إِنَّ كَلِمَتَهُ نَقِيَّةٌ، وَهُوَ تُرْسٌ يَحْمِي جَمِيعَ الْمُلْتَجِئِينَ إِلَيْهِ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 31] فَمَنْ هُوَ إِلْهٌ غَيْرُ الرَّبِّ؟ وَمَنْ هُوَ صَخْرَةٌ سِوَى إِلَهِنَا؟
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 32] يَشُدُّنِي اللهُ بِحِزامٍ مِنَ الْقُوَّةِ، وَيَجْعَلُ طَرِيقِي كَامِلاً،
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 33] يُثَبِّتُ قَدَمَيَّ كَأَقْدَامِ الإيَّلِ وَيُصْعِدُنِي عَلَى مُرْتَفَعَاتِي الْوَعِرَةِ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 34] يُدَرِّبُ يَدَيَّ عَلَى فَنِّ الْحَرْبِ، فَتَشُدُّ ذِرَاعَايَ قَوْساً مِنْ نُحَاسٍ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 35] تَجْعَلُ أَيْضاً خَلاصَكَ تُرْساً لِي، فَتُعَضِّدُنِي بِيَمِينِكَ، وَيُعَظِّمُنِي لُطْفُكَ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 36] وَسَّعْتَ طَرِيقِي تَحْتَ قَدَمَيَّ، فَلَمْ تَتَقَلْقَلْ عَقِبَايَ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 37] أُطَارِدُ أَعْدَائِي فَأُدْرِكُهُمْ، وَلَا أَرْجِعُ حَتَّى أُبِيدَهُمْ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 38] أَسْحَقُهُمْ فَلَا يَسْتَطِيعُونَ النُّهُوضَ. يَسْقُطُونَ تَحْتَ قَدَمَيَّ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 39] تُمَنْطِقُنِي بِحِزَامٍ مِنَ الْقُوَّةِ تَأَهُّباً لِلْقِتَالِ. تُخْضِعُ لِسُلْطَانِي الْمُتَمَرِّدِينَ عَلَيَّ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 40] يُوَلُّونَ الأَدْبَارَ هَرَباً أَمَامِي. وَأُفْنِي الَّذِينَ يُبْغِضُونَنِي.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 41] يَسْتَغِيثُونَ وَلَا مُخَلِّصَ. يُنَادُونَ الرَّبَّ فَلَا يَسْتَجِيبُ لَهُمْ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 42] فَأَسْحَقُهُمْ كَالْغُبَارِ فِي مَهَبِّ الرِّيحِ، وَأَطْرَحُهُمْ مِثْلَ الطِّينِ فِي الشَّوَارِعِ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 43] تُنْقِذُنِي مِنْ ثَوْرَاتِ الشَّعْبِ، وَتَجْعَلُنِي سَيِّداً لِلأُمَمِ، حَتَّى صَارَ شَعْبٌ لَمْ أَكُنْ أَعْرِفُهُ عَبْداً يَخْدِمُنِي.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 44] فَمَا إِنْ يَسْمَعُوا أَمْرِي حَتَّى يُلَبُّوهُ. الْغُرَبَاءُ يَتَذَلَّلُونَ لِي
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 45] الْغُرَبَاءُ يَخُورُونَ، يَخْرُجُونَ مِنْ حُصُونِهِمْ مُرْتَعِدِينَ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 46] حَيٌّ هُوَ الرَّبُّ، وَمُبَارَكٌ صَخْرَتِي، وَمُتَعَالٍ إِلَهُ خَلاصِي،
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 47] الإِلَهُ الْمُنْتَقِمُ لِي، يُخْضِعُ الشُّعُوبَ لِسُلْطَانِي،
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 48] مُنْقِذِي مِنْ أَعْدَائِي، رَافِعِي عَلَى الْمُتَمَرِّدِينَ عَلَيَّ، وَمِنَ الرَّجُلِ الطَّاغِي تُخَلِّصُنِي.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 49] لِهَذَا أَعْتَرِفُ لَكَ بَيْنَ الأُمَمِ وَأُرَتِّلُ لاِسْمِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 18 | Verse 50] يَا مَانِحَ الْخَلاصِ الْعَظِيمِ لِمَلِكِهِ، وَصَانِعَ الرَّحْمَةِ لِمَسِيحِهِ، لِدَاوُدَ وَنَسْلِهِ إِلَى الأَبَدِ.
