[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 1] إِلَهُ ٱلْآلِهَةِ ٱلرَّبُّ تَكَلَّمَ، وَدَعَا ٱلْأَرْضَ مِنْ مَشْرِقِ ٱلشَّمْسِ إِلَى مَغْرِبِهَا.
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 2] مِنْ صِهْيَوْنَ، كَمَالِ ٱلْجَمَالِ، ٱللهُ أَشْرَقَ.
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 3] يَأْتِي إِلَهُنَا وَلَا يَصْمُتُ. نَارٌ قُدَّامَهُ تَأْكُلُ، وَحَوْلَهُ عَاصِفٌ جِدًّا.
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 4] يَدْعُو ٱلسَّمَاوَاتِ مِنْ فَوْقُ، وَٱلْأَرْضَ إِلَى مُدَايَنَةِ شَعْبِهِ:
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 5] «ٱجْمَعُوا إِلَيَّ أَتْقِيَائِي، ٱلْقَاطِعِينَ عَهْدِي عَلَى ذَبِيحَةٍ».
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 6] وَتُخْبِرُ ٱلسَّمَاوَاتُ بِعَدْلِهِ، لِأَنَّ ٱللهَ هُوَ ٱلدَّيَّانُ. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 7] «اِسْمَعْ يَا شَعْبِي فَأَتَكَلَّمَ. يَا إِسْرَائِيلُ فَأَشْهَدَ عَلَيْكَ: ٱللهُ إِلَهُكَ أَنَا.
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 8] لَا عَلَى ذَبَائِحِكَ أُوَبِّخُكَ، فَإِنَّ مُحْرَقَاتِكَ هِيَ دَائِمًا قُدَّامِي.
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 9] لَا آخُذُ مِنْ بَيْتِكَ ثَوْرًا، وَلَا مِنْ حَظَائِرِكَ أَعْتِدَةً.
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 10] لِأَنَّ لِي حَيَوَانَ ٱلْوَعْرِ وَٱلْبَهَائِمَ عَلَى ٱلْجِبَالِ ٱلْأُلُوفِ.
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 11] قَدْ عَلِمْتُ كُلَّ طُيُورِ ٱلْجِبَالِ، وَوُحُوشُ ٱلْبَرِّيَّةِ عِنْدِي.
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 12] إِنْ جُعْتُ فَلَا أَقُولُ لَكَ، لِأَنَّ لِي ٱلْمَسْكُونَةَ وَمِلْأَهَا.
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 13] هَلْ آكُلُ لَحْمَ ٱلثِّيرَانِ، أَوْ أَشْرَبُ دَمَ ٱلتُّيُوسِ؟
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 14] اِذْبَحْ لِلهِ حَمْدًا، وَأَوْفِ ٱلْعَلِيَّ نُذُورَكَ،
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 15] وَٱدْعُنِي فِي يَوْمِ ٱلضِّيقِ أُنْقِذْكَ فَتُمَجِّدَنِي».
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 16] وَلِلشِّرِّيرِ قَالَ ٱللهُ: «مَا لَكَ تُحَدِّثُ بِفَرَائِضِي وَتَحْمِلُ عَهْدِي عَلَى فَمِكَ؟
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 17] وَأَنْتَ قَدْ أَبْغَضْتَ ٱلتَّأْدِيبَ وَأَلْقَيْتَ كَلَامِي خَلْفَكَ.
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 18] إِذَا رَأَيْتَ سَارِقًا وَافَقْتَهُ، وَمَعَ ٱلزُّنَاةِ نَصِيبُكَ.
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 19] أَطْلَقْتَ فَمَكَ بِٱلشَّرِّ، وَلِسَانُكَ يَخْتَرِعُ غِشًّا.
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 20] تَجْلِسُ تَتَكَلَّمُ عَلَى أَخِيكَ. لِٱبْنِ أُمِّكَ تَضَعُ مَعْثَرَةً.
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 21] هَذِهِ صَنَعْتَ وَسَكَتُّ. ظَنَنْتَ أَنِّي مِثْلُكَ. أُوَبِّخُكَ، وَأَصُفُّ خَطَايَاكَ أَمَامَ عَيْنَيْكَ.
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 22] ٱفْهَمُوا هَذَا يَا أَيُّهَا ٱلنَّاسُونَ ٱللهَ، لِئَلَّا أَفْتَرِسَكُمْ وَلَا مُنْقِذَ.
[VANDYKE | AR | OT | Psalms | Chapter 50 | Verse 23] ذَابِحُ ٱلْحَمْدِ يُمَجِّدُنِي، وَٱلْمُقَوِّمُ طَرِيقَهُ أُرِيهِ خَلَاصَ ٱللهِ».
