[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 1] صَوْتِي إِلَى ٱللهِ فَأَصْرُخُ. صَوْتِي إِلَى ٱللهِ فَأَصْغَى إِلَيَّ.
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 2] فِي يَوْمِ ضِيْقِي ٱلْتَمَسْتُ ٱلرَّبَّ. يَدِي فِي ٱللَّيْلِ ٱنْبَسَطَتْ وَلَمْ تَخْدَرْ. أَبَتْ نَفْسِي ٱلتَّعْزِيَةَ.
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 3] أَذْكُرُ ٱللهَ فَأَئِنُّ. أُنَاجِي نَفْسِي فَيُغْشَى عَلَى رُوحِي. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 4] أَمْسَكْتَ أَجْفَانَ عَيْنَيَّ. ٱنْزَعَجْتُ فَلَمْ أَتَكَلَّمْ.
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 5] تَفَكَّرْتُ فِي أَيَّامِ ٱلْقِدَمِ، ٱلسِّنِينَ ٱلدَّهْرِيَّةِ.
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 6] أَذْكُرُ تَرَنُّمِي فِي ٱللَّيْلِ. مَعَ قَلْبِي أُنَاجِي، وَرُوحِي تَبْحَثُ:
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 7] «هَلْ إِلَى ٱلدُّهُورِ يَرْفُضُ ٱلرَّبُّ، وَلَا يَعُودُ لِلرِّضَا بَعْدُ؟
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 8] هَلِ ٱنْتَهَتْ إِلَى ٱلْأَبَدِ رَحْمَتُهُ؟ ٱنْقَطَعَتْ كَلِمَتُهُ إِلَى دَوْرٍ فَدَوْرٍ؟
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 9] هَلْ نَسِيَ ٱللهُ رَأْفَةً؟ أَوْ قَفَصَ بِرِجْزِهِ مَرَاحِمَهُ؟». سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 10] فَقُلْتُ: «هَذَا مَا يُعِلُّنِي: تَغَيُّرُ يَمِينِ ٱلْعَلِيِّ».
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 11] أَذْكُرُ أَعْمَالَ ٱلرَّبِّ. إِذْ أَتَذَكَّرُ عَجَائِبَكَ مُنْذُ ٱلْقِدَمِ،
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 12] وَأَلْهَجُ بِجَمِيعِ أَفْعَالِكَ، وَبِصَنَائِعِكَ أُنَاجِي.
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 13] اَللَّهُمَّ، فِي ٱلْقُدْسِ طَرِيقُكَ. أَيُّ إِلَهٍ عَظِيمٌ مِثْلُ ٱللهِ؟
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 14] أَنْتَ ٱلْإِلَهُ ٱلصَّانِعُ ٱلْعَجَائِبَ. عَرَّفْتَ بَيْنَ ٱلشُّعُوبِ قُوَّتَكَ.
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 15] فَكَكْتَ بِذِرَاعِكَ شَعْبَكَ، بَنِي يَعْقُوبَ وَيُوسُفَ. سِلَاهْ.
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 16] أَبْصَرَتْكَ ٱلْمِيَاهُ يَا ٱللهُ، أَبْصَرَتْكَ ٱلْمِيَاهُ فَفَزِعَتْ، اِرْتَعَدَتْ أَيْضًا ٱللُّجَجُ.
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 17] سَكَبَتِ ٱلْغُيُومُ مِيَاهًا، أَعْطَتِ ٱلسُّحُبُ صَوْتًا. أَيْضًا سِهَامُكَ طَارَتْ.
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 18] صَوْتُ رَعْدِكَ فِي ٱلزَّوْبَعَةِ. ٱلْبُرُوقُ أَضَاءَتِ ٱلْمَسْكُونَةَ. ٱرْتَعَدَتْ وَرَجَفَتِ ٱلْأَرْضُ.
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 19] فِي ٱلْبَحْرِ طَرِيقُكَ، وَسُبُلُكَ فِي ٱلْمِيَاهِ ٱلْكَثِيرَةِ، وَآثَارُكَ لَمْ تُعْرَفْ.
[VANDYKE | AR | OT | Psalms | Chapter 77 | Verse 20] هَدَيْتَ شَعْبَكَ كَٱلْغَنَمِ بِيَدِ مُوسَى وَهارُونَ.
