[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 1] إِنَّمَا صَالِحٌ ٱللهُ لِإِسْرَائِيلَ، لِأَنْقِيَاءِ ٱلْقَلْبِ.
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 2] أَمَّا أَنَا فَكَادَتْ تَزِلُّ قَدَمَايَ. لَوْلَا قَلِيلٌ لَزَلِقَتْ خَطَوَاتِي.
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 3] لِأَنِّي غِرْتُ مِنَ ٱلْمُتَكَبِّرِينَ، إِذْ رَأَيْتُ سَلَامَةَ ٱلْأَشْرَارِ.
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 4] لِأَنَّهُ لَيْسَتْ فِي مَوْتِهِمْ شَدَائِدُ، وَجِسْمُهُمْ سَمِينٌ.
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 5] لَيْسُوا فِي تَعَبِ ٱلنَّاسِ، وَمَعَ ٱلْبَشَرِ لَا يُصَابُونَ.
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 6] لِذَلِكَ تَقَلَّدُوا ٱلْكِبْرِيَاءَ. لَبِسُوا كَثَوْبٍ ظُلْمَهُمْ.
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 7] جَحَظَتْ عُيُونُهُمْ مِنَ ٱلشَّحْمِ. جَاوَزُوا تَصَوُّرَاتِ ٱلْقَلْبِ.
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 8] يَسْتَهْزِئُونَ وَيَتَكَلَّمُونَ بِٱلشَّرِّ ظُلْمًا. مِنَ ٱلْعَلَاءِ يَتَكَلَّمُونَ.
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 9] جَعَلُوا أَفْوَاهَهُمْ فِي ٱلسَّمَاءِ، وَأَلْسِنَتُهُمْ تَتَمَشَّى فِي ٱلْأَرْضِ.
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 10] لِذَلِكَ يَرْجِعُ شَعْبُهُ إِلَى هُنَا، وَكَمِيَاهٍ مُرْوِيَةٍ يُمْتَصُّونَ مِنْهُمْ.
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 11] وَقَالُوا: «كَيْفَ يَعْلَمُ ٱللهُ؟ وَهَلْ عِنْدَ ٱلْعَلِيِّ مَعْرِفَةٌ؟».
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 12] هُوَذَا هَؤُلَاءِ هُمُ ٱلْأَشْرَارُ، وَمُسْتَرِيحِينَ إِلَى ٱلدَّهْرِ يُكْثِرُونَ ثَرْوَةً.
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 13] حَقًّا قَدْ زَكَّيْتُ قَلْبِي بَاطِلًا وَغَسَلْتُ بِٱلنَّقَاوَةِ يَدَيَّ.
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 14] وَكُنْتُ مُصَابًا ٱلْيَوْمَ كُلَّهُ، وَتَأَدَّبْتُ كُلَّ صَبَاحٍ.
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 15] لَوْ قُلْتُ أُحَدِّثُ هَكَذَا، لَغَدَرْتُ بِجِيلِ بَنِيكَ.
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 16] فَلَمَّا قَصَدْتُ مَعْرِفَةَ هَذَا، إِذَا هُوَ تَعَبٌ فِي عَيْنَيَّ.
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 17] حَتَّى دَخَلْتُ مَقَادِسَ ٱللهِ، وَٱنْتَبَهْتُ إِلَى آخِرَتِهِمْ.
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 18] حَقًّا فِي مَزَالِقَ جَعَلْتَهُمْ. أَسْقَطْتَهُمْ إِلَى ٱلْبَوَارِ.
[VANDYKE | AR | OT | Psalms | Chapter 73 | Verse 19] كَيْفَ صَارُوا لِلْخَرَابِ بَغْتَةً! ٱضْمَحَلُّوا، فَنُوا مِنَ ٱلدَّوَاهِي.
