[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 1] Rebuke not an elder, but exhort him as a father; the younger men as brethren:
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 2] the elder women as mothers; the younger as sisters, in all purity.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 3] Honor widows that are widows indeed.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 4] But if any widow hath children or grandchildren, let them learn first to show piety toward their own family, and to requite their parents: for this is acceptable in the sight of God.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 5] Now she that is a widow indeed, and desolate, hath her hope set on God, and continueth in supplications and prayers night and day.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 6] But she that giveth herself to pleasure is dead while she liveth.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 7] These things also command, that they may be without reproach.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 8] But if any provideth not for his own, and especially for those of his own household, he hath denied the faith, and is worse than an unbeliever.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 9] Let none be enrolled as a widow under threescore years old, having been the wife of one man,
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 10] well reported of for good works; if she hath brought up children, if she hath used hospitality to strangers, if she hath washed the saints’ feet, if she hath relieved the afflicted, if she hath diligently followed every good work.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 11] But younger widows refuse: for when they have waxed wanton against Christ, they desire to marry;
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 12] having condemnation, because they have rejected their first pledge.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 13] And withal they learn also to be idle, going about from house to house; and not only idle, but tattlers also and busybodies, speaking things which they ought not.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 14] I desire therefore that the younger widows marry, bear children, rule the household, give no occasion to the adversary for reviling:
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 15] for already some are turned aside after Satan.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 16] If any believing man or believing woman hath widows, let them relieve them, and let not the church be burdened; that it may relieve them that are widows indeed.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 17] Let the elders that rule well be counted worthy of double honor, especially those who labor in the word and in teaching.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 18] For the scripture saith, Thou shalt not muzzle the ox when he treadeth out the grain. And, The laborer is worthy of his hire.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 19] Against an elder receive not an accusation, except at the mouth of two or three witnesses.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 20] Them that sin reprove in the sight of all, that the rest also may be in fear.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 21] I charge thee in the sight of God, and the Lord Jesus Christ, and the elect angels, that thou observe these things without prejudice, doing nothing by partiality.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 22] Lay hands hastily on no man, neither be partaker of other men’s sins: keep thyself pure.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 23] Be no longer a drinker of water, but use a little wine for thy stomach’s sake and thine often infirmities.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 24] Some men’s sins are evident, going before unto judgment; and some men also they follow after.
[ASV | EN | NT | 1 Timothy | Chapter 5 | Verse 25] In like manner also the good works of some are evident; and such as are otherwise cannot be hidden.
