[ASV | EN | NT | 1 Timothy | Chapter 3 | Verse 1] Faithful is the saying, If a man seeketh the office of a bishop, he desireth a good work.
[ASV | EN | NT | 1 Timothy | Chapter 3 | Verse 2] The bishop therefore must be without reproach, the husband of one wife, temperate, sober-minded, orderly, given to hospitality, apt to teach;
[ASV | EN | NT | 1 Timothy | Chapter 3 | Verse 3] not given to wine, no brawler, no striker, not greedy of filthy lucre; but gentle, not contentious, no lover of money;
[ASV | EN | NT | 1 Timothy | Chapter 3 | Verse 4] one that ruleth well his own house, having his children in subjection with all gravity;
[ASV | EN | NT | 1 Timothy | Chapter 3 | Verse 5] (but if a man knoweth not how to rule his own house, how shall he take care of the church of God?)
[ASV | EN | NT | 1 Timothy | Chapter 3 | Verse 6] not a novice, lest being puffed up he fall into the condemnation of the devil.
[ASV | EN | NT | 1 Timothy | Chapter 3 | Verse 7] Moreover he must have good testimony from them that are without; lest he fall into reproach and the snare of the devil.
[ASV | EN | NT | 1 Timothy | Chapter 3 | Verse 8] Deacons in like manner must be grave, not double-tongued, not given to much wine, not greedy of filthy lucre;
[ASV | EN | NT | 1 Timothy | Chapter 3 | Verse 9] holding the mystery of the faith in a pure conscience.
[ASV | EN | NT | 1 Timothy | Chapter 3 | Verse 10] And let these also first be proved; then let them serve as deacons, if they be blameless.
[ASV | EN | NT | 1 Timothy | Chapter 3 | Verse 11] Women in like manner must be grave, not slanderers, temperate, faithful in all things.
[ASV | EN | NT | 1 Timothy | Chapter 3 | Verse 12] Let deacons be husbands of one wife, ruling their children and their own houses well.
[ASV | EN | NT | 1 Timothy | Chapter 3 | Verse 13] For they that have served well as deacons gain to themselves a good standing, and great boldness in the faith which is in Christ Jesus.
[ASV | EN | NT | 1 Timothy | Chapter 3 | Verse 14] These things write I unto thee, hoping to come unto thee shortly;
[ASV | EN | NT | 1 Timothy | Chapter 3 | Verse 15] but if I tarry long, that thou mayest know how men ought to behave themselves in the house of God, which is the church of the living God, the pillar and ground of the truth.
[ASV | EN | NT | 1 Timothy | Chapter 3 | Verse 16] And without controversy great is the mystery of godliness; God was manifested in the flesh, Justified in the spirit, Seen of angels, Preached among the nations, Believed on in the world, Received up in glory.
