[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 1] Let as many as are servants under the yoke count their own masters worthy of all honor, that the name of God and the doctrine be not blasphemed.
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 2] And they that have believing masters, let them not despise them, because they are brethren; but let them serve them the rather, because they that partake of the benefit are believing and beloved. These things teach and exhort.
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 3] If any man teacheth a different doctrine, and consenteth not to sound words, even the words of our Lord Jesus Christ, and to the doctrine which is according to godliness;
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 4] he is puffed up, knowing nothing, but doting about questionings and disputes of words, whereof cometh envy, strife, railings, evil surmisings,
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 5] constant friction of men corrupted in mind and bereft of the truth, supposing that godliness is a way of gain: from such withdraw thyself.
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 6] But godliness with contentment is great gain:
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 7] for we brought nothing into the world: it is evident that neither can we carry anything out;
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 8] but having food and covering we shall be therewith content.
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 9] But they that are minded to be rich fall into a temptation and a snare and many foolish and hurtful lusts, such as drown men in destruction and perdition.
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 10] For the love of money is a root of all kinds of evil: which some reaching after have been led astray from the faith, and have pierced themselves through with many sorrows.
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 11] But thou, O man of God, flee these things; and follow after righteousness, godliness, faith, love, patience, meekness.
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 12] Fight the good fight of the faith, lay hold on the life eternal, whereunto thou wast called, and didst confess the good confession in the sight of many witnesses.
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 13] I charge thee in the sight of God, who giveth life to all things, and of Christ Jesus, who before Pontius Pilate witnessed the good confession;
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 14] that thou keep the commandment, without spot, without reproach, until the appearing of our Lord Jesus Christ:
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 15] which in its own times he shall show, who is the blessed and only Potentate, the King of kings, and Lord of lords;
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 16] who only hath immortality, dwelling in light unapproachable; whom no man hath seen, nor can see: to whom be honor and power eternal. Amen.
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 17] Charge them that are rich in this present world, that they be not high-minded, nor have their hope set on the uncertainty of riches, but on the living God, who giveth us richly all things to enjoy;
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 18] that they do good, that they be rich in good works, that they be ready to distribute, willing to communicate;
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 19] laying up in store for themselves a good foundation against the time to come, that they may lay hold on eternal life.
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 20] O Timothy, guard that which is committed unto thee, turning away from the profane babblings and oppositions of the knowledge which is falsely so called;
[ASV | EN | NT | 1 Timothy | Chapter 6 | Verse 21] which some professing have erred concerning the faith. Grace be with thee. Amen.
