[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 1] But concerning the times and the seasons, brothers, you have no need that anything be written to you.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 2] For you yourselves know well that the day of the Lord comes like a thief in the night.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 3] For when they are saying, “Peace and safety,” then sudden destruction will come on them, like birth pains on a pregnant woman. Then they will in no way escape.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 4] But you, brothers, aren’t in darkness, that the day should overtake you like a thief.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 5] You are all children of light and children of the day. We don’t belong to the night, nor to darkness,
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 6] so then let’s not sleep, as the rest do, but let’s watch and be sober.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 7] For those who sleep, sleep in the night; and those who are drunk are drunk in the night.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 8] But since we belong to the day, let’s be sober, putting on the breastplate of faith and love, and for a helmet, the hope of salvation.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 9] For God didn’t appoint us to wrath, but to the obtaining of salvation through our Lord Jesus Christ,
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 10] who died for us, that, whether we wake or sleep, we should live together with him.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 11] Therefore exhort one another, and build each other up, even as you also do.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 12] But we beg you, brothers, to know those who labor among you, and are over you in the Lord and admonish you,
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 13] and to respect and honor them in love for their work’s sake. Be at peace among yourselves.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 14] We exhort you, brothers: Admonish the disorderly; encourage the faint-hearted; support the weak; be patient toward all.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 15] See that no one returns evil for evil to anyone, but always follow after that which is good for one another and for all.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 16] Always rejoice.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 17] Pray without ceasing.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 18] In everything give thanks, for this is the will of God in Christ Jesus toward you.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 19] Don’t quench the Spirit.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 20] Don’t despise prophecies.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 21] Test all things, and hold firmly that which is good.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 22] Abstain from every form of evil.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 23] May the God of peace himself sanctify you completely. May your whole spirit, soul, and body be preserved blameless at the coming of our Lord Jesus Christ.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 24] He who calls you is faithful, who will also do it.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 25] Brothers, pray for us.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 26] Greet all the brothers with a holy kiss.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 27] I solemnly command you by the Lord that this letter be read to all the holy brothers.
[WEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 28] The grace of our Lord Jesus Christ be with you. Amen.
