[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 1] And Jehovah spoke to Moses after the death of the two sons of Aaron, when they came near before Jehovah and died;
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 2] and Jehovah said to Moses, Speak unto Aaron thy brother, that he come not at all times into the sanctuary inside the veil before the mercy-seat which is upon the ark, that he die not; for I will appear in the cloud upon the mercy-seat.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 3] In this manner shall Aaron come into the sanctuary: with a young bullock for a sin-offering, and a ram for a burnt-offering.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 4] A holy linen vest shall he put on, and linen trousers shall be upon his flesh, and he shall be girded with a linen girdle, and with the linen mitre shall he be attired: these are holy garments; and he shall bathe his flesh in water, and put them on.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 5] And of the assembly of the children of Israel shall he take two bucks of the goats for a sin-offering, and one ram for a burnt-offering.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 6] And Aaron shall present the bullock of the sin-offering, which is for himself, and make atonement for himself, and for his house.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 7] And he shall take the two goats, and set them before Jehovah, before the entrance of the tent of meeting.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 8] And Aaron shall cast lots upon the two goats: one lot for Jehovah, and the other lot for Azazel.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 9] And Aaron shall present the goat upon which the lot fell for Jehovah, and offer it [as] a sin-offering.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 10] And the goat upon which the lot fell for Azazel shall be set alive before Jehovah, to make atonement with it, to send it away as Azazel into the wilderness.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 11] And Aaron shall present the bullock of the sin-offering, which is for himself, and shall make atonement for himself and for his house, and shall slaughter the bullock of the sin-offering which is for himself.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 12] And he shall take the censer full of burning coals of fire from off the altar before Jehovah, and both his hands full of fragrant incense beaten small, and bring it inside the veil.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 13] And he shall put the incense upon the fire before Jehovah, that the cloud of the incense may cover the mercy-seat which is upon the testimony, that he die not.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 14] And he shall take of the blood of the bullock, and sprinkle with his finger upon the front of the mercy-seat eastward; and before the mercy-seat shall he sprinkle of the blood seven times with his finger.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 15] And he shall slaughter the goat of the sin-offering, which is for the people, and bring its blood inside the veil, and do with its blood as he did with the blood of the bullock, and sprinkle it upon the mercy-seat, and before the mercy-seat;
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 16] and he shall make atonement for the sanctuary, [to cleanse it] from the uncleanness of the children of Israel, and from their transgressions in all their sins; and so shall he do for the tent of meeting which dwelleth among them in the midst of their uncleanness.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 17] And there shall be no man in the tent of meeting when he goeth in to make atonement in the sanctuary until he come out; and he shall make atonement for himself, and for his house, and for the whole congregation of Israel.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 18] And he shall go out unto the altar which is before Jehovah, and make atonement for it; and shall take of the blood of the bullock, and of the goat, and put it upon the horns of the altar round about;
