[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 1] And Jehovah spoke to Moses in mount Sinai, saying,
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 2] Speak unto the children of Israel and say unto them, When ye come into the land that I will give you, the land shall celebrate a sabbath to Jehovah.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 3] Six years shalt thou sow thy field, and six years shalt thou prune thy vineyard, and gather in the produce thereof,
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 4] but in the seventh year shall be a sabbath of rest for the land, a sabbath to Jehovah. Thy field shalt thou not sow, and thy vineyard shalt thou not prune.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 5] That which springeth up from the scattered seed of thy harvest thou shalt not reap, and the grapes of thine undressed vines thou shalt not gather: a year of rest shall it be for the land.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 6] And the sabbath of the land shall be for food for you, for thee, and for thy bondman, and for thy handmaid, and for thy hired servant, and for him that dwelleth as a sojourner with thee, and for thy cattle,
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 7] and for the beasts that are in thy land: all the produce thereof shall be for food.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 8] And thou shalt count seven sabbaths of years, seven times seven years; so that the days of the seven sabbaths of years be unto thee forty-nine years.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 9] Then shalt thou cause the loud sound of the trumpet to go forth in the seventh month, on the tenth of the month; on the day of atonement shall ye cause the trumpet to go forth throughout your land.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 10] And ye shall hallow the year of the fiftieth year, and proclaim liberty in the land unto all the inhabitants thereof; a [year of] jubilee shall it be unto you, and ye shall return every man unto his possession, and ye shall return every man unto his family;
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 11] a year of jubilee shall that fiftieth year be unto you: ye shall not sow, neither reap its aftergrowth, nor gather [the fruit of] its undressed vines.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 12] For it is the jubilee; it shall be holy unto you; out of the field shall ye eat its produce.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 13] In this year of the jubilee ye shall return every man unto his possession.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 14] And if ye sell ought unto your neighbour, or buy of your neighbour's hand, ye shall not overreach one another.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 15] According to the number of years since the jubilee, thou shalt buy of thy neighbour; according to the number of years of the produce, he shall sell unto thee.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 16] According to the greater number of the years, thou shalt increase the price thereof; and according to the fewness of years, thou shalt diminish the price of it; for it is the number of crops that he selleth unto thee.
