[IRV | HI | OT | Lamentations | Chapter 3 | Verse 1] उसके रोष की छड़ी से दुःख भोगनेवाला पुरुष मैं ही हूँ;
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 2] वह मुझे ले जाकर उजियाले में नहीं, अंधियारे ही में चलाता है;
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 3] उसका हाथ दिन भर मेरे ही विरुद्ध उठता रहता है।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 4] उसने मेरा माँस और चमड़ा गला दिया है, और मेरी हड्डियों को तोड़ दिया है;
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 5] उसने मुझे रोकने के लिये किला बनाया, और मुझ को कठिन दुःख और श्रम से घेरा है;
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 6] उसने मुझे बहुत दिन के मरे हुए लोगों के समान अंधेरे स्थानों में बसा दिया है।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 7] मेरे चारों ओर उसने बाड़ा बाँधा है कि मैं निकल नहीं सकता; उसने मुझे भारी साँकल से जकड़ा है;
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 8] मैं चिल्ला-चिल्ला के दुहाई देता हूँ, तो भी वह मेरी प्रार्थना नहीं सुनता;
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 9] मेरे मार्गों को उसने गढ़े हुए पत्थरों से रोक रखा है, मेरी डगरों को उसने टेढ़ी कर दिया है।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 10] वह मेरे लिये घात में बैठे हुए रीछ और घात लगाए हुए सिंह के समान है;
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 11] उसने मुझे मेरे मार्गों से भुला दिया, और मुझे फाड़ डाला; उसने मुझ को उजाड़ दिया है।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 12] उसने धनुष चढ़ाकर मुझे अपने तीर का निशाना बनाया है।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 13] उसने अपनी तीरों से मेरे हृदय को बेध दिया है;
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 14] सब लोग मुझ पर हँसते हैं और दिन भर मुझ पर ढालकर गीत गाते हैं,
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 15] उसने मुझे कठिन दुःख से भर दिया, और नागदौना पिलाकर तृप्त किया है।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 16] उसने मेरे दाँतों को कंकड़ से तोड़ डाला, और मुझे राख से ढाँप दिया है;
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 17] और मुझ को मन से उतारकर कुशल से रहित किया है; मैं कल्याण भूल गया हूँ;
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 18] इसलिए मैंने कहा, “मेरा बल नष्ट हुआ, और मेरी आशा जो यहोवा पर थी, वह टूट गई है।”
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 19] मेरा दुःख और मारा-मारा फिरना, मेरा नागदौने और विष का पीना स्मरण कर!
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 20] मैं उन्हीं पर सोचता रहता हूँ, इससे मेरा प्राण ढला जाता है।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 21] परन्तु मैं यह स्मरण करता हूँ, इसलिए मुझे आशा है:
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 22] हम मिट नहीं गए; यह यहोवा की महाकरुणा का फल है, क्योंकि उसकी दया अमर है।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 23] प्रति भोर वह नई होती रहती है; तेरी सच्चाई महान है।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 24] मेरे मन ने कहा, “यहोवा मेरा भाग है, इस कारण मैं उसमें आशा रखूँगा।”
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 25] जो यहोवा की बाट जोहते और उसके पास जाते हैं, उनके लिये यहोवा भला है।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 26] यहोवा से उद्धार पाने की आशा रखकर चुपचाप रहना भला है।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 27] पुरुष के लिये जवानी में जूआ उठाना भला है।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 28] वह यह जानकर अकेला चुपचाप रहे, कि परमेश्वर ही ने उस पर यह बोझ डाला है;
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 29] वह अपना मुँह धूल में रखे, क्या जाने इसमें कुछ आशा हो;
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 30] वह अपना गाल अपने मारनेवाले की ओर फेरे, और नामधराई सहता रहे।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 31] क्योंकि प्रभु मन से सर्वदा उतारे नहीं रहता,
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 32] चाहे वह दुःख भी दे, तो भी अपनी करुणा की बहुतायत के कारण वह दया भी करता है;
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 33] क्योंकि वह मनुष्यों को अपने मन से न तो दबाता है और न दुःख देता है।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 34] पृथ्वी भर के बन्दियों को पाँव के तले दलित करना,
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 35] किसी पुरुष का हक़ परमप्रधान के सामने मारना,
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 36] और किसी मनुष्य का मुकद्दमा बिगाड़ना, इन तीन कामों को यहोवा देख नहीं सकता।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 37] यदि यहोवा ने आज्ञा न दी हो, तब कौन है कि वचन कहे और वह पूरा हो जाए?
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 38] विपत्ति और कल्याण, क्या दोनों परमप्रधान की आज्ञा से नहीं होते?
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 39] इसलिए जीवित मनुष्य क्यों कुड़कुड़ाए? और पुरुष अपने पाप के दण्ड को क्यों बुरा माने?
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 40] हम अपने चाल चलन को ध्यान से परखें, और यहोवा की ओर फिरें!
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 41] हम स्वर्ग में वास करनेवाले परमेश्वर की ओर मन लगाएँ और हाथ फैलाएँ और कहें:
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 42] “हमने तो अपराध और बलवा किया है, और तूने क्षमा नहीं किया।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 43] तेरा कोप हम पर है, तू हमारे पीछे पड़ा है, तूने बिना तरस खाए घात किया है।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 44] तूने अपने को मेघ से घेर लिया है कि तुझ तक प्रार्थना न पहुँच सके।
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 45] तूने हमको जाति-जाति के लोगों के बीच में कूड़ा-करकट सा ठहराया है। (1 कुरि. 4:13)
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 46] हमारे सब शत्रुओं ने हम पर अपना-अपना मुँह फैलाया है;
[IRV | HI | OT | Lamentations | Chapter 3 | Verse 47] भय और गड्ढा, उजाड़ और विनाश, हम पर आ पड़े हैं;
