[IRV | HI | OT | Zechariah | Chapter 1 | Verse 1] दारा के राज्य के दूसरे वर्ष के आठवें महीने में जकर्याह भविष्यद्वक्ता के पास जो बेरेक्याह का पुत्र और इद्दो का पोता था, यहोवा का यह वचन पहुँचा (एज्रा 4:24, 5:1)
[IRV | HI | OT | Zechariah | Chapter 1 | Verse 2] “यहोवा तुम लोगों के पुरखाओं से बहुत ही क्रोधित हुआ था।
[IRV | HI | OT | Zechariah | Chapter 1 | Verse 3] इसलिए तू इन लोगों से कह, सेनाओं का यहोवा यह कहता है: तुम मेरी ओर फिरो, सेनाओं के यहोवा की यही वाणी है, तब मैं तुम्हारी ओर फिरूँगा, सेनाओं के यहोवा का यही वचन है। (याकू. 4:8, होशे 6:1)
[IRV | HI | OT | Zechariah | Chapter 1 | Verse 4] अपने पुरखाओं के समान न बनो, उनसे तो पूर्वकाल के भविष्यद्वक्ता यह पुकार पुकारकर कहते थे, ‘सेनाओं का यहोवा यह कहता है, अपने बुरे मार्गों से, और अपने बुरे कामों से फिरो;’ परन्तु उन्होंने न तो सुना, और न मेरी ओर ध्यान दिया, यहोवा की यही वाणी है।
[IRV | HI | OT | Zechariah | Chapter 1 | Verse 5] तुम्हारे पुरखा कहाँ रहे? भविष्यद्वक्ता क्या सदा जीवित रहते हैं?
[IRV | HI | OT | Zechariah | Chapter 1 | Verse 6] परन्तु मेरे वचन और मेरी आज्ञाएँ जिनको मैंने अपने दास नबियों को दिया था, क्या वे तुम्हारे पुरखाओं पर पूरी न हुईं? तब उन्होंने मन फिराया और कहा, सेनाओं के यहोवा ने हमारे चाल चलन और कामों के अनुसार हम से जैसा व्यवहार करने का निश्‍चय किया था, वैसा ही उसने हमको बदला दिया है।” (विला. 2:17)
[IRV | HI | OT | Zechariah | Chapter 1 | Verse 7] दारा के दूसरे वर्ष के शबात नामक ग्यारहवें महीने के चौबीसवें दिन को जकर्याह नबी के पास जो बेरेक्याह का पुत्र और इद्दो का पोता था, यहोवा का वचन इस प्रकार पहुँचा
[IRV | HI | OT | Zechariah | Chapter 1 | Verse 8] “मैंने रात को स्वप्न में क्या देखा कि एक पुरुष लाल घोड़े पर चढ़ा हुआ उन मेंहदियों के बीच खड़ा है जो नीचे स्थान में हैं, और उसके पीछे लाल और भूरे और श्वेत घोड़े भी खड़े हैं। (प्रका. 6:4)
[IRV | HI | OT | Zechariah | Chapter 1 | Verse 9] तब मैंने कहा, ‘हे मेरे प्रभु ये कौन हैं?’ तब जो दूत मुझसे बातें करता था, उसने मुझसे कहा, ‘मैं तुझे दिखाऊँगा कि ये कौन हैं।’
[IRV | HI | OT | Zechariah | Chapter 1 | Verse 10] फिर जो पुरुष मेंहदियों के बीच खड़ा था, उसने कहा, ‘यह वे हैं जिनको यहोवा ने पृथ्वी पर सैर अर्थात् घूमने के लिये भेजा है।’
[IRV | HI | OT | Zechariah | Chapter 1 | Verse 11] तब उन्होंने यहोवा के उस दूत से जो मेंहदियों के बीच खड़ा था, कहा, ‘हमने पृथ्वी पर सैर किया है, और क्या देखा कि सारी पृथ्वी में शान्ति और चैन है।’
[IRV | HI | OT | Zechariah | Chapter 1 | Verse 12] “तब यहोवा के दूत ने कहा, ‘हे सेनाओं के यहोवा, तू जो यरूशलेम और यहूदा के नगरों पर सत्तर वर्ष से क्रोधित है, इसलिए तू उन पर कब तक दया न करेगा?’ (प्रका. 6:10)
[IRV | HI | OT | Zechariah | Chapter 1 | Verse 13] और यहोवा ने उत्तर में उस दूत से जो मुझसे बातें करता था, अच्छी-अच्छी और शान्ति की बातें कहीं।
[IRV | HI | OT | Zechariah | Chapter 1 | Verse 14] तब जो दूत मुझसे बातें करता था, उसने मुझसे कहा, ‘तू पुकारकर कह कि सेनाओं का यहोवा यह कहता है, मुझे यरूशलेम और सिय्योन के लिये बड़ी जलन हुई है।
[IRV | HI | OT | Zechariah | Chapter 1 | Verse 15] जो अन्यजातियाँ सुख से रहती हैं, उनसे मैं क्रोधित हूँ; क्योंकि मैंने तो थोड़ा सा क्रोध किया था, परन्तु उन्होंने विपत्ति को बढ़ा दिया।
[IRV | HI | OT | Zechariah | Chapter 1 | Verse 16] इस कारण यहोवा यह कहता है, अब मैं दया करके यरूशलेम को लौट आया हूँ; मेरा भवन उसमें बनेगा, और यरूशलेम पर नापने की डोरी डाली जाएगी, सेनाओं के यहोवा की यही वाणी है।
[IRV | HI | OT | Zechariah | Chapter 1 | Verse 17] “‘फिर यह भी पुकारकर कह कि सेनाओं का यहोवा यह कहता है, मेरे नगर फिर उत्तम वस्तुओं से भर जाएँगे, और यहोवा फिर सिय्योन को शान्ति देगा; और यरूशलेम को फिर अपना ठहराएगा।’”
